N	2gram	Berdyaev_N_1	EvropaiE
1	и в	16	37
2	что в	9	21
3	не только	5	18
4	в то	2	16
5	хотя бы	2	15
6	но и	3	14
7	и не	11	14
8	но в	2	14
9	в этом	7	12
10	в том	8	11
11	так и	2	10
12	прежде всего	4	9
13	в смысле	2	9
14	не может	16	9
15	в себе	2	9
16	так же	2	9
17	думать что	2	8
18	к тому	3	8
19	в ее	3	8
20	одной стороны	2	8
21	в своей	3	8
22	с одной	2	8
23	как и	7	7
24	по своему	4	7
25	с другой	3	7
26	том что	2	6
27	может быть	7	6
28	то что	4	6
29	во всех	3	6
30	того чтобы	2	6
31	и даже	2	6
32	и на	2	6
33	же как	2	5
34	не в	6	5
35	но не	2	5
36	в россии	3	5
37	и потому	4	5
38	вопрос о	3	4
39	на путях	2	4
40	хозяйственной жизни	2	4
41	в ней	5	4
42	мы не	2	4
43	не имеет	4	4
44	культуры в	5	4
45	сказать что	3	4
46	как это	2	4
47	место в	2	3
48	и к	5	3
49	с тем	3	3
50	никогда не	6	3
51	жизни в	3	3
52	в них	4	3
53	и от	2	3
54	этом смысле	2	3
55	ли это	2	3
56	в прошлом	3	3
57	и мы	4	3
58	не будет	7	3
59	как в	3	3
60	и для	4	3
61	можно было	2	3
62	к ним	3	3
63	потому что	4	3
64	в будущем	2	3
65	о том	4	3
66	мира и	2	3
67	что все	2	2
68	а не	17	2
69	не означает	3	2
70	с этим	2	2
71	и все	4	2
72	такой же	2	2
73	есть в	2	2
74	должна быть	3	2
75	и революции	2	2
76	она не	3	2
77	не к	2	2
78	он не	8	2
79	помнить что	2	2
80	не есть	3	2
81	в мире	3	2
82	в свои	2	2
83	жизни и	8	2
84	как не	8	2
85	на уровне	2	2
86	наряду с	3	2
87	вместе с	2	2
88	а в	2	2
89	культуры и	7	2
90	и что	2	2
91	другой стороны	2	2
92	духовной жизни	2	2
93	войны и	2	2
94	и с	2	2
95	хотя и	2	2
96	могут быть	2	2
97	ведь и	2	2
98	в истории	3	2
99	как будто	2	2
100	и творчества	2	2
