N	2gram	Propp_Isto_4	VeschiIm
1	не есть	2	49
2	т е	18	42
3	не может	6	33
4	не только	15	31
5	может быть	14	29
6	и не	9	28
7	и в	26	26
8	то что	16	24
9	и есть	2	23
10	и т	27	21
11	т д	24	20
12	а не	6	20
13	не просто	4	18
14	есть только	3	17
15	что я	2	16
16	что она	3	14
17	только в	3	14
18	и что	5	13
19	того что	2	13
20	по себе	2	13
21	что это	2	12
22	было бы	2	12
23	но и	12	12
24	сказать что	2	12
25	все же	9	12
26	и то	6	12
27	таким образом	10	11
28	то же	8	10
29	уже не	5	10
30	как бы	3	10
31	потому что	6	10
32	что мы	3	10
33	в том	3	9
34	и с	5	9
35	иное как	3	8
36	на то	3	8
37	но это	3	8
38	что иное	3	8
39	не что	3	8
40	в себе	2	8
41	ничего не	5	8
42	в свете	3	7
43	его в	9	7
44	так как	9	7
45	е в	3	7
46	том что	3	7
47	есть и	2	7
48	указывает на	4	7
49	себя в	2	7
50	и их	2	7
51	и пр	11	7
52	в этом	7	7
53	так что	2	6
54	и как	5	6
55	что они	6	6
56	что в	14	6
57	и только	5	6
58	но в	5	6
59	она не	3	6
60	относится к	3	6
61	не менее	2	5
62	содержит в	2	5
63	должна быть	2	5
64	это не	5	5
65	с этой	2	5
66	тем не	2	5
67	не в	5	5
68	еще не	6	5
69	а в	8	5
70	с тем	2	5
71	если бы	2	5
72	у нас	2	5
73	это и	5	5
74	одна из	2	5
75	но не	5	5
76	же это	2	5
77	другими словами	2	5
78	на себя	4	5
79	в своем	2	4
80	с другой	4	4
81	в отдельности	2	4
82	из них	2	4
83	что есть	2	4
84	от того	2	4
85	и даже	4	4
86	с этим	2	4
87	о том	4	4
88	и более	3	4
89	и все	2	4
90	то это	5	4
91	как и	7	4
92	его на	4	4
93	что и	9	4
94	этот вопрос	2	4
95	между ними	3	4
96	в данном	3	4
97	тем что	5	4
98	никогда не	2	3
99	вопрос о	4	3
100	на этом	2	3
101	в нем	2	3
102	отношение к	2	3
103	все это	2	3
104	их в	7	3
105	к себе	3	3
106	мы имеем	7	3
107	на это	2	3
108	даже и	2	3
109	в одном	5	3
110	что он	10	3
111	только это	2	3
112	мы видим	6	3
113	между прочим	2	3
114	в своей	4	3
115	вместе с	6	3
116	так и	10	3
117	хотя бы	2	3
118	на вопрос	3	2
119	это уже	2	2
120	в частности	2	2
121	его и	2	2
122	не годится	4	2
123	что на	2	2
124	ни в	2	2
125	но все	5	2
126	не говорит	2	2
127	никуда не	2	2
128	и если	3	2
129	знает и	2	2
130	мы уже	5	2
131	и тем	2	2
132	данном случае	3	2
133	и вот	2	2
134	не мог	3	2
135	так же	18	2
136	как это	3	2
137	мы можем	6	2
138	на него	3	2
139	о чем	3	2
140	превращается в	7	2
141	и во	2	2
142	с собой	5	2
143	в одну	2	2
144	является и	3	2
145	а затем	3	2
146	в силу	5	2
147	в качестве	7	2
148	наряду с	3	2
149	об этом	7	2
150	он не	7	2
151	когда он	6	2
152	как в	7	2
153	как нечто	3	2
154	тогда как	4	2
155	и они	2	2
156	как мы	5	2
157	это для	3	2
158	и его	10	2
159	тут же	2	2
160	не случайно	2	2
161	в особенности	2	2
162	том как	2	2
