N	2gram	Tiupa_Anal_1	NovoeSre
1	а не	17	17
2	не может	22	16
3	и в	18	16
4	и не	21	11
5	и есть	3	10
6	что в	5	9
7	он не	3	8
8	в том	27	8
9	не будет	3	7
10	как и	13	7
11	в этом	13	7
12	может быть	29	7
13	с его	3	6
14	никогда не	2	6
15	не в	14	6
16	лишь в	5	6
17	ни в	4	6
18	должен быть	6	5
19	в нем	3	5
20	культуры в	2	5
21	и к	3	5
22	не только	15	5
23	то что	6	4
24	это не	6	4
25	и все	3	4
26	быть может	2	4
27	должно быть	2	4
28	потому что	2	4
29	прежде всего	6	4
30	о том	5	4
31	и потому	2	4
32	но и	17	3
33	не есть	8	3
34	в своей	6	3
35	с другой	4	3
36	вопрос о	2	3
37	к тому	7	3
38	в мире	8	3
39	в основе	6	3
40	подобно тому	3	3
41	еще не	3	3
42	тому как	3	3
43	за пределы	2	3
44	времени и	6	2
45	том и	2	2
46	себя в	6	2
47	место в	3	2
48	на уровне	3	2
49	вместе с	4	2
50	так и	4	2
51	для этого	2	2
52	в категориях	2	2
53	и т.п	5	2
54	который в	2	2
55	другой стороны	2	2
56	личность в	2	2
57	а в	9	2
58	с одной	3	2
59	все эти	2	2
60	думать что	2	2
61	уже не	4	2
62	нет и	2	2
63	такой же	2	2
64	роль в	2	2
65	того чтобы	3	2
66	одной стороны	3	2
67	хотя бы	3	2
68	но не	10	2
69	том что	12	2
70	и с	2	2
71	и заключается	2	2
72	могут быть	4	2
73	и на	5	2
74	не к	2	2
75	в себе	11	2
76	в то	9	2
77	как будто	3	2
78	такого рода	5	2
79	для чего	2	2
80	том чтобы	7	2
81	но в	8	2
82	в новом	2	2
