N	2gram	Bakhtin_Pr_1	PoTuStor
1	может быть	26	17
2	и в	38	16
3	и пр	2	12
4	прежде всего	13	9
5	таким образом	10	9
6	и проч	28	9
7	в этом	15	9
8	мы можем	6	9
9	и только	4	9
10	совершенно не	7	8
11	в психике	6	8
12	и его	16	8
13	и с	17	8
14	точки зрения	8	8
15	не может	27	8
16	с его	2	7
17	сказать что	4	7
18	не только	9	7
19	и это	3	6
20	и к	3	6
21	с точки	6	6
22	самом деле	6	6
23	при этом	5	6
24	конечно не	5	6
25	отношение к	10	5
26	все эти	5	5
27	в чем	2	5
28	ни в	11	5
29	нуждается в	2	5
30	еще не	7	5
31	как бы	22	5
32	в него	2	5
33	в нем	15	4
34	отнюдь не	19	4
35	но и	9	4
36	так и	5	4
37	все это	3	4
38	хотя бы	4	4
39	и все	3	4
40	и не	42	4
41	на самом	4	4
42	как мы	7	4
43	и ее	2	4
44	можно сказать	2	4
45	и наконец	6	4
46	и даже	3	4
47	с ними	4	4
48	и на	3	4
49	художественного творчества	12	4
50	все что	3	4
51	только в	13	4
52	его в	9	4
53	но в	4	4
54	в его	43	4
55	и значение	2	3
56	в этих	2	3
57	что в	7	3
58	и есть	2	3
59	во всех	11	3
60	и др	8	3
61	могут быть	5	3
62	чем не	2	3
63	в большинстве	5	3
64	отношения к	6	3
65	к себе	2	3
66	этом смысле	3	3
67	большинстве случаев	5	3
68	в том	8	3
69	а в	6	3
70	том что	3	3
71	и как	8	3
72	с другими	3	3
73	то что	8	3
74	в основе	5	3
75	на этом	2	3
76	только как	6	3
77	и художественного	3	3
78	едва ли	3	3
79	как это	2	3
80	в области	11	3
81	в конечном	4	3
82	и потому	4	3
83	между ними	4	3
84	не менее	4	2
85	нет и	3	2
86	может иметь	5	2
87	дела с	4	2
88	не могут	2	2
89	что и	2	2
90	не нуждается	2	2
91	не есть	6	2
92	ни было	3	2
93	другими словами	2	2
94	конечном счете	4	2
95	в частности	2	2
96	никогда не	5	2
97	что не	4	2
98	в них	5	2
99	вообще не	7	2
100	оно не	3	2
101	определить как	2	2
102	и содержание	3	2
103	цельного человека	2	2
104	его целом	5	2
105	то же	5	2
106	что оно	2	2
107	к этому	2	2
108	не знает	3	2
109	на них	3	2
110	и других	2	2
111	с помощью	7	2
112	что он	2	2
113	здесь же	2	2
114	на первый	2	2
115	можем сказать	2	2
116	но зато	2	2
117	и для	11	2
118	войти в	2	2
119	в область	3	2
120	момента в	2	2
121	как и	7	2
122	на основе	6	2
123	они не	3	2
124	но отнюдь	7	2
125	но это	3	2
126	почти совершенно	3	2
127	не на	5	2
128	все и	2	2
129	он не	3	2
130	и этим	6	2
131	можно определить	2	2
132	всех его	4	2
133	характерно для	2	2
134	не можем	2	2
135	говорить о	3	2
136	в начале	2	2
137	в пределах	6	2
138	и вообще	2	2
139	было бы	8	2
140	со всеми	3	2
141	что это	2	2
142	все то	3	2
143	и вся	2	2
144	о том	4	2
145	в самом	7	2
146	но как	2	2
147	за пределы	12	2
148	в своей	7	2
149	и о	5	2
150	с ним	5	2
151	организма и	2	2
152	так называемый	2	2
153	себя и	3	2
154	цели и	2	2
