N	3gram	Vinokur_Ku_1	Myslijsy
1	в том что	15	16
2	то же время	2	5
3	по крайней мере	5	5
4	а в том	2	5
5	в то же	2	5
6	не в том	4	5
7	по отношению к	8	5
8	с другой стороны	6	4
9	вместе с тем	3	4
10	по мере того	3	3
11	потому что не	2	3
12	мере того как	3	3
13	тем не менее	4	3
14	до сих пор	4	3
15	более или менее	3	3
16	в свою очередь	3	3
17	и т д	14	3
18	не может быть	3	3
19	только в том	3	3
20	для того чтобы	15	3
21	только потому что	6	2
22	к тому что	2	2
23	и в самом	2	2
24	в этом отношении	5	2
25	том что он	4	2
26	так и в	2	2
27	том что оно	2	2
28	в том чтобы	8	2
29	и т п	18	2
30	именно в том	2	2
