N	2gram	Potebnia_M_2	Vladivir
1	и в	24	40
2	то что	20	28
3	и не	19	25
4	не только	15	25
5	то есть	30	24
6	у него	2	24
7	но и	9	18
8	в том	18	18
9	том что	8	18
10	что в	16	17
11	в этом	8	16
12	так что	10	14
13	в его	2	14
14	не может	12	14
15	вовсе не	9	13
16	только в	11	13
17	сказать что	2	12
18	даже и	2	12
19	никогда не	4	11
20	таким образом	11	11
21	потому что	49	11
22	о том	5	11
23	прежде всего	7	10
24	тем не	6	10
25	то это	3	10
26	и потому	2	10
27	не есть	6	10
28	и его	2	10
29	не менее	5	9
30	что это	3	9
31	уже не	4	9
32	есть только	6	9
33	и то	3	9
34	в себе	10	9
35	для него	10	8
36	может быть	23	8
37	так же	2	8
38	и что	4	8
39	а не	18	8
40	что все	2	7
41	а только	8	7
42	и как	6	7
43	и если	4	7
44	хотя и	3	7
45	а в	8	7
46	так как	10	7
47	с тем	4	7
48	того что	7	7
49	в то	6	7
50	что и	11	7
51	вместе с	11	7
52	как и	7	7
53	мы бы	2	7
54	и здесь	2	6
55	и на	8	6
56	и от	3	6
57	по себе	15	6
58	во всем	2	6
59	так и	5	6
60	если не	4	6
61	хотя бы	2	6
62	но это	3	6
63	и это	2	6
64	с другой	6	5
65	для нас	31	5
66	совсем не	2	5
67	но если	2	5
68	должно быть	2	5
69	отношения к	2	5
70	не было	6	5
71	все эти	2	5
72	в ней	3	5
73	в одном	6	5
74	что он	4	5
75	у нас	2	5
76	между прочим	4	5
77	или менее	8	5
78	тем что	7	5
79	более или	8	5
80	но даже	3	4
81	тому что	2	4
82	точно так	9	4
83	вопрос о	2	4
84	на то	5	4
85	такой же	4	4
86	что если	6	4
87	мог бы	3	4
88	в самом	4	4
89	в котором	4	4
90	от того	5	4
91	не имеет	6	4
92	мы должны	2	4
93	как это	2	4
94	и все	3	4
95	не с	3	4
96	оно должно	3	4
97	но не	12	4
98	то время	4	4
99	еще не	4	4
100	было бы	13	4
101	то же	12	4
102	а с	2	4
103	если мы	3	4
104	в каком	3	4
105	все же	5	4
106	но в	4	4
107	уже в	5	3
108	независимо от	9	3
109	это не	3	3
110	из этих	4	3
111	человека и	3	3
112	мы знаем	2	3
113	но все	2	3
114	одной стороны	3	3
115	при этом	13	3
116	как бы	9	3
117	всяком случае	7	3
118	и тем	3	3
119	в нем	9	3
120	ни с	2	3
121	что есть	2	3
122	в связи	2	3
123	и только	6	3
124	с одной	4	3
125	не так	3	3
126	как на	3	3
127	не столько	2	3
128	как именно	2	3
129	или не	5	3
130	с каким	2	3
131	этого не	2	3
132	если бы	11	3
133	само по	2	3
134	этом смысле	2	3
135	же в	5	3
136	за пределы	2	3
137	оно не	3	3
138	не все	2	3
139	на самом	2	3
140	находится в	3	3
141	того чтобы	2	3
142	и у	3	3
143	и притом	3	3
144	не в	13	3
145	и для	3	3
146	в таком	4	3
147	во всяком	7	3
148	и вообще	3	3
149	далеко не	3	3
150	в чем	7	3
151	это было	2	3
152	при таких	3	2
153	не могут	7	2
154	но на	2	2
155	в нашем	2	2
156	в этих	3	2
157	в какой	2	2
158	и вместе	4	2
159	что на	3	2
160	что его	3	2
161	это последнее	4	2
162	же время	2	2
163	не можем	6	2
164	но что	2	2
165	есть прежде	2	2
166	в нашей	2	2
167	а скорее	2	2
168	не имеют	2	2
169	в целом	3	2
170	что она	3	2
171	другой стороны	2	2
172	то и	9	2
173	которых мы	3	2
174	точке зрения	2	2
175	мы находим	2	2
176	но только	2	2
177	в одно	8	2
178	и по	2	2
179	друг друга	2	2
180	время как	4	2
181	в обществе	2	2
182	на более	2	2
183	себе в	3	2
184	что мы	11	2
185	его в	3	2
186	ни по	2	2
187	бы в	2	2
188	то не	3	2
189	таком случае	2	2
190	с его	2	2
191	не как	3	2
192	с этим	7	2
193	в жизни	2	2
194	к этому	2	2
195	с таким	3	2
196	но мы	3	2
197	есть не	5	2
198	а и	5	2
199	этого последнего	3	2
200	о которых	3	2
201	а то	2	2
202	того же	14	2
203	одно и	2	2
204	из них	5	2
205	общего с	2	2
206	со стороны	3	2
207	как не	3	2
208	на него	3	2
209	только что	3	2
210	не на	2	2
211	тем самым	4	2
212	заметить что	6	2
213	для того	5	2
214	в сравнении	2	2
215	мы не	11	2
216	сравнении с	2	2
217	можно думать	2	2
218	сам по	4	2
219	как например	3	2
220	без которой	2	2
221	в другом	2	2
222	связи с	6	2
223	в которой	5	2
224	которые не	3	2
