N	2gram	Propp_Russ_1	Tvorches
1	и в	36	20
2	в году	2	16
3	не только	22	13
4	и т	10	13
5	т д	9	11
6	как бы	5	11
7	в его	2	10
8	таким образом	6	10
9	там же	5	9
10	и не	6	9
11	в том	17	8
12	при этом	6	8
13	но и	16	8
14	может быть	8	8
15	в этом	12	8
16	и с	2	8
17	это не	10	7
18	представление о	3	7
19	года в	2	7
20	что в	19	7
21	не может	4	7
22	то же	3	7
23	потому что	10	7
24	у него	2	6
25	как и	10	6
26	в целом	2	6
27	так и	7	6
28	все это	6	6
29	а не	2	6
30	в основном	3	6
31	но это	4	5
32	еще не	4	5
33	но не	2	5
34	например в	2	5
35	все же	5	5
36	так же	3	5
37	и на	10	5
38	о том	8	5
39	то есть	3	5
40	об этом	9	4
41	что у	2	4
42	мы не	6	4
43	показывает что	5	4
44	том что	19	4
45	в дальнейшем	2	4
46	мы видим	2	4
47	что они	7	4
48	отнюдь не	2	4
49	хотя и	2	4
50	что она	2	4
51	когда он	2	4
52	как в	5	4
53	а а	25	4
54	все эти	2	4
55	а в	9	4
56	и потому	2	4
57	ничего не	3	4
58	но в	2	4
59	е а	2	3
60	а с	4	3
61	в образе	2	3
62	к этому	4	3
63	с ним	2	3
64	одна из	4	3
65	на западе	2	3
66	так например	6	3
67	своего рода	3	3
68	и др	4	3
69	один из	8	3
70	в нем	2	3
71	то что	6	3
72	вместе с	10	3
73	в их	4	3
74	тогда как	2	3
75	так как	15	3
76	в свете	2	3
77	уже не	6	3
78	этот вопрос	2	3
79	тем что	4	3
80	в своих	2	3
81	в которых	5	3
82	между тем	7	3
83	он же	3	2
84	не менее	3	2
85	его и	2	2
86	не означает	2	2
87	в одном	3	2
88	в этот	10	2
89	такой же	2	2
90	что на	4	2
91	у нас	8	2
92	так что	2	2
93	а н	18	2
94	как известно	2	2
95	в частности	2	2
96	том же	2	2
97	к жизни	3	2
98	только для	2	2
99	в честь	3	2
100	но эти	3	2
101	как по	2	2
102	приводит к	3	2
103	так в	4	2
104	начиная с	3	2
105	не было	2	2
106	и других	7	2
107	всякого рода	3	2
108	и что	4	2
109	и у	5	2
110	на этот	3	2
111	в xix	10	2
112	и по	8	2
113	во многих	5	2
114	с ними	5	2
115	тут же	2	2
116	не случайно	2	2
117	что этот	4	2
118	из них	8	2
119	в виде	6	2
120	могут быть	2	2
121	и м	14	2
122	только в	4	2
123	как правило	3	2
124	в россии	4	2
125	их в	3	2
126	и поэтому	2	2
127	же не	2	2
