N	2gram	Bakhtin_Pr_1	TeoriaLi
1	в мире	3	24
2	не только	9	18
3	и не	42	16
4	а в	6	14
5	в частности	2	13
6	и в	38	13
7	может быть	26	12
8	так и	5	12
9	то есть	46	12
10	при этом	5	11
11	в этом	15	11
12	в том	8	11
13	но не	12	10
14	а не	5	10
15	и его	16	10
16	в его	43	9
17	то же	5	9
18	что в	7	8
19	отношению к	19	8
20	но и	9	8
21	по отношению	21	8
22	себя в	2	7
23	в себе	4	7
24	том что	3	7
25	в отличие	5	7
26	в данном	4	7
27	точки зрения	8	7
28	в то	4	7
29	только в	13	7
30	как это	2	7
31	отличие от	5	7
32	место в	8	6
33	с его	2	6
34	же время	3	6
35	еще не	7	6
36	эстетическая деятельность	2	6
37	лишь в	2	6
38	как бы	22	6
39	но в	4	6
40	композиционных форм	3	5
41	в своем	5	5
42	или иного	2	5
43	или иной	2	5
44	в ее	4	5
45	как и	7	5
46	не в	7	5
47	в пределах	6	5
48	между ними	4	5
49	в самом	7	5
50	того или	2	5
51	в нем	15	5
52	данном случае	4	5
53	как в	4	5
54	он не	3	5
55	тем самым	4	5
56	с другой	7	5
57	между тем	7	5
58	мы имеем	2	5
59	в искусстве	12	5
60	художественного восприятия	2	4
61	не менее	4	4
62	конечном счете	4	4
63	в свою	2	4
64	можно сказать	2	4
65	ни в	11	4
66	в конечном	4	4
67	в своей	7	4
68	то что	8	4
69	отношение к	10	4
70	в форме	4	4
71	в их	10	4
72	приводит к	3	4
73	не может	27	4
74	в слове	3	4
75	художественного впечатления	2	4
76	сказать что	4	4
77	хотя и	3	4
78	и ее	2	4
79	говорить о	3	4
80	не знает	3	4
81	эстетический объект	37	4
82	слова в	7	3
83	ни к	2	3
84	художественного творчества	12	3
85	и др	8	3
86	никогда не	5	3
87	в нашем	4	3
88	в этих	2	3
89	он должен	2	3
90	в эстетический	12	3
91	этом смысле	3	3
92	прежде всего	13	3
93	художественного произведения	11	3
94	и к	3	3
95	а только	2	3
96	тем не	3	3
97	объекта и	7	3
98	того что	2	3
99	например в	3	3
100	эстетического созерцания	3	3
101	совпадает с	2	3
102	той или	2	3
103	и потому	4	3
104	на почве	3	3
105	не все	2	3
106	другой стороны	4	3
107	входит в	8	3
108	таким образом	10	3
109	в другом	2	3
110	и что	2	3
111	или в	2	3
112	в основе	5	3
113	его в	9	3
114	все эти	5	3
115	в художественном	20	3
116	в произведении	4	3
117	эстетического объекта	37	3
118	к которому	4	3
119	в лирике	2	3
120	я не	2	2
121	если бы	3	2
122	была бы	2	2
123	к действительности	3	2
124	могут быть	5	2
125	за пределы	12	2
126	себя и	3	2
127	это не	5	2
128	на фоне	3	2
129	вовсе не	2	2
130	что он	2	2
131	искусства но	4	2
132	но как	2	2
133	и как	8	2
134	одной стороны	3	2
135	в противном	3	2
136	в большинстве	5	2
137	имеем дело	3	2
138	эстетической деятельности	2	2
139	одной из	3	2
140	мы в	3	2
141	из которых	2	2
142	имеет место	5	2
143	к его	2	2
144	здесь мы	2	2
145	в виду	4	2
146	и тем	3	2
147	не с	4	2
148	к нему	10	2
149	в целом	3	2
150	слова не	3	2
151	в культуре	2	2
152	во всех	11	2
153	но она	2	2
154	не на	5	2
155	здесь не	4	2
156	как к	2	2
157	в романе	4	2
158	и для	11	2
159	с одной	3	2
160	в себя	2	2
161	и о	5	2
162	с точки	6	2
163	и даже	3	2
164	композиционная форма	4	2
165	самим собою	2	2
166	и здесь	2	2
167	не следует	2	2
168	в равной	2	2
169	о том	4	2
170	и это	3	2
171	в чем	2	2
172	отношения к	6	2
173	в области	11	2
174	противном случае	3	2
