N	2gram	Medvedev_F_3	Dialekti
1	не есть	4	47
2	т е	32	30
3	и не	30	30
4	может быть	25	20
5	и в	27	19
6	не только	9	19
7	по себе	4	18
8	и т	11	17
9	а не	17	16
10	т д	6	15
11	в себе	3	15
12	то что	8	14
13	что она	2	14
14	и даже	2	14
15	в том	7	14
16	как бы	8	14
17	так как	9	14
18	потому что	7	14
19	вовсе не	28	13
20	но и	10	12
21	то же	15	12
22	точки зрения	16	12
23	и все	8	12
24	что это	3	10
25	ни в	8	10
26	как и	14	10
27	и как	4	10
28	в нем	15	10
29	так и	21	10
30	том что	4	10
31	это не	3	10
32	сказать что	3	10
33	никогда не	5	9
34	она есть	3	9
35	не может	24	9
36	же и	4	9
37	прежде всего	4	8
38	это значит	2	8
39	она не	4	8
40	мы уже	3	8
41	с точки	14	8
42	не в	12	8
43	в этом	18	8
44	в своей	6	8
45	как это	4	7
46	но это	2	7
47	совершенно не	7	7
48	что в	8	7
49	и притом	2	7
50	в поэзии	3	7
51	что он	6	6
52	да и	4	6
53	что они	5	6
54	отнюдь не	8	6
55	в то	7	6
56	но не	5	6
57	конечно не	4	6
58	того что	3	6
59	жизни и	4	6
60	чтобы не	2	6
61	тогда когда	4	6
62	сознания и	2	5
63	должна быть	3	5
64	с другой	6	5
65	же время	7	5
66	можно сказать	3	5
67	и пр	15	5
68	в самом	11	5
69	и следовательно	3	5
70	и потому	5	5
71	что и	2	5
72	и это	2	5
73	как раз	8	5
74	и что	3	5
75	в смысле	4	5
76	и его	19	5
77	жизнь и	3	5
78	говорить о	2	5
79	только в	8	5
80	о том	4	5
81	и с	3	5
82	в виду	3	5
83	уже в	4	4
84	или иное	2	4
85	нисколько не	2	4
86	независимо от	5	4
87	в своем	2	4
88	ясно что	3	4
89	не могут	10	4
90	как таковой	3	4
91	в ее	4	4
92	все же	6	4
93	не нуждается	3	4
94	при этом	8	4
95	еще не	6	4
96	за пределы	2	4
97	хотя бы	6	4
98	связи с	5	4
99	только то	3	4
100	ни с	2	4
101	от того	2	4
102	все это	7	4
103	другой стороны	5	4
104	в связи	4	4
105	и только	2	4
106	таким образом	18	4
107	самом деле	16	4
108	то или	2	4
109	в таком	2	4
110	в одной	5	4
111	могут быть	4	4
112	в каком	2	4
113	как он	2	4
114	не менее	7	3
115	всех этих	2	3
116	и более	3	3
117	же как	3	3
118	все время	6	3
119	в этих	3	3
120	и от	11	3
121	была бы	2	3
122	как мы	8	3
123	уже не	3	3
124	это и	2	3
125	в этой	2	3
126	было бы	6	3
127	и из	2	3
128	в целях	2	3
129	не значит	2	3
130	даже в	2	3
131	сами по	2	3
132	из них	2	3
133	и их	5	3
134	и тогда	2	3
135	становления и	2	3
136	в той	3	3
137	или точнее	2	3
138	что этот	2	3
139	в данном	6	3
140	от этого	2	3
141	может иметь	2	3
142	уже знаем	2	3
143	нуждается в	3	3
144	они не	4	3
145	это только	2	3
146	его в	7	3
147	ничего не	2	3
148	поэтическое произведение	5	2
149	смысла и	4	2
150	что же	5	2
151	быть только	2	2
152	только не	2	2
153	от души	2	2
154	в зависимости	5	2
155	следует что	4	2
156	в какой	3	2
157	сливаются в	3	2
158	в конце	3	2
159	человека и	2	2
160	на самом	14	2
161	он может	2	2
162	если мы	7	2
163	к тому	4	2
164	виду что	2	2
165	тем не	2	2
166	что уже	2	2
167	зависимости от	5	2
168	так чтобы	2	2
169	в истории	5	2
170	ведь мы	2	2
171	с тем	7	2
172	очевидно что	2	2
173	в каких	2	2
174	в общем	2	2
175	нем и	2	2
176	в сущности	2	2
177	в искусстве	7	2
178	необходимо чтобы	2	2
179	в ней	5	2
180	всяком случае	6	2
181	на все	2	2
182	как не	2	2
183	во всех	3	2
184	дело не	2	2
185	ее в	3	2
186	данном случае	4	2
187	жизни с	2	2
188	в каждом	5	2
189	может и	3	2
190	тому что	3	2
191	так же	9	2
192	не на	3	2
193	т п	5	2
194	смысл и	4	2
195	с ее	2	2
196	как в	4	2
197	можно только	2	2
198	тем же	7	2
199	бы и	3	2
200	в своих	6	2
201	в результате	5	2
202	их в	3	2
203	бы ни	4	2
204	между тем	7	2
205	не как	2	2
206	тем что	5	2
207	или на	2	2
208	мы должны	2	2
209	же самое	3	2
210	во всяком	6	2
211	но ведь	4	2
212	все эти	6	2
213	души и	3	2
214	в области	2	2
215	но в	6	2
216	в жизни	11	2
217	том как	2	2
218	вместе с	6	2
219	на этом	2	2
