N	2gram	Propp_Morf_1	Mirosoze
1	и в	13	46
2	может быть	52	21
3	в этом	14	20
4	и не	12	18
5	не только	4	18
6	но и	4	15
7	не может	14	15
8	как и	3	13
9	а не	11	13
10	прежде всего	9	12
11	друг друга	3	12
12	потому что	3	12
13	у нас	2	11
14	та же	2	10
15	но в	2	10
16	он не	3	10
17	не в	3	9
18	и есть	2	8
19	но это	6	8
20	как бы	3	8
21	так как	16	8
22	она не	2	8
23	связана с	3	7
24	в этой	2	7
25	в нашем	3	7
26	что он	4	7
27	и к	4	7
28	как в	3	7
29	хотя бы	4	7
30	и для	2	7
31	вопрос о	7	6
32	так же	3	6
33	того что	3	6
34	и здесь	5	6
35	то же	7	5
36	совсем не	3	5
37	один из	5	5
38	что она	2	5
39	это не	6	5
40	друг к	2	5
41	к тому	4	5
42	к другу	2	5
43	то что	8	5
44	для того	2	5
45	что в	8	4
46	они и	3	4
47	тому что	4	4
48	не имеет	2	4
49	самого себя	2	4
50	также и	4	4
51	с его	2	4
52	все ли	2	4
53	том что	4	4
54	означает что	2	4
55	что и	7	4
56	так и	6	4
57	т е	21	4
58	уже не	2	4
59	того чтобы	3	4
60	к чему	3	4
61	себя и	2	3
62	в образе	4	3
63	в том	6	3
64	что они	2	3
65	смысле слова	4	3
66	сказать что	2	3
67	о том	2	3
68	его в	2	3
69	в россии	2	3
70	не существует	3	3
71	если бы	2	3
72	это и	2	3
73	есть и	4	3
74	от того	3	3
75	того как	2	3
76	тем что	4	3
77	только в	2	3
78	сам он	3	2
79	в этих	13	2
80	не всегда	9	2
81	на его	4	2
82	но для	2	2
83	хотя и	3	2
84	к нему	3	2
85	как то	2	2
86	и за	2	2
87	по отношению	4	2
88	а в	7	2
89	точки зрения	2	2
90	друг за	2	2
91	между тем	5	2
92	на этом	3	2
93	с собой	3	2
94	мы видим	13	2
95	то в	3	2
96	связи с	10	2
97	нельзя было	2	2
98	и что	2	2
99	мы увидим	8	2
100	не от	2	2
101	в сущности	3	2
102	во всех	4	2
103	другу и	2	2
104	оно не	2	2
105	отношению к	4	2
106	быть и	2	2
107	то перед	5	2
108	что же	2	2
109	можно было	2	2
110	тому как	5	2
111	подобно тому	6	2
112	как будто	2	2
113	и этим	5	2
114	в которой	3	2
115	ничего не	4	2
116	который может	2	2
