N	3gram	Bakhtin_sl_1	Problemy
1	и т п	23	9
2	с точки зрения	8	8
3	в большинстве случаев	6	8
4	до сих пор	2	7
5	к чужому слову	4	6
6	то же время	12	5
7	в то же	12	5
8	и т д	5	4
9	и не может	2	4
10	с чужим словом	8	4
11	друг с другом	2	4
12	той или иной	9	3
13	в той или	9	3
14	более или менее	3	3
15	можно было бы	2	3
16	с другой стороны	4	3
17	но в то	4	3
18	чужим словом в	3	3
19	в узком смысле	10	2
20	в то время	2	2
21	в самом предмете	3	2
22	как мы сказали	4	2
23	одно и то	2	2
24	не укладывается в	2	2
25	ту же тему	2	2
26	и то же	2	2
27	в отношении к	6	2
28	то время как	2	2
29	о том же	2	2
