N	3gram	Tiupa_Anal_1	Problema
1	по отношению к	5	19
2	и т п	3	13
3	не может быть	16	11
4	с точки зрения	4	6
5	в отличие от	6	5
6	в данном случае	2	4
7	с другой стороны	2	4
8	в конечном счете	4	4
9	то же время	6	3
10	в самом деле	2	3
11	в то же	8	3
12	с одной стороны	3	3
13	бы то ни	3	3
14	далеко не всегда	2	3
15	в том что	9	3
16	в основе своей	2	3
17	то ни было	3	2
18	коем случае не	2	2
19	той или иной	6	2
20	в коем случае	2	2
21	мы имеем дело	4	2
22	то же самое	2	2
23	не могут быть	2	2
24	ни в коем	2	2
25	того или иного	3	2
26	и не может	4	2
27	внешнее материальное произведение	2	2
28	в этом отношении	2	2
29	но и в	2	2
30	для того чтобы	3	2
