N	2gram	Vinokur_St_3	FransuaR
1	и в	25	65
2	то есть	2	45
3	и др	4	24
4	как бы	6	22
5	и не	10	22
6	вовсе не	2	18
7	в сущности	2	16
8	в том	20	16
9	в этом	24	15
10	но в	5	14
11	прежде всего	10	11
12	и на	6	11
13	и его	3	10
14	не только	12	10
15	но и	9	10
16	так и	5	10
17	все эти	3	10
18	в его	12	9
19	во всех	2	9
20	все это	8	9
21	в духе	2	8
22	всех этих	3	8
23	в области	6	7
24	точки зрения	7	7
25	только в	6	7
26	никогда не	2	6
27	том что	15	6
28	все же	4	6
29	как мы	2	6
30	времени и	2	6
31	еще не	2	6
32	может быть	19	6
33	в ней	4	6
34	в отношении	2	6
35	в году	5	6
36	и у	2	6
37	сказать что	4	6
38	одно из	2	6
39	так как	3	6
40	связана с	4	5
41	с его	3	5
42	в них	5	5
43	потому что	5	5
44	на протяжении	4	5
45	есть в	2	5
46	или иной	2	5
47	для него	3	5
48	и пр	13	5
49	в своей	4	5
50	связь с	4	5
51	как в	6	5
52	как и	4	5
53	в своих	8	5
54	между тем	6	5
55	xix века	4	5
56	в общем	4	4
57	связи с	3	4
58	это в	4	4
59	и к	4	4
60	не в	6	4
61	в этой	14	4
62	отношение к	4	4
63	в самом	2	4
64	xvii века	2	4
65	нужно сказать	2	4
66	сих пор	2	4
67	до сих	2	4
68	в их	3	4
69	во время	3	4
70	так сказать	2	4
71	в жизни	4	4
72	и ни	2	3
73	что в	19	3
74	не является	3	3
75	на котором	2	3
76	у шекспира	5	3
77	это не	7	3
78	и во	2	3
79	не просто	2	3
80	что он	19	3
81	мировой литературе	4	3
82	но все	2	3
83	но это	4	3
84	самом деле	2	3
85	к нему	4	3
86	с точки	4	3
87	то что	12	3
88	до нас	2	3
89	как раз	3	3
90	не может	7	3
91	этом отношении	4	3
92	и других	2	3
93	в форме	2	3
94	нужно отметить	2	3
95	уже не	3	3
96	в системе	3	3
97	с другой	5	3
98	он и	2	3
99	но как	2	3
100	связан с	3	3
101	и здесь	3	3
102	ничего не	4	3
103	и с	4	3
104	в виду	2	3
105	но не	2	2
106	во многом	2	2
107	начиная с	2	2
108	к тому	2	2
109	из этих	6	2
110	этих двух	2	2
111	во многих	2	2
112	его к	2	2
113	можно сказать	4	2
114	он был	3	2
115	мы видим	4	2
116	кроме того	3	2
117	до конца	3	2
118	одной стороны	3	2
119	в это	2	2
120	др но	2	2
121	несмотря на	3	2
122	например в	4	2
123	на его	4	2
124	между прочим	3	2
125	при всей	2	2
126	от того	2	2
127	он не	5	2
128	на что	2	2
129	подчеркнуть что	3	2
130	нет и	2	2
131	и для	4	2
132	в целом	4	2
133	в некоторых	3	2
134	с одной	2	2
135	того что	5	2
136	что не	2	2
137	что мы	3	2
138	и наконец	3	2
139	и по	2	2
140	не была	2	2
141	отметить что	5	2
142	или в	2	2
143	в этих	11	2
144	могут быть	2	2
145	ни на	2	2
146	о том	8	2
147	жизни но	2	2
148	и это	5	2
149	здесь только	2	2
150	в особенности	4	2
151	в чем	4	2
152	в чисто	2	2
153	это было	8	2
