N	2gram	Tiupa_Disk_2	Formalny
1	и не	15	30
2	и в	16	27
3	может быть	16	25
4	не может	9	24
5	так и	9	21
6	и его	3	19
7	в этом	16	18
8	а не	14	17
9	точки зрения	4	16
10	в нем	7	15
11	то же	6	15
12	как и	16	14
13	с точки	2	14
14	не в	3	12
15	место в	2	10
16	но и	11	10
17	не только	10	9
18	что в	5	8
19	ни в	7	8
20	при этом	17	8
21	в пределах	4	8
22	как бы	4	8
23	отнюдь не	6	8
24	и все	3	8
25	то что	5	8
26	входит в	2	8
27	только в	3	8
28	не менее	7	7
29	в том	8	7
30	же время	5	7
31	все это	2	7
32	потому что	4	7
33	в то	5	7
34	его в	3	7
35	между тем	2	7
36	в его	3	7
37	с другой	5	6
38	все эти	3	6
39	в своих	6	6
40	но в	11	6
41	произведения как	2	6
42	что он	2	6
43	еще не	6	6
44	все же	6	6
45	в своей	6	6
46	и для	2	6
47	в данном	7	6
48	и ее	3	6
49	вместе с	2	6
50	никогда не	2	5
51	не является	4	5
52	другой стороны	2	5
53	в ней	2	5
54	в результате	2	5
55	но не	7	5
56	что же	2	5
57	сводится к	2	5
58	тому как	2	5
59	прежде всего	7	4
60	и как	3	4
61	в большинстве	2	4
62	в целом	2	4
63	жизни и	3	4
64	данном случае	6	4
65	со стороны	10	4
66	о том	4	4
67	том что	10	4
68	как в	8	4
69	для данного	3	4
70	роль в	4	4
71	могут быть	3	4
72	подобно тому	2	4
73	же как	2	3
74	в этих	3	3
75	столь же	3	3
76	это не	3	3
77	вследствие этого	2	3
78	можно сказать	3	3
79	должна быть	2	3
80	не о	2	3
81	по отношению	4	3
82	той же	2	3
83	этом отношении	4	3
84	и на	5	3
85	не следует	3	3
86	их в	2	3
87	и с	2	3
88	в основе	4	3
89	к его	4	3
90	жизни в	3	3
91	в них	3	3
92	между жизнью	2	3
93	того же	2	3
94	еще в	3	3
95	отношению к	4	3
96	время в	2	3
97	может и	2	3
98	в той	2	3
99	уже не	3	3
100	героя в	5	3
101	не на	2	3
102	в себе	19	3
103	или иной	3	2
104	становления и	3	2
105	но это	3	2
106	такой же	2	2
107	в этой	4	2
108	является не	2	2
109	в формах	2	2
110	общения и	2	2
111	ни для	4	2
112	совпадает с	2	2
113	в котором	3	2
114	проявляется в	3	2
115	из них	3	2
116	жизнью и	2	2
117	в своем	5	2
118	романа и	2	2
119	может иметь	2	2
120	из виду	3	2
121	из этих	3	2
122	что ни	2	2
123	с его	6	2
124	и всякое	2	2
125	но при	2	2
126	в пределе	3	2
127	к этому	4	2
128	стороны и	2	2
129	с ее	2	2
130	говорить о	2	2
131	а к	2	2
132	не знают	3	2
133	на почве	2	2
134	с таким	2	2
135	что и	2	2
136	но уже	2	2
137	внутренней речи	3	2
138	в языке	2	2
139	в отличие	12	2
140	человека в	4	2
141	жанров в	2	2
142	отношения между	2	2
143	и это	2	2
144	дело в	2	2
145	здесь не	2	2
146	отличие от	12	2
147	в области	2	2
