N	3gram	Trubetskoy_1	Myshleni
1	в том что	3	31
2	с точки зрения	6	11
3	с одной стороны	7	9
4	те и другие	2	9
5	друг с другом	5	7
6	то же самое	2	7
7	в этом отношении	2	7
8	так же как	3	5
9	друг на друга	2	5
10	для того чтобы	5	5
11	на то что	2	4
12	с этой точки	2	4
13	этой точки зрения	2	4
14	по сравнению с	2	3
15	точно так же	3	3
16	о том что	4	3
17	в связи с	3	3
18	во всяком случае	6	3
19	вместе с тем	8	3
20	в том числе	5	2
21	том числе и	4	2
22	между этими двумя	2	2
23	а с другой	5	2
24	но вместе с	2	2
25	в том виде	2	2
