N	2gram	Nazirov_Tr_1	FransuaR
1	и в	18	41
2	то есть	3	20
3	в этом	9	15
4	и все	4	14
5	как и	5	14
6	в этой	4	13
7	то же	5	13
8	все эти	3	13
9	в его	3	12
10	прежде всего	4	11
11	в том	2	11
12	эпизод с	3	11
13	в себе	4	11
14	никто не	3	10
15	так и	5	10
16	все это	4	10
17	в то	5	10
18	и его	6	9
19	не в	2	9
20	же время	6	9
21	но и	4	9
22	в своем	3	9
23	что в	4	9
24	в конце	3	8
25	то что	4	8
26	но в	6	8
27	в романе	10	7
28	как бы	7	7
29	в нем	4	7
30	и не	7	7
31	у него	6	6
32	это не	5	6
33	ни в	2	6
34	для него	3	6
35	и до	2	6
36	о том	2	6
37	уже в	3	5
38	не только	8	5
39	что и	2	5
40	как в	3	5
41	в году	9	5
42	к нему	3	5
43	так же	4	5
44	и это	2	5
45	потому что	2	5
46	что это	5	4
47	в образе	6	4
48	и здесь	2	4
49	том что	4	4
50	но все	2	4
51	одна из	2	4
52	может быть	7	4
53	он не	2	4
54	к жизни	5	4
55	должно быть	3	4
56	и на	7	4
57	и с	7	4
58	одном из	2	4
59	ничего не	2	4
60	из самых	2	3
61	я не	4	3
62	в одном	2	3
63	в мире	3	3
64	он был	2	3
65	но это	4	3
66	при этом	3	3
67	в это	2	3
68	несмотря на	5	3
69	что он	6	3
70	с ее	3	3
71	не может	5	3
72	тем самым	3	3
73	не имеет	2	3
74	ничем не	2	3
75	тем что	2	3
76	его в	2	3
77	перед нами	2	2
78	что все	2	2
79	с его	2	2
80	но особенно	2	2
81	никогда не	2	2
82	и ее	2	2
83	к тому	2	2
84	и как	3	2
85	до конца	2	2
86	отношение к	2	2
87	еще не	4	2
88	своего рода	3	2
89	этот образ	4	2
90	не просто	2	2
91	не мог	2	2
92	говорит что	2	2
93	в силах	2	2
94	уже не	2	2
95	жизнь и	3	2
96	в данном	2	2
97	и то	2	2
98	с ним	3	2
