N	2gram	Savitsky_E_1	Dialekti
1	т е	9	46
2	не есть	2	40
3	и не	14	30
4	а не	2	18
5	может быть	6	17
6	то что	6	16
7	и в	37	15
8	как бы	6	14
9	не имеет	4	14
10	так как	7	14
11	точки зрения	23	14
12	что это	2	13
13	того что	7	13
14	по себе	4	13
15	прежде всего	9	11
16	в том	11	11
17	не может	9	11
18	и все	2	11
19	в этом	12	11
20	потому что	3	10
21	том что	6	10
22	было бы	8	9
23	мы не	4	9
24	и что	2	9
25	то же	15	9
26	с точки	17	9
27	не в	5	8
28	это значит	2	8
29	в себе	9	8
30	не только	18	8
31	что в	21	7
32	должна быть	2	7
33	и мы	3	7
34	как и	7	7
35	или в	2	7
36	только в	9	7
37	же время	14	6
38	хотя и	2	6
39	и тем	3	6
40	а именно	2	6
41	и даже	6	6
42	в результате	3	6
43	сказать что	4	6
44	вовсе не	6	6
45	ни на	3	6
46	если бы	2	6
47	тем более	4	6
48	в то	16	6
49	что и	3	6
50	так и	10	5
51	в своем	14	5
52	на то	6	5
53	можно сказать	4	5
54	и можно	2	5
55	как же	2	5
56	того чтобы	6	5
57	в ней	4	5
58	но если	5	5
59	в сфере	3	5
60	таким образом	2	5
61	именно в	4	5
62	и на	6	5
63	о том	3	5
64	тогда когда	2	5
65	есть не	2	5
66	то в	4	5
67	в смысле	9	5
68	для того	6	5
69	и для	3	5
70	в каком	4	5
71	что все	2	4
72	и как	2	4
73	в этой	2	4
74	есть в	2	4
75	жизни и	2	4
76	но и	14	4
77	так же	9	4
78	само по	4	4
79	также и	7	4
80	и с	2	4
81	той или	4	4
82	мы должны	2	4
83	в одном	2	4
84	с тем	3	4
85	отнюдь не	9	4
86	этом смысле	3	4
87	мы видим	2	4
88	то ни	4	4
89	или по	2	4
90	она не	2	4
91	в течение	5	4
92	бы в	2	4
93	хотя бы	15	4
94	в силу	2	4
95	в его	2	4
96	что если	2	3
97	тем самым	5	3
98	в свою	3	3
99	и если	2	3
100	и тут	2	3
101	говоря уже	2	3
102	не говоря	2	3
103	в их	11	3
104	и наконец	2	3
105	с этим	2	3
106	в истории	2	3
107	но в	14	3
108	от этого	5	3
109	в предыдущем	4	3
110	и та	2	3
111	будет ли	2	3
112	в своей	8	3
113	и потому	5	3
114	со стороны	5	3
115	говорит о	3	3
116	при помощи	2	3
117	когда он	3	3
118	бы и	3	3
119	как в	3	3
120	на основании	2	3
121	она в	3	3
122	и притом	4	3
123	в данном	3	3
124	и то	2	3
125	мы можем	3	3
126	в виде	5	3
127	могут быть	2	3
128	в области	11	3
129	не могут	2	2
130	в частности	5	2
131	в отношении	32	2
132	с этой	6	2
133	представление о	2	2
134	главным образом	2	2
135	чем больше	2	2
136	вопрос о	4	2
137	что на	2	2
138	заключается в	2	2
139	свою очередь	2	2
140	не дает	3	2
141	мог бы	2	2
142	в самом	4	2
143	никогда не	3	2
144	в котором	2	2
145	из них	3	2
146	другой стороны	2	2
147	и только	3	2
148	этой точки	5	2
149	можем сказать	2	2
150	и по	5	2
151	но как	2	2
152	ведь и	2	2
153	того или	4	2
154	как это	4	2
155	по общему	3	2
156	в них	3	2
157	сравнению с	2	2
158	и во	2	2
159	думать что	8	2
160	при условии	2	2
161	в ее	8	2
162	или иную	3	2
163	не будет	3	2
164	в качестве	14	2
165	не нужно	2	2
166	бы ни	3	2
167	ту или	3	2
168	но именно	2	2
169	одной из	5	2
170	себе не	3	2
171	по сравнению	2	2
172	как не	2	2
173	во всех	6	2
174	вместе с	2	2
175	ее в	3	2
176	что же	2	2
177	во всей	2	2
178	во всяком	3	2
179	и чем	2	2
180	тем что	3	2
181	как будто	2	2
182	отношении к	15	2
183	поскольку он	2	2
