N	2gram	Losev_Vesc_1	Vladivir
1	и в	21	31
2	не только	36	24
3	но и	18	19
4	то что	27	18
5	и не	29	17
6	у него	2	15
7	и даже	6	15
8	том что	8	14
9	что в	9	14
10	в этом	4	14
11	и с	8	14
12	в его	2	12
13	но в	5	12
14	в том	8	11
15	между прочим	3	11
16	потому что	16	11
17	о том	6	11
18	так что	5	10
19	и то	10	10
20	также и	6	10
21	никогда не	2	9
22	как мы	4	9
23	с а	4	9
24	а в	4	9
25	даже и	4	9
26	только в	14	9
27	в конце	2	9
28	в то	3	8
29	так как	7	8
30	для него	4	7
31	кроме того	4	7
32	об этом	3	7
33	как раз	9	7
34	тут же	2	7
35	и его	2	7
36	как это	2	7
37	сказать что	17	7
38	мы уже	3	7
39	еще и	8	7
40	е в	7	7
41	можно сказать	6	6
42	у нас	7	6
43	того же	5	6
44	и потому	5	6
45	может быть	16	6
46	свое время	2	6
47	в котором	3	6
48	так и	3	6
49	не может	17	6
50	то же	6	6
51	и что	15	6
52	а с	3	5
53	все это	5	5
54	вовсе не	10	5
55	на то	4	5
56	не в	5	5
57	и если	2	5
58	со своим	7	5
59	и от	3	5
60	в свое	2	5
61	что и	3	5
62	жизни и	2	5
63	что же	8	5
64	но он	2	5
65	с ним	8	5
66	я не	4	4
67	в своем	6	4
68	что у	5	4
69	и все	5	4
70	в нем	2	4
71	для нас	2	4
72	к ней	2	4
73	в себе	14	4
74	да и	3	4
75	как и	8	4
76	и как	8	4
77	в этой	3	4
78	по своей	2	4
79	никак не	3	4
80	хотя и	4	4
81	один из	3	4
82	себя в	10	4
83	в своей	5	4
84	ни с	6	4
85	мысли и	3	4
86	и у	3	4
87	из его	2	4
88	дело в	4	4
89	в россии	2	4
90	для меня	2	4
91	но только	3	3
92	только к	2	3
93	но на	2	3
94	к тому	3	3
95	отнюдь не	5	3
96	с другой	6	3
97	в жизни	3	3
98	но не	5	3
99	но это	10	3
100	что они	6	3
101	но что	2	3
102	ничего не	3	3
103	тот же	3	3
104	конце концов	2	3
105	все же	4	3
106	только на	3	3
107	другой стороны	2	3
108	в отношении	4	3
109	собственно говоря	4	3
110	таким образом	8	3
111	все эти	3	3
112	и вот	2	3
113	если не	3	3
114	о которой	2	3
115	в в	2	3
116	уже не	9	3
117	свидетельствует о	3	3
118	и притом	3	3
119	же т	3	3
120	это можно	2	3
121	то мы	2	3
122	с в	2	3
123	и здесь	4	3
124	но она	3	3
125	тем что	2	2
126	нисколько не	4	2
127	с тем	5	2
128	не менее	3	2
129	для нее	2	2
130	но даже	3	2
131	от нее	2	2
132	она была	2	2
133	хотя бы	6	2
134	по существу	2	2
135	кто не	3	2
136	что все	2	2
137	ясно что	8	2
138	тем не	3	2
139	это и	6	2
140	что я	24	2
141	на этом	2	2
142	еще не	8	2
143	того что	8	2
144	было бы	14	2
145	совершенно не	5	2
146	что на	2	2
147	в самом	9	2
148	и о	3	2
149	на это	4	2
150	всяком случае	2	2
151	для себя	5	2
152	и тут	3	2
153	и т	19	2
154	и а	2	2
155	в свой	2	2
156	из них	4	2
157	то как	2	2
158	дело не	2	2
159	со стороны	5	2
160	что она	15	2
161	даже не	7	2
162	только что	2	2
163	то и	4	2
164	как к	4	2
165	т д	19	2
166	и для	9	2
167	чем не	2	2
168	того чтобы	3	2
169	для того	2	2
170	что мы	14	2
171	что такое	12	2
172	той же	2	2
173	не из	2	2
174	с ними	3	2
175	в философии	5	2
176	в результате	3	2
177	во всяком	3	2
178	точки зрения	5	2
179	к себе	4	2
180	у меня	3	2
181	и еще	2	2
182	для тех	3	2
183	того и	2	2
184	мы должны	2	2
185	и это	14	2
186	а это	4	2
187	в чем	6	2
