N	2gram	Tiupa_Narr_2	Tvorches
1	и в	13	20
2	не только	26	13
3	и т	2	13
4	никогда не	6	11
5	как бы	6	11
6	в его	6	10
7	таким образом	5	10
8	в то	5	10
9	и его	3	9
10	и не	14	9
11	прежде всего	6	8
12	в том	14	8
13	при этом	14	8
14	но и	15	8
15	может быть	10	8
16	в этом	13	8
17	это не	3	7
18	же время	3	7
19	что в	4	7
20	не может	8	7
21	то же	4	7
22	потому что	2	7
23	у него	6	6
24	в конце	4	6
25	что он	5	6
26	как и	4	6
27	в целом	3	6
28	в своей	4	6
29	так и	9	6
30	именно в	2	6
31	а не	17	6
32	в мире	4	5
33	но это	2	5
34	еще не	2	5
35	но не	3	5
36	читателя в	4	5
37	и сам	3	5
38	все же	6	5
39	и даже	3	5
40	так же	2	5
41	в этой	4	5
42	о том	5	5
43	то есть	9	5
44	об этом	4	4
45	в душе	2	4
46	что у	2	4
47	мы не	2	4
48	в соответствии	3	4
49	том что	13	4
50	соответствии с	3	4
51	что они	3	4
52	отнюдь не	4	4
53	хотя и	5	4
54	что она	2	4
55	на стороне	2	4
56	как в	5	4
57	если не	2	4
58	все эти	3	4
59	тем самым	5	4
60	героя в	6	4
61	в принципе	2	4
62	не в	8	4
63	а в	9	4
64	в чем	2	4
65	ничего не	6	4
66	если бы	4	4
67	но в	6	4
68	это был	2	3
69	место в	5	3
70	а с	2	3
71	он сам	2	3
72	же как	2	3
73	жизни в	6	3
74	превращается в	2	3
75	с этой	3	3
76	своих героев	2	3
77	с ним	4	3
78	но зато	2	3
79	характера и	3	3
80	отношению к	5	3
81	быть может	2	3
82	одна из	3	3
83	для него	4	3
84	у нее	4	3
85	своего рода	9	3
86	в самом	2	3
87	о жизни	4	3
88	он не	5	3
89	в котором	5	3
90	не является	4	3
91	один из	3	3
92	в нем	5	3
93	то что	8	3
94	главного героя	2	3
95	по отношению	5	3
96	тогда как	15	3
97	уже не	4	3
98	в таком	3	3
99	в рассказе	4	3
100	в своих	2	3
101	в себе	8	3
102	в начале	2	3
103	как у	4	3
104	между тем	3	3
105	действующих лиц	3	2
106	а во	2	2
107	зависит от	2	2
108	не менее	4	2
109	по словам	2	2
110	личности в	2	2
111	восходит к	2	2
112	давно уже	2	2
113	точку зрения	3	2
114	с другой	5	2
115	или даже	3	2
116	я не	5	2
117	вовсе не	2	2
118	со своими	2	2
119	в литературе	4	2
120	в ее	4	2
121	тому же	4	2
122	у нас	2	2
123	мы узнаем	2	2
124	что я	3	2
125	к миру	2	2
126	как о	2	2
127	особое место	3	2
128	которой он	3	2
129	в произведениях	3	2
130	в частности	11	2
131	то у	3	2
132	себя в	2	2
133	в процессе	2	2
134	на него	5	2
135	как по	3	2
136	в отличие	5	2
137	т п	2	2
138	для автора	2	2
139	достоевского и	2	2
140	сводится к	9	2
141	самом деле	3	2
142	и что	2	2
143	и у	4	2
144	может служить	2	2
145	и он	2	2
146	и по	3	2
147	роль в	2	2
148	с ними	3	2
149	не столько	5	2
150	не случайно	2	2
151	в виде	2	2
152	говорить о	2	2
153	с другим	2	2
154	только в	11	2
155	как правило	3	2
156	героя и	2	2
157	так сказать	3	2
158	едва ли	3	2
159	отличие от	5	2
160	к которому	2	2
