N	3gram	Vygotskiy__4	formyVre
1	как мы уже	3	8
2	и того же	5	5
3	одного и того	5	5
4	в связи с	3	5
5	для того чтобы	5	5
6	в том числе	2	4
7	нашей точки зрения	2	3
8	между этими двумя	2	3
9	одно и то	6	3
10	мы уже говорили	2	3
11	с нашей точки	2	3
12	в этом отношении	7	3
13	и то же	6	3
14	друг на друга	5	2
15	по сравнению с	3	2
16	же как и	4	2
17	так же как	5	2
18	и не только	2	2
19	с точки зрения	11	2
20	с одной стороны	9	2
21	одной стороны и	2	2
22	том числе и	2	2
23	в отличие от	2	2
24	вместе с тем	3	2
25	в том что	31	2
26	но и в	2	2
