N	2gram	Tiupa_Vved_1	UchenyiS
1	и в	13	14
2	а не	15	10
3	не только	20	10
4	и не	12	8
5	прежде всего	7	8
6	то что	6	7
7	в этом	21	7
8	не может	7	7
9	может быть	18	6
10	то же	5	5
11	но и	19	4
12	с другой	5	4
13	что такое	18	4
14	но в	6	3
15	как и	11	3
16	все же	6	3
17	не следует	3	3
18	в своей	5	3
19	в частности	13	3
20	же время	3	3
21	другой стороны	2	3
22	для него	3	3
23	это не	6	3
24	в то	4	3
25	не как	2	3
26	было бы	4	3
27	и т.д	5	3
28	в области	3	3
29	не о	2	3
30	том что	7	2
31	но не	5	2
32	в том	10	2
33	не все	2	2
34	мы не	4	2
35	не в	6	2
36	и для	3	2
37	но это	3	2
38	мы и	2	2
39	бы и	4	2
40	должна быть	2	2
41	в противовес	3	2
42	не столько	4	2
43	о чем	2	2
44	если бы	7	2
45	только в	6	2
46	и с	2	2
47	тем что	2	2
48	могут быть	4	2
49	все они	2	2
50	в себе	5	2
51	как раз	2	2
52	что мы	2	2
53	этом отношении	4	2
54	ни от	2	2
55	в самом	2	2
56	в итоге	3	2
57	по себе	2	2
58	а его	2	2
59	сводится к	4	2
60	одним из	5	2
61	самом деле	3	2
62	что и	2	2
63	в его	4	2
64	таким образом	4	2
