N	2gram	Losev_Vlad_1	Myshleni
1	в том	11	42
2	том что	14	35
3	таким образом	3	25
4	точки зрения	2	24
5	в этом	14	24
6	в качестве	6	21
7	и в	31	20
8	что в	14	19
9	то же	6	16
10	то что	18	15
11	не только	24	15
12	что они	3	14
13	как мы	9	13
14	с другой	3	12
15	при этом	2	12
16	потому что	11	12
17	может быть	6	12
18	в целом	3	11
19	в его	12	11
20	мы должны	2	11
21	того что	2	10
22	в истории	4	10
23	так как	8	10
24	в отношении	3	10
25	и то	10	10
26	в себе	4	10
27	только в	9	10
28	и как	4	9
29	но и	19	9
30	другой стороны	3	9
31	как это	7	9
32	как и	4	9
33	того же	6	9
34	тот же	3	9
35	что и	5	9
36	и не	17	8
37	и что	6	8
38	в результате	2	8
39	этом смысле	4	8
40	было бы	2	8
41	вместе с	3	8
42	что мы	2	7
43	и тот	2	7
44	в своей	4	7
45	тем самым	2	7
46	того чтобы	2	7
47	тем что	2	7
48	один и	2	7
49	уже в	7	6
50	к тому	3	6
51	тому же	2	6
52	такого рода	4	6
53	в самом	2	6
54	не может	6	6
55	и на	3	6
56	сказать что	7	6
57	по своей	4	6
58	с тем	2	6
59	что он	12	6
60	той же	2	6
61	в частности	2	5
62	никогда не	9	5
63	на то	5	5
64	что такое	2	5
65	и его	7	5
66	и к	6	5
67	все же	3	5
68	о том	11	5
69	мы уже	7	5
70	так и	6	5
71	как в	3	5
72	для того	2	5
73	все эти	3	5
74	в нашем	4	4
75	в своем	4	4
76	первый план	2	4
77	для нас	4	4
78	что с	2	4
79	из них	2	4
80	как он	4	4
81	и с	14	4
82	к этому	6	4
83	на первый	2	4
84	его к	2	4
85	по своему	3	4
86	только что	2	4
87	не в	5	4
88	и для	2	4
89	во всяком	2	4
90	на этом	2	3
91	не менее	2	3
92	и от	5	3
93	что все	2	3
94	на все	2	3
95	так что	10	3
96	с первого	2	3
97	в этой	4	3
98	но что	3	3
99	одной из	2	3
100	всяком случае	2	3
101	один из	4	3
102	со стороны	2	3
103	в связи	3	3
104	то обстоятельство	2	3
105	и других	2	3
106	на его	3	3
107	обстоятельство что	2	3
108	но в	12	3
109	отнюдь не	3	3
110	по существу	2	3
111	во всем	4	3
112	но не	3	3
113	только к	3	3
114	себя в	4	3
115	когда он	5	3
116	совершенно не	2	3
117	говорит что	4	3
118	на этот	6	3
119	ни в	2	3
120	в виде	3	3
121	в чем	2	3
122	в которой	4	3
123	место в	2	2
124	мы будем	2	2
125	толстой и	2	2
126	это мы	2	2
127	что на	2	2
128	мы и	4	2
129	для него	7	2
130	и у	4	2
131	том чтобы	2	2
132	одним из	2	2
133	в нем	4	2
134	к нему	4	2
135	то как	2	2
136	не по	2	2
137	на одной	3	2
138	этой области	2	2
139	здесь мы	3	2
140	а в	9	2
141	у одного	2	2
142	также и	10	2
143	виде в	2	2
144	из этих	2	2
145	и здесь	3	2
146	но как	5	2
147	в начале	3	2
148	под влиянием	3	2
149	нисколько не	2	2
150	уже и	2	2
151	у него	15	2
152	ясно что	2	2
153	с которым	2	2
154	указывает на	2	2
155	еще не	2	2
156	он говорит	2	2
157	свое время	6	2
158	никак не	4	2
159	которую он	2	2
160	в свое	5	2
161	а также	5	2
162	даже в	2	2
163	и речи	3	2
164	мысли и	4	2
165	только на	3	2
166	а с	5	2
167	если не	3	2
168	и он	3	2
169	что этот	3	2
170	в каком	2	2
171	и это	2	2
172	здесь не	3	2
173	едва ли	3	2
