N	2gram	Berdyaev_O_1	Psycholo
1	и в	19	38
2	то что	5	35
3	в том	5	25
4	в самом	5	25
5	что в	4	20
6	может быть	11	19
7	том что	2	14
8	как бы	3	14
9	потому что	9	14
10	в этой	5	13
11	в этом	12	13
12	было бы	3	12
13	не только	11	12
14	не в	11	12
15	что он	3	11
16	и не	13	10
17	и все	10	10
18	того чтобы	4	9
19	все же	2	8
20	с тем	2	8
21	как и	6	8
22	так что	2	8
23	для того	3	8
24	и то	2	8
25	в ее	2	7
26	а не	11	7
27	не может	4	7
28	что у	2	7
29	а в	5	7
30	не имеет	2	6
31	он не	7	6
32	так как	2	6
33	и его	4	6
34	и на	2	6
35	о том	3	6
36	в своем	2	5
37	в своей	2	5
38	но и	13	5
39	в другом	2	5
40	в его	7	5
41	в которой	2	5
42	никогда не	9	4
43	что они	2	4
44	когда он	3	4
45	и для	2	4
46	в самой	9	4
47	не могли	2	4
48	в нем	10	4
49	что и	2	4
50	ее в	2	4
51	все эти	4	4
52	того что	3	4
53	в своих	3	4
54	сказать что	2	4
55	у него	22	4
56	в себе	3	4
57	что все	2	3
58	к этому	2	3
59	и к	2	3
60	он был	8	3
61	совсем не	2	3
62	и о	2	3
63	все это	6	3
64	что не	4	3
65	тем что	2	3
66	его в	2	3
67	но в	2	3
68	не могут	3	2
69	человеке и	5	2
70	в этих	3	2
71	хотя бы	3	2
72	о человеке	29	2
73	и ее	3	2
74	самого конца	2	2
75	до конца	7	2
76	своей жизни	2	2
77	из всего	2	2
78	для него	5	2
79	должен был	2	2
80	но он	7	2
81	к ней	2	2
82	и очень	2	2
83	что же	2	2
84	до самого	5	2
85	и вот	3	2
86	он в	2	2
87	одно из	2	2
88	как к	2	2
89	в истории	2	2
90	в русской	3	2
91	к этой	2	2
92	с ним	3	2
93	ничего не	2	2
