N	2gram	Nazirov_Tv_2	Sovremen
1	не может	7	17
2	может быть	8	12
3	таким образом	10	11
4	мы не	4	9
5	в этом	8	7
6	и в	20	7
7	и не	9	6
8	как и	6	6
9	ничего не	4	6
10	прежде всего	8	5
11	все эти	4	5
12	и наконец	2	5
13	как бы	11	4
14	нет и	2	4
15	в целом	6	4
16	вместе с	3	4
17	это не	7	4
18	а в	4	4
19	не только	13	4
20	в том	8	4
21	в дальнейшем	4	4
22	их в	2	4
23	из них	2	4
24	точку зрения	2	4
25	так как	3	4
26	уже в	2	3
27	все же	5	3
28	отнюдь не	4	3
29	все это	6	3
30	в конце	6	3
31	то же	7	3
32	в нем	3	3
33	а не	6	3
34	у нас	2	3
35	не в	4	3
36	в этой	5	3
37	одна из	3	3
38	еще не	5	3
39	при этом	8	3
40	и мы	3	3
41	в одном	2	3
42	в себе	3	3
43	что она	4	3
44	но в	4	3
45	и потому	4	3
46	так сказать	2	2
47	не менее	2	2
48	и есть	2	2
49	в виде	2	2
50	у него	6	2
51	приводит к	2	2
52	в отличие	2	2
53	уже не	3	2
54	самом деле	2	2
55	и что	2	2
56	роль в	2	2
57	на этот	2	2
58	и даже	5	2
59	и по	2	2
60	мы видим	4	2
61	в таком	3	2
62	такой же	2	2
63	во всяком	2	2
64	могут быть	2	2
65	как известно	2	2
66	что в	7	2
67	говорить о	2	2
68	которой он	2	2
69	на его	4	2
70	по мнению	3	2
71	в самом	3	2
72	о жизни	3	2
73	в которой	2	2
74	отличие от	2	2
75	в его	10	2
76	в которую	2	2
77	всяком случае	2	2
