N	2gram	Voloshinov_1	Vladivir
1	и в	16	31
2	не только	7	24
3	но и	4	19
4	то что	3	18
5	и не	4	17
6	у него	2	15
7	и даже	4	15
8	том что	3	14
9	что в	3	14
10	в этом	9	14
11	и с	8	14
12	что он	2	12
13	в его	4	12
14	но в	4	12
15	с его	7	11
16	в том	3	11
17	о том	2	11
18	он не	2	10
19	никогда не	2	9
20	как мы	4	9
21	а в	3	9
22	только в	4	9
23	и по	2	8
24	так как	4	8
25	для него	6	7
26	и его	8	7
27	как это	3	7
28	сказать что	7	7
29	мы уже	2	7
30	к этому	2	6
31	и к	6	6
32	можно сказать	4	6
33	того же	2	6
34	и потому	3	6
35	может быть	17	6
36	так и	4	6
37	не может	8	6
38	то же	2	6
39	все это	4	5
40	но как	2	5
41	в свое	2	5
42	что и	2	5
43	жизни и	3	5
44	с ним	2	5
45	и все	4	4
46	и теперь	3	4
47	этом смысле	3	4
48	в нем	4	4
49	для нас	2	4
50	и вообще	2	4
51	как и	2	4
52	и как	3	4
53	в этой	4	4
54	совсем не	2	4
55	один из	2	4
56	в своей	2	4
57	в этот	2	4
58	мысли и	4	4
59	для меня	2	4
60	в общем	3	3
61	и через	2	3
62	всей жизни	2	3
63	отнюдь не	4	3
64	и так	2	3
65	в жизни	2	3
66	но это	2	3
67	по своему	2	3
68	всю жизнь	2	3
69	за пределы	2	3
70	отношение к	5	3
71	вместе с	3	3
72	только на	3	3
73	таким образом	9	3
74	все эти	5	3
75	и вот	3	3
76	в науке	2	3
77	и притом	3	3
78	едва ли	3	3
79	и на	4	3
80	в начале	2	3
81	во время	3	3
82	и действительно	2	3
83	это делает	2	2
84	не менее	2	2
85	в частности	2	2
86	нет и	2	2
87	в них	2	2
88	хотя бы	4	2
89	на первый	2	2
90	но зато	2	2
91	мы знаем	3	2
92	ни в	5	2
93	на этом	3	2
94	учение о	3	2
95	все что	4	2
96	еще не	5	2
97	при этом	6	2
98	было бы	2	2
99	кажется что	2	2
100	и мы	2	2
101	совершенно не	8	2
102	что на	2	2
103	в самом	2	2
104	конечно не	6	2
105	и о	2	2
106	всяком случае	3	2
107	даже не	3	2
108	но мы	4	2
109	и для	2	2
110	чем не	3	2
111	и других	2	2
112	что мы	2	2
113	что такое	5	2
114	своей жизни	2	2
115	с ними	4	2
116	не существовало	2	2
117	во всяком	3	2
118	знаем что	2	2
119	точки зрения	8	2
120	к себе	3	2
121	в каком	2	2
122	из этих	2	2
123	и это	6	2
124	тех же	3	2
125	в чем	5	2
126	почти не	2	2
