N	2gram	Savitsky_P_1	Istorich
1	и в	14	28
2	может быть	5	25
3	и т	3	25
4	не может	4	15
5	а не	2	15
6	для нас	2	13
7	мы должны	4	13
8	что в	4	12
9	то же	9	12
10	не только	17	12
11	только в	7	11
12	прежде всего	3	10
13	но и	6	10
14	т е	3	10
15	мы не	3	10
16	в том	9	9
17	то что	4	9
18	и не	12	9
19	не в	5	9
20	если бы	4	8
21	в этом	10	8
22	но в	9	8
23	это не	3	7
24	том что	4	7
25	было бы	6	7
26	в ней	6	7
27	а в	4	7
28	что мы	3	7
29	с другой	5	6
30	не менее	2	6
31	вслед за	3	6
32	в силу	2	5
33	но не	3	5
34	например в	2	5
35	в качестве	9	5
36	не будем	2	5
37	в своем	4	5
38	в его	2	5
39	все это	2	4
40	с тем	3	4
41	в пределах	8	4
42	и пр	5	4
43	одной стороны	3	4
44	с этим	2	4
45	с одной	3	4
46	того что	2	4
47	хотя бы	8	4
48	и с	2	4
49	потому что	3	4
50	могут быть	3	4
51	по себе	4	3
52	именно в	2	3
53	в начале	2	3
54	наряду с	3	3
55	в которую	2	3
56	в котором	4	3
57	из них	2	3
58	к чему	2	3
59	в то	7	3
60	в частности	2	2
61	столь же	3	2
62	и потому	4	2
63	в ее	2	2
64	и как	3	2
65	одна из	2	2
66	тот же	3	2
67	мысль о	2	2
68	и мы	2	2
69	и если	4	2
70	как бы	4	2
71	и тем	2	2
72	в нем	3	2
73	во всех	2	2
74	в русской	4	2
75	со стороны	2	2
76	во всей	2	2
77	как раз	2	2
78	отношения к	2	2
79	в виде	2	2
80	пути в	2	2
81	и вот	2	2
82	должно быть	2	2
83	между тем	3	2
84	xix века	6	2
85	в себе	3	2
86	в области	11	2
