N	2gram	Ircho_Kome_3	Stilisti
1	и в	22	42
2	как бы	3	27
3	не только	5	27
4	прежде всего	5	22
5	хотя бы	4	17
6	но и	4	15
7	то же	7	15
8	и не	21	14
9	может быть	6	12
10	не может	3	12
11	точки зрения	4	11
12	как и	3	11
13	что мы	2	10
14	отнюдь не	4	10
15	как мы	2	10
16	в этом	8	10
17	при этом	7	9
18	в то	6	9
19	то что	4	9
20	для того	6	9
21	мы не	2	9
22	все же	4	8
23	в ней	4	8
24	таким образом	12	8
25	с тем	4	8
26	в себе	4	8
27	и это	2	8
28	никогда не	3	7
29	же время	5	7
30	и на	2	7
31	потому что	10	7
32	так как	11	7
33	с его	3	7
34	было бы	3	7
35	а не	4	7
36	того чтобы	6	7
37	и его	6	7
38	мы можем	3	7
39	в которой	3	7
40	ничего не	3	7
41	не в	4	6
42	в этой	3	6
43	в свою	7	6
44	на его	2	6
45	в конце	7	6
46	в нем	3	6
47	во всех	2	6
48	так и	4	6
49	в области	2	6
50	уже в	2	5
51	тому что	2	5
52	не является	4	5
53	с помощью	4	5
54	а в	7	5
55	и с	4	5
56	же самое	3	5
57	как это	5	5
58	в его	8	5
59	вместе с	9	5
60	с точки	3	5
61	самого начала	4	4
62	все время	2	4
63	и без	2	4
64	само собой	4	4
65	к тому	6	4
66	с самого	4	4
67	которой мы	2	4
68	но все	4	4
69	свою очередь	6	4
70	в качестве	2	4
71	в самом	9	4
72	один из	3	4
73	все это	5	4
74	так же	4	4
75	о том	8	4
76	его в	8	4
77	бы в	4	4
78	но в	5	4
79	если бы	8	4
80	и к	3	4
81	человека не	2	4
82	на него	4	4
83	если мы	2	4
84	к своему	2	4
85	самом деле	6	4
86	тем же	3	4
87	можно было	2	4
88	на это	3	4
89	до того	2	3
90	это не	2	3
91	этом случае	2	3
92	не мог	2	3
93	хотя и	5	3
94	в котором	2	3
95	в целом	3	3
96	из них	5	3
97	от того	2	3
98	и даже	3	3
99	не так	3	3
100	нуждается в	2	3
101	их в	3	3
102	и здесь	4	3
103	в начале	3	3
104	в виду	2	3
105	и все	2	3
106	в одном	2	3
107	но при	2	3
108	если он	2	3
109	об этом	7	3
110	в ее	3	3
111	том что	13	3
112	еще не	6	3
113	конечно не	3	3
114	должно было	3	3
115	нет и	4	3
116	что и	8	3
117	не будет	2	3
118	отношения к	2	3
119	если не	3	3
120	между ними	2	3
121	и для	4	3
122	роль в	2	3
123	конце концов	2	3
124	связи с	5	3
125	не знает	3	3
126	и поэтому	4	3
127	в частности	3	2
128	в какой	3	2
129	человека и	2	2
130	человека в	2	2
131	в мире	2	2
132	в том	12	2
133	тому же	6	2
134	до конца	4	2
135	в пределах	2	2
136	и сам	5	2
137	несмотря на	4	2
138	не с	2	2
139	отношение к	5	2
140	целый ряд	2	2
141	в связи	4	2
142	в отношении	4	2
143	не было	2	2
144	этом отношении	2	2
145	его не	2	2
146	либо в	4	2
147	в которых	5	2
148	в своих	2	2
149	теперь же	3	2
150	нет ничего	2	2
151	в основе	2	2
152	однако в	4	2
153	между собой	4	2
154	с этим	3	2
155	себе в	3	2
156	к этому	6	2
157	ясно что	6	2
158	что он	8	2
159	представляет собой	3	2
160	по своему	3	2
161	а на	2	2
162	равно как	2	2
163	тот же	2	2
164	одной из	3	2
165	перед ним	3	2
166	в своей	5	2
167	сих пор	9	2
168	как в	2	2
169	при всем	2	2
170	здесь не	2	2
171	бы не	2	2
172	ли не	2	2
173	из которых	2	2
174	и он	2	2
175	к нему	5	2
176	с ним	5	2
177	собой разумеется	2	2
178	тем что	5	2
179	этих слов	2	2
