N	2gram	Bakhtin_fo_1	Problema
1	и в	50	44
2	вовсе не	13	37
3	и не	14	35
4	то есть	33	34
5	может быть	11	28
6	потому что	4	25
7	по себе	2	25
8	то что	6	23
9	в том	9	21
10	только в	4	19
11	а не	3	18
12	в этом	25	17
13	для нас	2	16
14	также и	2	16
15	сказать что	3	16
16	если мы	2	16
17	и даже	2	14
18	не только	9	14
19	и то	4	14
20	не в	5	13
21	и т	8	13
22	то же	11	13
23	той или	2	12
24	но в	10	12
25	том что	4	12
26	не является	2	11
27	но и	8	10
28	в виду	3	10
29	отнюдь не	5	10
30	как и	8	10
31	так и	12	10
32	это не	6	9
33	в нем	24	9
34	не имеет	4	9
35	и с	4	9
36	как бы	2	9
37	так как	6	9
38	в то	9	9
39	в его	13	9
40	что и	3	9
41	в данном	2	9
42	во всяком	3	9
43	и это	4	9
44	таким образом	11	9
45	что в	5	8
46	только и	5	8
47	или иной	2	8
48	ни в	8	8
49	смысле слова	2	8
50	того что	2	8
51	что мы	2	8
52	было бы	2	8
53	он не	5	8
54	как раз	13	8
55	как мы	14	8
56	в себе	3	8
57	связи с	6	8
58	и вообще	2	8
59	здесь не	4	8
60	с другой	2	7
61	не может	6	7
62	в связи	5	7
63	уже не	2	7
64	еще и	2	7
65	все эти	9	7
66	мы находим	2	7
67	мы должны	2	7
68	здесь только	2	7
69	с ним	2	7
70	и потому	3	7
71	мы не	3	7
72	никогда не	2	6
73	в целом	2	6
74	жизни и	8	6
75	нет ничего	4	6
76	ясно что	2	6
77	и к	2	6
78	все же	6	6
79	не было	7	5
80	в нашем	2	5
81	есть именно	2	5
82	в конце	9	5
83	а только	2	5
84	да и	3	5
85	с тем	3	5
86	хотя и	3	5
87	в ней	4	5
88	все это	4	5
89	в своем	4	5
90	а в	3	5
91	точки зрения	5	5
92	значение и	3	5
93	есть не	3	5
94	в таком	3	5
95	еще не	5	5
96	в своей	2	5
97	как в	6	5
98	так же	6	5
99	только на	3	5
100	и его	16	5
101	при этом	3	4
102	не имеют	3	4
103	время как	5	4
104	совершенно не	2	4
105	ни с	2	4
106	всякого рода	2	4
107	есть только	2	4
108	же и	2	4
109	и является	2	4
110	сколько угодно	2	4
111	раз и	2	4
112	то время	4	4
113	мы уже	11	4
114	а также	2	4
115	в ее	6	4
116	в чем	2	4
117	или в	3	4
118	нас в	3	4
119	тем что	2	4
120	в каком	2	4
121	дело в	2	4
122	уже в	2	3
123	же как	2	3
124	и другие	5	3
125	формы и	3	3
126	прежде всего	15	3
127	к тому	3	3
128	жизнь в	2	3
129	и как	10	3
130	но все	5	3
131	с самим	5	3
132	для него	2	3
133	кроме того	4	3
134	здесь и	2	3
135	в самом	8	3
136	значение в	5	3
137	отношения к	3	3
138	чем не	3	3
139	но эта	3	3
140	в которых	2	3
141	его в	3	3
142	или как	4	3
143	в порядке	3	3
144	ни к	3	3
145	если бы	5	3
146	в условиях	7	3
147	об этом	2	3
148	же в	3	3
149	но не	5	3
150	в качестве	3	3
151	здесь в	2	3
152	одно и	3	3
153	этого произведения	2	3
154	но оно	2	3
155	быть и	2	3
156	во всей	3	3
157	и все	6	3
158	в той	4	3
159	хотя бы	2	3
160	отличие от	2	3
161	с другими	3	3
162	и ее	3	3
163	как оно	2	3
164	слова и	2	3
165	есть в	2	3
166	ничего не	9	3
167	не обязательно	2	2
168	мы будем	2	2
169	время и	4	2
170	именно в	3	2
171	в частности	6	2
172	в этих	3	2
173	в отношении	3	2
174	того же	8	2
175	никто не	2	2
176	само собой	2	2
177	что все	2	2
178	всех этих	5	2
179	до сих	3	2
180	совсем не	2	2
181	и нет	2	2
182	и следовательно	4	2
183	в котором	4	2
184	с ее	6	2
185	и до	5	2
186	природы и	2	2
187	в их	6	2
188	происходит в	2	2
189	с одной	3	2
190	а мы	2	2
191	в буквальном	2	2
192	и по	2	2
193	этим мы	2	2
194	друг друга	3	2
195	широком смысле	2	2
196	в результате	6	2
197	в основе	5	2
198	с этим	6	2
199	в начале	3	2
200	поэтому и	3	2
201	в самой	2	2
202	а как	3	2
203	для них	3	2
204	всей его	2	2
205	и во	7	2
206	и образ	3	2
207	человеческую жизнь	2	2
208	по существу	12	2
209	с их	2	2
210	и может	2	2
211	нет здесь	3	2
212	не являются	2	2
213	мы говорили	3	2
214	во всех	6	2
215	только к	3	2
216	для себя	7	2
217	он только	2	2
218	по сравнению	2	2
219	и всей	2	2
220	в процессе	4	2
221	вместе с	3	2
222	сих пор	3	2
223	даже не	2	2
224	человеческой жизни	6	2
225	в отличие	2	2
226	жизнь и	4	2
227	и у	5	2
228	значение но	2	2
229	и для	4	2
230	с точки	2	2
231	своей собственной	3	2
232	у них	2	2
233	мы и	4	2
234	могут быть	5	2
235	как она	2	2
236	разного рода	2	2
237	сравнению с	2	2
238	жизни но	5	2
239	в которой	2	2
