N	2gram	Losev_Prob_5	Hudozhes
1	в качестве	4	19
2	то есть	21	18
3	и не	12	16
4	в том	12	15
5	и в	30	15
6	не только	18	15
7	в частности	4	13
8	может быть	7	13
9	при этом	4	12
10	а в	6	12
11	и его	6	12
12	но не	7	11
13	в этом	17	11
14	в себе	4	11
15	как бы	6	10
16	отношению к	2	10
17	но и	13	10
18	так и	7	10
19	по отношению	2	10
20	то же	2	10
21	а не	5	10
22	такого рода	2	9
23	в его	12	9
24	точки зрения	10	9
25	с другой	6	7
26	в то	4	7
27	но в	9	7
28	что в	5	6
29	в ее	3	6
30	том что	17	6
31	не в	7	6
32	отношение к	2	6
33	не может	5	6
34	по своей	2	6
35	художественного творчества	8	5
36	можно сказать	6	5
37	а также	3	5
38	ни в	4	5
39	только в	9	5
40	в самом	5	5
41	того что	3	5
42	в нем	6	5
43	то что	18	5
44	другой стороны	6	5
45	уже не	6	5
46	прежде всего	6	4
47	к тому	2	4
48	и как	6	4
49	в другом	3	4
50	еще не	3	4
51	хотя и	8	4
52	он не	3	4
53	и тем	3	4
54	в своей	22	4
55	и то	5	4
56	сказать что	9	4
57	между тем	2	4
58	мы имеем	2	4
59	не менее	5	3
60	однако в	3	3
61	в отношении	3	3
62	в противоположность	3	3
63	это не	2	3
64	этом смысле	3	3
65	была бы	2	3
66	что он	7	3
67	в стихотворении	14	3
68	и к	4	3
69	тем не	5	3
70	того же	4	3
71	в свою	2	3
72	как раз	5	3
73	в роли	2	3
74	человеческой жизни	2	3
75	далеко не	4	3
76	к нему	3	3
77	не будет	2	3
78	таким образом	13	3
79	как и	7	3
80	и что	6	3
81	во втором	2	3
82	с точки	8	3
83	и для	6	3
84	в таком	2	3
85	потому что	13	3
86	но он	5	3
87	в данном	2	3
88	в русской	3	3
89	его в	6	3
90	в которой	5	3
91	в области	2	3
92	в виду	3	3
93	том числе	2	2
94	по мысли	2	2
95	я не	2	2
96	и более	2	2
97	таком случае	2	2
98	жизни в	4	2
99	в своем	11	2
100	в них	2	2
101	в одном	3	2
102	человека и	4	2
103	вовсе не	8	2
104	по себе	2	2
105	об этом	4	2
106	есть в	2	2
107	в глаза	2	2
108	в значительной	2	2
109	одной стороны	3	2
110	и сам	4	2
111	несмотря на	6	2
112	мира в	3	2
113	и о	5	2
114	для себя	5	2
115	не все	2	2
116	русской литературе	3	2
117	как в	2	2
118	а именно	12	2
119	здесь не	7	2
120	а с	4	2
121	и притом	5	2
122	с одной	3	2
123	именно в	3	2
124	все эти	2	2
125	в году	5	2
126	не входит	2	2
127	того чтобы	2	2
128	для того	3	2
129	или в	4	2
130	так же	5	2
131	с ним	3	2
132	и на	6	2
133	в силу	5	2
134	нового времени	4	2
135	у него	11	2
136	всей своей	2	2
137	о себе	2	2
138	в этой	10	2
139	о том	12	2
140	из этого	4	2
141	мира и	2	2
142	в чем	2	2
143	бы не	3	2
