N	2gram	Medvedev_U_1	Dialekti
1	не есть	2	40
2	и не	8	30
3	а не	10	18
4	может быть	6	17
5	ничего не	2	17
6	то что	7	16
7	и в	14	15
8	по себе	2	13
9	это не	3	12
10	прежде всего	8	11
11	в том	2	11
12	не может	7	11
13	в этом	7	11
14	том что	2	10
15	было бы	3	9
16	все это	5	9
17	мы не	2	9
18	то же	5	9
19	не в	2	8
20	в себе	2	8
21	не только	10	8
22	крайней мере	2	7
23	должна быть	2	7
24	что мы	2	7
25	по крайней	2	7
26	что он	2	7
27	как и	3	7
28	только в	2	7
29	же время	3	6
30	если бы	2	6
31	в то	3	6
32	что и	2	6
33	как таковой	2	5
34	что она	2	5
35	таким образом	2	5
36	с его	2	5
37	что такое	4	5
38	и для	2	5
39	что все	2	4
40	но это	2	4
41	в этой	4	4
42	но и	4	4
43	тех или	2	4
44	и с	2	4
45	не о	3	4
46	не как	3	4
47	этом смысле	2	4
48	то ни	3	4
49	как раз	2	4
50	хотя бы	5	4
51	в его	2	4
52	для всех	2	3
53	в их	4	3
54	даже и	2	3
55	но в	3	3
56	надо было	2	3
57	у нас	3	3
58	в своей	3	3
59	бы и	2	3
60	вот почему	7	3
61	и то	3	3
62	могут быть	2	3
63	в области	3	3
64	не могут	2	2
65	в частности	3	2
66	в самом	2	2
67	другой стороны	3	2
68	для этого	3	2
69	и только	5	2
70	а как	2	2
71	при таком	2	2
72	все же	3	2
73	конечно не	4	2
74	еще ничего	2	2
75	художественное произведение	5	2
76	тем что	2	2
77	мы получаем	2	2
78	ни от	2	2
79	это было	2	2
