N	2gram	Bakhtin_Pr_2	Vvedenie
1	и в	45	32
2	в том	8	31
3	в этом	20	30
4	может быть	18	26
5	том что	7	26
6	не только	16	22
7	таким образом	11	19
8	то что	5	16
9	потому что	8	15
10	так как	5	15
11	не может	24	14
12	в самом	13	13
13	в нем	20	13
14	о том	3	13
15	со стороны	4	13
16	того что	3	12
17	в их	4	12
18	и не	42	12
19	как на	2	12
20	в его	22	12
21	только в	9	12
22	как мы	8	11
23	в ее	3	11
24	что в	6	10
25	но в	6	9
26	и как	2	9
27	в истории	2	9
28	этом смысле	5	9
29	по себе	8	9
30	то же	5	9
31	в той	3	9
32	не менее	2	8
33	это не	3	8
34	а только	2	8
35	не в	8	8
36	именно в	3	8
37	прежде всего	11	7
38	смысле этого	2	7
39	точки зрения	19	7
40	но не	6	7
41	было бы	4	7
42	все же	4	7
43	самом деле	4	7
44	можно было	2	7
45	до сих	2	6
46	же время	3	6
47	один из	2	6
48	но и	15	6
49	все это	5	6
50	и даже	3	6
51	в то	5	6
52	его в	3	6
53	как он	4	6
54	вовсе не	7	6
55	как и	14	6
56	сих пор	2	6
57	а именно	3	6
58	хотя бы	5	6
59	и его	8	6
60	этот вопрос	4	6
61	тем что	2	6
62	уже в	4	5
63	так что	2	5
64	как бы	15	5
65	в целом	5	5
66	а как	4	5
67	одним из	3	5
68	с их	4	5
69	сказать что	5	5
70	в них	4	5
71	быть в	2	5
72	об этом	3	5
73	есть и	3	5
74	на почве	4	5
75	не есть	2	5
76	а не	10	5
77	что не	5	5
78	могут быть	4	5
79	в каждом	4	4
80	в котором	7	4
81	здесь нет	2	4
82	по отношению	8	4
83	в особенности	2	4
84	этом отношении	2	4
85	и что	2	4
86	не имеет	3	4
87	а в	3	4
88	даже и	2	4
89	но ведь	3	4
90	как это	2	4
91	в чисто	2	4
92	мы имеем	2	4
93	сравнению с	2	4
94	по крайней	2	4
95	что он	7	4
96	еще не	9	4
97	крайней мере	2	4
98	отношению к	8	4
99	по сравнению	2	4
100	в своей	6	4
101	только что	2	4
102	как раз	6	4
103	уже не	6	4
104	и для	2	4
105	само по	2	4
106	и ее	7	4
107	в себе	5	4
108	и т.д	3	4
109	за собой	2	3
110	он сам	6	3
111	сама по	5	3
112	в этих	4	3
113	в конце	4	3
114	а потому	2	3
115	со всей	2	3
116	бы и	3	3
117	можно сказать	2	3
118	сливается с	4	3
119	но все	4	3
120	до конца	7	3
121	при этом	2	3
122	хотя и	2	3
123	в ней	7	3
124	в виду	2	3
125	к нему	11	3
126	мы видели	3	3
127	отношение к	8	3
128	из них	9	3
129	что она	4	3
130	в своем	5	3
131	все эти	4	3
132	и других	3	3
133	и вот	2	3
134	этой области	2	3
135	свое время	2	3
136	так же	5	3
137	и на	7	3
138	в результате	3	3
139	в начале	2	3
140	если бы	2	3
141	не как	6	3
142	к этому	4	3
143	и к	2	3
144	в чем	2	3
145	так чтобы	2	3
146	одной из	2	3
147	в одном	6	3
148	в сущности	7	3
149	в свое	2	3
150	что и	5	3
151	что же	4	3
152	но с	3	3
153	вот почему	3	3
154	в области	2	3
155	это делает	2	2
156	все время	3	2
157	же как	4	2
158	должна быть	3	2
159	и другие	4	2
160	к действительности	2	2
161	никогда не	17	2
162	для этого	3	2
163	целом ряде	2	2
164	или иной	3	2
165	в дальнейшем	2	2
166	но это	2	2
167	что если	3	2
168	и сам	3	2
169	и той	3	2
170	и др	4	2
171	от того	2	2
172	в форме	2	2
173	не было	2	2
174	о них	2	2
175	есть только	4	2
176	должно быть	4	2
177	рядом с	3	2
178	и с	7	2
179	чем же	2	2
180	он и	4	2
181	той или	3	2
182	и здесь	2	2
183	конце концов	3	2
184	бы в	5	2
185	так и	3	2
186	не исчерпывается	2	2
187	для них	3	2
188	и со	2	2
189	лежит в	2	2
190	по самой	2	2
191	у нас	2	2
192	во всех	4	2
193	мы должны	4	2
194	жизни и	15	2
195	мы уже	3	2
196	ни с	2	2
197	этого слова	2	2
198	и до	4	2
199	но уже	2	2
200	мысли и	3	2
201	входит в	9	2
202	того как	3	2
203	из которых	2	2
204	между ними	4	2
205	с точки	9	2
206	тому как	2	2
207	мы можем	4	2
208	подобно тому	2	2
209	выражение в	3	2
210	еще раз	3	2
211	на протяжении	3	2
212	здесь не	2	2
213	одна из	3	2
214	ничего не	3	2
