N	2gram	Berdyaev_V_1	KulturaY
1	и т	2	54
2	и в	16	23
3	в том	3	22
4	не только	2	17
5	в этом	4	16
6	что в	3	13
7	потому что	4	12
8	том что	2	11
9	а не	7	11
10	того что	5	11
11	в его	4	11
12	того чтобы	2	11
13	можно было	2	11
14	и не	20	10
15	прежде всего	2	9
16	еще не	8	9
17	хотя бы	3	9
18	так как	9	9
19	лишь в	3	8
20	т д	2	8
21	уже не	2	8
22	и что	3	7
23	должно быть	3	7
24	все эти	3	7
25	с тем	2	6
26	что и	3	6
27	что он	4	6
28	тот же	3	6
29	так и	4	6
30	могут быть	2	6
31	говорить о	4	6
32	только в	2	6
33	не могут	2	5
34	и есть	4	5
35	как и	4	5
36	не в	3	5
37	хотя и	5	5
38	как бы	5	5
39	а в	2	5
40	но это	3	5
41	тем что	2	5
42	в чем	3	5
43	тому что	3	4
44	один из	2	4
45	для нас	2	4
46	в своей	3	4
47	то что	9	4
48	не было	3	4
49	что не	4	4
50	между тем	2	4
51	это не	2	3
52	должна быть	3	3
53	к тому	3	3
54	ни в	3	3
55	но не	2	3
56	то это	3	3
57	не есть	6	3
58	но и	5	3
59	а с	2	3
60	мы не	2	3
61	в ней	4	3
62	не имеет	3	3
63	не так	2	3
64	будет уже	2	3
65	бы и	3	3
66	все это	5	2
67	на том	2	2
68	что все	4	2
69	и я	4	2
70	что они	7	2
71	это еще	4	2
72	когда в	2	2
73	конечно не	2	2
74	в котором	4	2
75	но мы	2	2
76	не с	2	2
77	вопросе о	2	2
78	что есть	5	2
79	более чем	2	2
80	на себя	5	2
81	во всяком	2	2
82	что мы	4	2
83	в этих	3	2
84	но в	3	2
