N	2gram	Medvedev_U_1	KFilosof
1	может быть	6	43
2	в его	2	39
3	не может	7	27
4	и не	8	26
5	и в	14	22
6	в себе	2	21
7	не есть	2	19
8	а не	10	17
9	только в	2	16
10	в этом	7	13
11	для него	3	12
12	но не	2	12
13	в своей	3	11
14	не в	2	11
15	это не	3	10
16	все это	5	10
17	но и	4	9
18	в их	4	9
19	и для	2	9
20	если бы	2	8
21	было бы	3	8
22	конечно не	4	7
23	что и	2	7
24	то что	7	7
25	в том	2	6
26	но это	2	6
27	и только	5	6
28	хотя бы	5	5
29	то же	5	5
30	но в	3	5
31	как и	3	5
32	не только	10	5
33	все же	3	5
34	ни было	3	4
35	между тем	2	4
36	не как	3	4
37	том что	2	4
38	и т.д	3	4
39	бы и	2	3
40	должна быть	2	3
41	в то	3	3
42	мы не	2	3
43	всех этих	2	3
44	этом смысле	2	3
45	но конечно	2	3
46	самом деле	2	3
47	тем что	2	3
48	могут быть	2	3
49	ничего не	2	3
50	это уже	2	2
51	его и	2	2
52	то ни	3	2
53	прежде всего	8	2
54	же время	3	2
55	не о	3	2
56	по себе	2	2
57	для этого	3	2
58	а как	2	2
59	с его	2	2
60	и то	3	2
61	что он	2	2
62	бы то	3	2
63	если не	2	2
64	сводится к	2	2
65	в этой	4	2
66	в области	3	2
