N	2gram	Nazirov_Tv_1	Analitik
1	не только	7	22
2	и в	21	18
3	как и	12	14
4	так и	2	14
5	в этом	6	14
6	но и	3	13
7	и его	6	13
8	в частности	2	12
9	том что	11	12
10	в качестве	2	12
11	и не	7	12
12	при этом	7	11
13	а в	6	10
14	как бы	17	10
15	то есть	12	10
16	может быть	5	9
17	что в	12	9
18	а не	5	9
19	в том	7	9
20	с его	11	8
21	в первой	2	8
22	своего рода	4	8
23	и даже	3	8
24	не случайно	4	8
25	с другой	3	7
26	но не	3	7
27	в его	13	7
28	в русской	5	7
29	во второй	2	7
30	к тому	2	6
31	не в	2	6
32	для него	6	6
33	в этой	5	6
34	он не	8	6
35	в их	3	6
36	о том	6	6
37	никогда не	3	5
38	однако в	2	5
39	прежде всего	4	5
40	в свою	7	5
41	того же	2	5
42	в самом	3	5
43	что и	2	5
44	в мире	4	5
45	уже не	3	5
46	той же	3	5
47	представляет собой	3	5
48	не менее	6	4
49	перед нами	2	4
50	отнюдь не	5	4
51	в своем	4	4
52	по крайней	2	4
53	что он	6	4
54	можно сказать	2	4
55	и как	4	4
56	крайней мере	2	4
57	все же	5	4
58	русской литературе	4	4
59	приводит к	2	4
60	таким образом	5	4
61	тем самым	7	4
62	и на	7	4
63	в данном	2	4
64	далеко не	3	4
65	героя и	2	4
66	уже в	3	3
67	в каждом	3	3
68	не столько	2	3
69	у пушкина	2	3
70	личности в	2	3
71	к этому	2	3
72	его как	2	3
73	и того	2	3
74	же время	12	3
75	мысль о	2	3
76	если в	2	3
77	к жизни	2	3
78	с ее	3	3
79	не будет	2	3
80	в целом	4	3
81	дело не	3	3
82	данном случае	2	3
83	как в	8	3
84	все это	10	3
85	который в	3	3
86	то же	13	3
87	именно в	2	3
88	в году	7	3
89	что не	2	3
90	в финале	4	3
91	в то	15	3
92	я и	3	3
93	могут быть	2	2
94	конечном счете	4	2
95	это не	4	2
96	и от	4	2
97	в жизни	2	2
98	в нем	3	2
99	есть не	2	2
100	тем не	2	2
101	говорит о	3	2
102	в романе	10	2
103	в соответствии	3	2
104	в дальнейшем	3	2
105	то в	2	2
106	одна из	2	2
107	лицо его	2	2
108	в глаза	2	2
109	это и	3	2
110	со всеми	3	2
111	на его	3	2
112	по преимуществу	2	2
113	хотя и	3	2
114	в ней	2	2
115	об этом	2	2
116	в конечном	4	2
117	этом он	2	2
118	авторской позиции	3	2
119	даже в	3	2
120	по сути	4	2
121	гораздо более	2	2
122	один из	4	2
123	которого он	2	2
124	то что	8	2
125	в первом	2	2
126	когда он	2	2
127	вместе с	2	2
128	что она	2	2
129	не может	4	2
130	в отличие	2	2
131	как к	2	2
132	в себя	2	2
133	самом деле	2	2
134	не мог	2	2
135	в принципе	2	2
136	и он	2	2
137	и по	3	2
138	из повести	3	2
139	сказать что	2	2
140	в момент	4	2
141	личности и	2	2
142	в себе	2	2
143	только в	5	2
144	на эту	4	2
145	и все	6	2
146	дело в	3	2
147	так сказать	2	2
148	отличие от	2	2
149	но в	7	2
