N	2gram	Propp_Russ_2	Sovremen
1	не может	5	17
2	может быть	13	12
3	таким образом	6	11
4	мы не	6	9
5	не можем	2	7
6	в этом	11	7
7	и в	29	7
8	как и	11	6
9	прежде всего	2	5
10	все эти	3	5
11	как бы	18	4
12	мы видели	7	4
13	вместе с	6	4
14	это не	5	4
15	а в	9	4
16	вопрос о	4	4
17	не только	10	4
18	в том	22	4
19	их в	4	4
20	из них	4	4
21	так как	13	4
22	все же	2	3
23	видели что	4	3
24	между собой	2	3
25	все это	10	3
26	то же	4	3
27	на две	2	3
28	а не	4	3
29	для нас	6	3
30	у нас	4	3
31	когда мы	2	3
32	не в	4	3
33	в этой	3	3
34	одна из	11	3
35	еще не	6	3
36	при этом	6	3
37	было бы	3	3
38	и все	4	3
39	следующим образом	5	3
40	что она	3	3
41	но в	5	3
42	совершенно не	2	2
43	что это	3	2
44	не менее	2	2
45	в виде	4	2
46	в некоторых	9	2
47	не будем	3	2
48	то и	4	2
49	в отличие	3	2
50	из этих	2	2
51	или же	5	2
52	с одной	2	2
53	как мы	3	2
54	уже не	4	2
55	и что	5	2
56	что при	2	2
57	в и	3	2
58	и пр	2	2
59	из которых	2	2
60	и по	3	2
61	тем не	2	2
62	в таком	4	2
63	только одну	2	2
64	на этом	3	2
65	а на	9	2
66	могут быть	2	2
67	с этим	2	2
68	что в	22	2
69	такие же	3	2
70	ее на	2	2
71	в которой	2	2
72	отличие от	3	2
