N	2gram	Propp_Isto_4	Myslijsy
1	потому что	6	49
2	для нас	3	31
3	и в	26	24
4	может быть	14	23
5	то что	16	20
6	и не	9	19
7	а не	6	18
8	в том	3	18
9	что в	14	16
10	по себе	2	15
11	не только	15	15
12	при этом	3	13
13	было бы	2	13
14	не в	5	13
15	но не	5	12
16	не может	6	12
17	то же	8	12
18	мы можем	6	12
19	если бы	2	11
20	что мы	3	11
21	что и	9	11
22	вместе с	6	11
23	только в	3	11
24	таким образом	10	11
25	в себе	2	10
26	так что	2	10
27	как в	7	10
28	тогда как	4	10
29	так как	9	10
30	точно так	5	9
31	вовсе не	4	9
32	в нем	2	9
33	как бы	3	9
34	но и	12	9
35	а в	8	8
36	том что	3	8
37	и на	2	8
38	в этом	7	8
39	могут быть	6	8
40	не могут	2	7
41	или же	3	7
42	как и	7	7
43	того что	2	7
44	тем что	5	7
45	с этим	2	7
46	того как	4	7
47	связи с	3	6
48	с другой	4	6
49	в одном	5	6
50	не есть	2	6
51	и как	5	6
52	тем не	2	6
53	и т	27	6
54	не имеет	3	6
55	есть только	3	6
56	между двумя	12	6
57	этого слова	2	6
58	и только	5	6
59	уже в	2	5
60	не менее	2	5
61	же в	3	5
62	что они	6	5
63	на то	3	5
64	о том	4	5
65	и их	2	5
66	так и	10	5
67	и наоборот	2	5
68	от того	2	5
69	из них	2	5
70	все же	9	5
71	во время	7	4
72	главным образом	2	4
73	никогда не	2	4
74	из этих	3	4
75	что он	10	4
76	уже не	5	4
77	одна из	2	4
78	до сих	5	4
79	еще не	6	4
80	и если	3	4
81	между прочим	2	4
82	в некоторых	5	4
83	сих пор	5	4
84	так в	4	4
85	и что	5	4
86	от него	2	4
87	как он	6	4
88	там где	3	4
89	с тем	2	4
90	в других	2	4
91	но в	5	4
92	на вопрос	3	3
93	что это	2	3
94	смысле этого	2	3
95	так например	2	3
96	это не	5	3
97	и все	2	3
98	но мы	3	3
99	хотя и	2	3
100	от них	2	3
101	то это	5	3
102	что на	2	3
103	и при	3	3
104	все что	4	3
105	но это	3	3
106	например в	3	3
107	относится к	3	3
108	и во	2	3
109	его в	9	3
110	и тем	2	3
111	в целом	2	3
112	на него	3	3
113	что она	3	3
114	только тогда	3	3
115	только что	3	3
116	в языке	2	3
117	т д	24	3
118	те же	3	3
119	и у	5	3
120	с ними	5	3
121	и то	6	3
122	в этих	7	3
123	том как	2	3
124	этого не	2	2
125	они имеют	2	2
126	и есть	2	2
127	связанные с	3	2
128	и его	10	2
129	что у	3	2
130	превращается в	7	2
131	но он	4	2
132	хотя бы	2	2
133	что ни	3	2
134	не сразу	3	2
135	между ними	3	2
136	к этому	5	2
137	вопрос о	4	2
138	не дает	2	2
139	указывают на	2	2
140	после того	2	2
141	мы знаем	8	2
142	у нас	2	2
143	такое же	4	2
144	но все	5	2
145	такого же	2	2
146	все эти	3	2
147	есть в	2	2
148	так же	18	2
149	у него	5	2
150	некоторых случаях	4	2
151	случаи когда	2	2
152	и тот	2	2
153	связь между	2	2
154	его на	4	2
155	в его	5	2
156	его с	2	2
157	указывает на	4	2
158	все это	2	2
159	другой стороны	4	2
160	что есть	2	2
161	в связи	2	2
162	прибавить что	4	2
163	и других	3	2
164	и они	2	2
165	мы видим	6	2
166	и по	5	2
167	как это	3	2
168	или в	3	2
169	и здесь	5	2
170	их в	7	2
171	сказать что	2	2
172	то мы	2	2
173	не на	3	2
174	или от	2	2
175	даже и	2	2
176	в другом	5	2
177	во всем	3	2
178	во все	2	2
179	мы должны	5	2
180	на этом	2	2
