N	2gram	Losev_Vlad_2	Problemy
1	и в	30	43
2	и не	18	29
3	может быть	7	23
4	как бы	5	22
5	не может	9	18
6	у достоевского	2	14
7	но и	8	14
8	как и	5	14
9	точки зрения	7	13
10	в этом	20	13
11	что он	13	13
12	в нем	4	12
13	не в	9	11
14	по себе	5	11
15	не только	12	11
16	прежде всего	6	10
17	и на	4	10
18	но в	8	10
19	в его	11	10
20	как мы	11	10
21	никогда не	7	9
22	в сущности	2	9
23	он не	4	9
24	для него	9	8
25	то же	4	8
26	с точки	3	8
27	и его	6	8
28	и сам	2	7
29	в самом	2	7
30	в то	9	7
31	то что	20	7
32	что же	8	7
33	а не	7	7
34	в этих	4	6
35	в том	18	6
36	при этом	5	6
37	в котором	5	6
38	и наконец	4	6
39	и все	7	6
40	у него	19	6
41	что я	3	6
42	о нем	2	6
43	здесь не	4	6
44	на то	2	5
45	да и	3	5
46	так что	5	5
47	же время	3	5
48	хотя и	6	5
49	к нему	2	5
50	нам кажется	3	5
51	все это	5	5
52	таким образом	3	5
53	все эти	5	5
54	а в	11	5
55	и с	14	5
56	а что	2	5
57	вовсе не	4	5
58	о том	4	5
59	но не	3	5
60	было бы	9	5
61	никак не	3	5
62	и что	5	5
63	в той	2	5
64	и он	4	5
65	сам по	2	5
66	в себе	6	5
67	я не	4	4
68	что в	12	4
69	в своем	8	4
70	к тому	2	4
71	до конца	7	4
72	но это	4	4
73	себе и	2	4
74	должно быть	3	4
75	в результате	5	4
76	их в	2	4
77	же и	2	4
78	но он	3	4
79	так как	5	4
80	то есть	7	4
81	или как	2	4
82	с его	4	4
83	в них	3	4
84	в своей	5	4
85	том же	3	4
86	и до	2	4
87	во всех	3	4
88	не на	2	4
89	в отличие	3	4
90	на этот	4	4
91	мы не	2	4
92	только в	6	4
93	и это	3	4
94	отличие от	3	4
95	не менее	7	3
96	мы будем	3	3
97	что если	2	3
98	в отношении	3	3
99	это не	2	3
100	есть и	2	3
101	он сам	2	3
102	он был	6	3
103	более или	3	3
104	кроме того	9	3
105	в виду	2	3
106	в их	2	3
107	того и	2	3
108	и даже	10	3
109	он и	3	3
110	его в	4	3
111	еще один	2	3
112	а за	2	3
113	с ним	5	3
114	и к	6	3
115	по существу	3	3
116	того же	5	3
117	здесь в	2	3
118	она не	2	3
119	тот же	5	3
120	кажется что	2	3
121	мы уже	2	3
122	наконец в	3	3
123	даже в	2	3
124	что и	3	3
125	все же	9	3
126	себя в	2	3
127	него в	4	3
128	так и	5	3
129	или менее	3	3
130	достоевского но	2	3
131	уже не	3	3
132	также и	6	3
133	и для	3	3
134	той же	4	3
135	можно было	2	3
136	ничего не	2	3
137	в виде	3	3
138	а он	2	3
139	уже в	3	2
140	не был	2	2
141	его и	2	2
142	из этих	3	2
143	в конце	13	2
144	мысли и	2	2
145	тем не	6	2
146	для нас	7	2
147	ни в	7	2
148	без всякого	2	2
149	и как	3	2
150	своей жизни	3	2
151	но все	2	2
152	из его	2	2
153	что это	4	2
154	и очень	2	2
155	время как	2	2
156	в настоящее	2	2
157	то это	4	2
158	в целом	4	2
159	отношение к	4	2
160	сказать о	3	2
161	является как	2	2
162	меня и	2	2
163	я очень	2	2
164	отношения к	3	2
165	здесь мы	3	2
166	того что	5	2
167	так же	4	2
168	в своих	2	2
169	а то	2	2
170	сказать что	11	2
171	а вот	2	2
172	письме к	4	2
173	настоящее время	2	2
174	как он	2	2
175	во всяком	6	2
176	я и	2	2
177	в письме	8	2
178	уже и	2	2
179	с этим	5	2
180	раз и	2	2
181	быть в	3	2
182	на меня	2	2
183	мы с	4	2
184	и вы	2	2
185	об этом	6	2
186	его жизни	6	2
187	у нас	6	2
188	и при	2	2
189	мы сказали	2	2
190	по своему	2	2
191	то время	6	2
192	конечно не	4	2
193	не могу	2	2
194	и о	4	2
195	которую он	7	2
196	конце концов	3	2
197	для себя	5	2
198	и особенно	3	2
199	не есть	4	2
200	дело в	3	2
201	он пишет	2	2
202	как в	3	2
203	им в	3	2
204	еще более	3	2
205	том что	12	2
206	что не	2	2
207	хотя бы	3	2
208	в таком	3	2
209	и то	5	2
210	иной раз	2	2
211	того как	2	2
