N	2gram	Tiupa_Hudo_2	Myslijsy
1	потому что	2	52
2	и в	28	39
3	может быть	8	27
4	в том	15	26
5	т с	2	25
6	только в	4	25
7	что в	5	22
8	не может	4	22
9	а не	14	21
10	не только	11	21
11	в нем	3	20
12	но и	9	20
13	и не	18	18
14	том что	19	16
15	не в	13	15
16	в этом	13	15
17	если бы	6	14
18	отношению к	7	13
19	так и	8	13
20	по отношению	7	13
21	в себе	9	13
22	было бы	3	12
23	в душе	8	11
24	в человеке	3	10
25	что не	2	10
26	то что	6	10
27	как в	5	10
28	для нас	3	9
29	как и	11	9
30	мысли и	2	9
31	тем что	6	9
32	но в	2	9
33	в одном	3	8
34	но не	4	8
35	вместе с	2	8
36	со стороны	3	8
37	точки зрения	2	8
38	с другой	3	7
39	в ней	3	7
40	по его	3	7
41	это не	6	7
42	то и	4	7
43	в этих	3	7
44	не менее	5	6
45	тем не	4	6
46	еще не	3	6
47	что на	3	6
48	как бы	5	6
49	что и	4	6
50	все же	2	6
51	и т	4	6
52	бы не	3	6
53	то же	6	6
54	при этом	11	6
55	того как	2	6
56	вовсе не	2	5
57	несмотря на	3	5
58	то в	4	5
59	в его	11	5
60	в первом	2	5
61	так же	3	5
62	а в	6	5
63	и для	2	5
64	во втором	2	5
65	и его	5	5
66	между тем	8	5
67	никогда не	5	4
68	однако в	2	4
69	тем самым	2	4
70	с нею	3	4
71	прежде всего	3	4
72	не более	2	4
73	же время	4	4
74	для него	5	4
75	к тому	7	4
76	мысли о	2	4
77	не по	2	4
78	т п	2	4
79	т д	2	4
80	не было	6	4
81	тому как	4	4
82	из этих	2	4
83	в то	6	4
84	только для	2	3
85	прежде чем	2	3
86	что это	5	3
87	начнем с	2	3
88	тому что	4	3
89	в них	3	3
90	столь же	3	3
91	оно не	2	3
92	и от	2	3
93	и это	3	3
94	в жизни	8	3
95	что все	3	3
96	когда в	3	3
97	в этой	5	3
98	в своем	5	3
99	но тем	2	3
100	она не	5	3
101	одной стороны	3	3
102	по поводу	3	3
103	только на	5	3
104	в своей	6	3
105	для того	4	3
106	для себя	6	3
107	в состоянии	3	3
108	в мире	7	3
109	в самом	5	3
110	на него	3	3
111	с одной	3	3
112	но при	3	3
113	как на	2	3
114	той же	2	3
115	с ним	7	3
116	в глазах	6	3
117	и то	2	3
118	тем как	2	3
119	сказать что	2	3
120	одно из	5	3
121	он не	4	3
122	подобно тому	4	3
123	с точки	2	3
124	и все	7	3
125	а между	4	3
126	она может	2	3
127	том как	2	3
128	и с	6	3
129	могла бы	2	2
130	внешним и	2	2
131	только не	2	2
132	все они	3	2
133	нуждается в	2	2
134	была бы	3	2
135	а как	2	2
136	только тем	2	2
137	о его	2	2
138	как мы	2	2
139	о которых	2	2
140	не зная	2	2
141	в г	2	2
142	жизни и	6	2
143	уже не	10	2
144	не будет	2	2
145	все что	3	2
146	того чтобы	4	2
147	мысль о	2	2
148	и о	4	2
149	к ней	2	2
150	ли в	3	2
151	чтобы не	3	2
152	для нее	4	2
153	не все	3	2
154	с ее	5	2
155	что же	2	2
156	не могла	5	2
157	и только	2	2
158	тогда как	7	2
159	или в	3	2
160	хотя бы	2	2
161	что даже	2	2
162	как будто	4	2
163	о том	12	2
164	нет ничего	2	2
165	в других	4	2
