N	2gram	Bakhtin_KF_1	Dialekti
1	не есть	20	40
2	и не	26	30
3	и есть	9	19
4	а не	17	18
5	может быть	45	17
6	ничего не	3	17
7	то что	7	16
8	и в	24	15
9	как бы	9	14
10	не имеет	5	14
11	точки зрения	12	14
12	что это	3	13
13	это есть	2	13
14	того что	3	13
15	по себе	2	13
16	это не	10	12
17	прежде всего	2	11
18	в том	6	11
19	не может	27	11
20	говорить о	2	11
21	ясно что	3	11
22	и все	7	11
23	в этом	14	11
24	с ее	2	10
25	в основе	5	10
26	потому что	2	10
27	том что	4	10
28	было бы	8	9
29	в виду	3	9
30	все это	10	9
31	мы не	3	9
32	это и	2	9
33	то же	5	9
34	уже не	7	9
35	и пр	3	9
36	с точки	9	9
37	ни в	12	8
38	не в	12	8
39	в себе	21	8
40	не только	5	8
41	в чем	4	8
42	и ее	2	8
43	и это	12	8
44	что в	4	7
45	должна быть	4	7
46	и мы	2	7
47	что он	2	7
48	как и	5	7
49	и его	17	7
50	только в	16	7
51	же время	2	6
52	и тем	3	6
53	вовсе не	7	6
54	если бы	8	6
55	в то	3	6
56	что и	7	6
57	я не	6	5
58	так и	2	5
59	в своем	16	5
60	того чтобы	2	5
61	в ней	3	5
62	в нем	28	5
63	именно в	5	5
64	и на	3	5
65	о том	3	5
66	мы имеем	5	5
67	тогда когда	3	5
68	в жизни	2	5
69	быть в	4	5
70	что я	5	5
71	в смысле	6	5
72	в себя	7	5
73	для того	3	5
74	и для	9	5
75	в каком	4	5
76	и как	2	4
77	но это	6	4
78	в этой	2	4
79	один из	2	4
80	жизни и	8	4
81	но и	9	4
82	с ними	3	4
83	не о	2	4
84	той или	3	4
85	лишь как	2	4
86	бытия и	10	4
87	в одном	4	4
88	с тем	2	4
89	отнюдь не	6	4
90	не как	4	4
91	этом смысле	3	4
92	то ни	2	4
93	ничего общего	2	4
94	еще не	4	4
95	хотя бы	4	4
96	в его	40	4
97	или иное	2	3
98	смысла и	2	3
99	та же	2	3
100	тем самым	4	3
101	в свою	3	3
102	бытия но	4	3
103	себя и	2	3
104	совершенно не	6	3
105	в их	8	3
106	смысл и	6	3
107	все эти	10	3
108	с ним	5	3
109	себя как	2	3
110	но в	5	3
111	я уже	2	3
112	от этого	2	3
113	сознания и	3	3
114	и та	2	3
115	к этому	2	3
116	будет ли	2	3
117	этот момент	6	3
118	в своей	10	3
119	и потому	2	3
120	со стороны	7	3
121	бытии и	2	3
122	быть и	3	3
123	бы и	3	3
124	как в	2	3
125	чего не	2	3
126	что не	3	3
127	из которых	2	3
128	то или	2	3
129	в данном	2	3
130	и то	2	3
131	в виде	2	3
132	могут быть	3	3
133	едва ли	2	3
134	в области	2	3
135	от него	3	3
136	не менее	3	2
137	время и	5	2
138	вопрос о	2	2
139	можно и	2	2
140	его как	5	2
141	может дать	3	2
142	но все	5	2
143	на нем	2	2
144	и может	3	2
145	не дает	3	2
146	при этом	4	2
147	себе и	3	2
148	от себя	10	2
149	никогда не	5	2
150	в котором	24	2
151	был бы	3	2
152	своей истории	2	2
153	и их	6	2
154	не по	4	2
155	для этого	2	2
156	и только	6	2
157	быть не	2	2
158	не было	8	2
159	от того	3	2
160	лишь в	8	2
161	в данный	3	2
162	должно быть	6	2
163	и когда	2	2
164	но как	5	2
165	во всем	7	2
166	того или	3	2
167	и ни	3	2
168	весь мир	2	2
169	а как	2	2
170	нисколько не	4	2
171	думать что	2	2
172	при условии	2	2
173	в ее	16	2
174	все же	5	2
175	не будет	2	2
176	в качестве	2	2
177	не нужно	2	2
178	конечно не	7	2
179	ни одна	2	2
180	не значит	6	2
181	о нем	4	2
182	что есть	2	2
183	для нее	7	2
184	нет и	3	2
185	оно не	2	2
186	тем не	2	2
187	себя в	8	2
188	данный момент	3	2
189	во всех	11	2
190	и именно	2	2
191	общего не	2	2
192	во всей	4	2
193	бы не	3	2
194	а это	2	2
195	жизнь и	2	2
196	что этот	3	2
197	тем что	3	2
198	всей его	2	2
199	но для	2	2
200	я могу	5	2
201	отношении к	2	2
202	познания и	4	2
203	и жизни	4	2
204	что эта	2	2
205	поскольку он	2	2
206	не имеем	3	2
207	для меня	20	2
208	это было	2	2
