N	2gram	Propp_Morf_1	KulturaY
1	и т	41	39
2	потому что	3	25
3	и в	13	23
4	т е	21	22
5	не только	4	20
6	в том	6	19
7	в этом	14	18
8	и не	12	16
9	ни к	2	15
10	было бы	3	15
11	так как	16	15
12	может быть	52	15
13	т д	39	14
14	точки зрения	2	14
15	если бы	2	12
16	у нас	2	12
17	все эти	2	12
18	том что	4	11
19	того чтобы	3	11
20	но в	2	11
21	что в	8	10
22	а не	11	10
23	вовсе не	4	9
24	вопрос о	7	9
25	в сущности	3	9
26	то что	8	9
27	самом деле	4	9
28	для того	2	9
29	хотя бы	4	9
30	можно было	2	9
31	не может	14	9
32	с другой	8	8
33	прежде всего	9	8
34	не в	3	8
35	в качестве	5	8
36	уже не	2	8
37	и что	2	8
38	и пр	37	8
39	с точки	2	8
40	не менее	5	7
41	в нашем	3	7
42	все же	7	7
43	но и	4	7
44	другой стороны	4	7
45	это не	6	6
46	в этой	2	6
47	но не	4	6
48	тем не	5	6
49	то же	7	6
50	этот вопрос	2	6
51	между тем	5	6
52	ту же	2	6
53	что мы	2	6
54	не могут	4	5
55	ясно что	5	5
56	что он	4	5
57	об этом	4	5
58	по существу	12	5
59	еще не	3	5
60	несмотря на	4	5
61	всяком случае	2	5
62	один из	5	5
63	и тем	2	5
64	что же	2	5
65	приводит к	2	5
66	таким образом	21	5
67	там где	5	5
68	целый ряд	3	5
69	как это	3	5
70	во всяком	2	5
71	и здесь	5	5
72	только в	2	5
73	также и	4	5
74	мы имеем	9	5
75	перед нами	10	4
76	к этому	3	4
77	на то	2	4
78	если мы	5	4
79	можно сказать	2	4
80	к тому	4	4
81	для нас	2	4
82	но все	3	4
83	в пределах	3	4
84	или в	4	4
85	от того	3	4
86	хотя и	3	4
87	как бы	3	4
88	со стороны	3	4
89	так же	3	4
90	в связи	9	4
91	не имеет	2	4
92	вряд ли	2	4
93	в результате	7	4
94	сказать что	2	4
95	могут быть	16	4
96	в каком	2	4
97	говорить о	3	4
98	в то	3	4
99	ничего не	4	4
100	так и	6	4
101	на этом	3	3
102	этого не	2	3
103	главным образом	4	3
104	а также	4	3
105	же в	2	3
106	это и	2	3
107	но это	6	3
108	связи с	10	3
109	но для	2	3
110	он не	3	3
111	что и	7	3
112	не все	6	3
113	что она	2	3
114	как в	3	3
115	в форме	6	3
116	с этим	11	3
117	это так	2	3
118	как мы	6	3
119	того что	3	3
120	из которых	3	3
121	что такое	3	3
122	и по	2	3
123	а в	7	3
124	такие случаи	2	3
125	тем что	4	3
126	в таких	2	3
127	здесь не	2	3
128	мы будем	3	2
129	с тем	2	2
130	и есть	2	2
131	в частности	2	2
132	состоит в	2	2
133	так называемых	2	2
134	оно не	2	2
135	не всегда	9	2
136	таких случаях	2	2
137	что они	2	2
138	очень часто	6	2
139	этом случае	8	2
140	утверждать что	3	2
141	в другом	2	2
142	поставить вопрос	2	2
143	а на	3	2
144	не хватает	3	2
145	нельзя было	2	2
146	смысле слова	4	2
147	как будто	2	2
148	она не	2	2
149	но есть	3	2
150	в свое	2	2
151	к нему	3	2
152	дело не	2	2
153	сюда же	3	2
154	не на	2	2
155	лишь с	2	2
156	или же	6	2
157	того как	2	2
158	и для	2	2
159	это положение	2	2
160	на самом	4	2
161	как и	3	2
162	здесь мы	3	2
163	но оно	2	2
164	для этой	3	2
165	в которых	2	2
166	о характере	2	2
167	могла бы	4	2
168	мы должны	3	2
169	но вот	2	2
170	в иных	4	2
171	что эта	2	2
172	тех же	4	2
173	большинстве случаев	3	2
174	а если	4	2
