N	2gram	Medvedev_F_3	Myshleni
1	то что	8	26
2	что он	6	25
3	в этом	18	25
4	потому что	7	21
5	таким образом	18	19
6	в том	7	18
7	не может	24	18
8	точки зрения	16	18
9	того чтобы	5	17
10	что в	8	16
11	и в	27	16
12	того что	3	16
13	так как	9	16
14	не только	9	16
15	так же	9	15
16	том что	4	15
17	для того	4	14
18	в сущности	2	13
19	сказать что	3	13
20	между собой	4	13
21	в процессе	15	13
22	отношению к	3	12
23	по отношению	3	12
24	и не	30	12
25	и что	3	12
26	в области	2	12
27	в его	7	11
28	но не	5	10
29	с помощью	8	10
30	было бы	6	10
31	как мы	8	10
32	а не	17	10
33	только в	8	10
34	в отношении	2	9
35	может быть	25	9
36	с точки	14	9
37	о том	4	8
38	как это	4	8
39	в основе	3	8
40	если бы	12	8
41	как и	14	8
42	мы должны	2	8
43	то же	15	8
44	же как	3	7
45	внутренняя речь	2	7
46	в нем	15	7
47	того же	3	7
48	так и	21	7
49	по себе	4	7
50	внутренней речи	2	7
51	если мы	7	7
52	в какой	3	6
53	не в	12	6
54	в этой	2	6
55	и следовательно	3	6
56	но если	2	6
57	но и	10	6
58	и на	3	6
59	как он	2	6
60	но в	6	6
61	к тому	4	6
62	в той	3	6
63	мы можем	4	6
64	должна быть	3	5
65	никогда не	5	5
66	тому что	3	5
67	в своем	2	5
68	на все	2	5
69	в такой	2	5
70	мы и	3	5
71	что они	5	5
72	как бы	8	5
73	не является	5	5
74	хотя бы	6	5
75	этом отношении	3	5
76	в то	7	5
77	тогда когда	4	5
78	из нее	2	5
79	можно сказать	3	5
80	как в	4	5
81	это значит	2	5
82	тем что	5	5
83	ничего не	2	5
84	не могут	10	4
85	все эти	6	4
86	с другой	6	4
87	это не	3	4
88	в пределах	8	4
89	при этом	8	4
90	в самом	11	4
91	в целом	4	4
92	и их	5	4
93	же самое	3	4
94	в результате	5	4
95	к которому	2	4
96	бы в	6	4
97	вообще не	2	4
98	еще не	6	4
99	за пределы	2	4
100	не есть	4	4
101	вместе с	6	4
102	той же	3	4
103	тому как	5	4
104	могут быть	4	4
105	такой же	2	4
106	подобно тому	4	4
107	не менее	7	3
108	прежде всего	4	3
109	в смысле	4	3
110	мы знаем	4	3
111	и как	4	3
112	но это	2	3
113	же правом	5	3
114	самом деле	16	3
115	до конца	4	3
116	в действительности	9	3
117	и является	4	3
118	и тем	3	3
119	мы видели	4	3
120	его и	3	3
121	от того	2	3
122	они не	4	3
123	и с	3	3
124	к его	3	3
125	говорить о	2	3
126	в этих	3	3
127	функции в	3	3
128	между тем	7	3
129	мы не	4	3
130	и более	3	3
131	с тем	7	3
132	только не	2	3
133	к этому	2	3
134	он может	2	3
135	таким же	2	3
136	все же	6	3
137	это и	2	3
138	то в	2	3
139	этот закон	2	3
140	одной из	2	3
141	никак не	3	3
142	еще в	3	3
143	с таким	2	3
144	что и	2	3
145	ее в	3	3
146	вытекает из	2	3
147	не на	3	3
148	на этом	2	3
149	и его	19	3
150	отношения между	2	3
151	связи с	5	3
152	друг другу	2	2
153	столь же	3	2
154	и от	11	2
155	именно потому	2	2
156	находятся в	2	2
157	высшей степени	2	2
158	является не	2	2
159	совершается в	3	2
160	очевидно что	2	2
161	в плоскости	5	2
162	имеет место	3	2
163	как совокупность	2	2
164	одним из	3	2
165	совпадает с	2	2
166	в ней	5	2
167	в виду	3	2
168	совершенно не	7	2
169	в котором	2	2
170	связи и	2	2
171	только один	2	2
172	в своей	6	2
173	из них	2	2
174	в отличие	2	2
175	что она	2	2
176	все это	7	2
177	другой стороны	5	2
178	отношения к	2	2
179	те же	3	2
180	и даже	2	2
181	в своих	6	2
182	говорит он	5	2
183	может иметь	2	2
184	из виду	2	2
185	в истории	5	2
186	в неразрывной	2	2
187	и между	5	2
188	в плоскость	3	2
189	их в	3	2
190	том как	2	2
191	сознания и	2	2
192	в единстве	5	2
193	в зависимости	5	2
194	в них	3	2
195	это понятие	2	2
196	в жизни	11	2
197	но при	2	2
198	вовсе не	28	2
199	его в	7	2
200	стороны и	2	2
201	нам кажется	2	2
202	отличие от	2	2
203	у нас	3	2
204	зависимости от	5	2
205	учение о	2	2
206	слов и	4	2
207	жизни и	4	2
208	и из	2	2
209	предмета и	2	2
210	в корне	4	2
211	является для	3	2
212	и потому	5	2
213	в высшей	2	2
214	именно это	2	2
215	во всех	3	2
216	только на	4	2
217	процесса развития	2	2
218	ничто не	3	2
219	во всяком	6	2
220	на протяжении	2	2
221	ту же	2	2
222	из этого	4	2
