N	2gram	Propp_Russ_2	Komedia
1	и в	29	26
2	в г	2	17
3	в том	22	11
4	может быть	13	11
5	но и	8	10
6	в этом	11	10
7	что в	22	9
8	том что	22	9
9	вместе с	6	9
10	было бы	3	8
11	и на	6	7
12	из них	4	7
13	не только	10	7
14	что и	2	7
15	на себя	2	7
16	во время	12	6
17	то что	5	6
18	еще не	6	6
19	того чтобы	6	6
20	потому что	5	6
21	в то	2	6
22	о том	9	6
23	таким образом	6	6
24	с тем	6	5
25	в которой	2	5
26	к этому	5	5
27	а затем	4	5
28	в качестве	3	5
29	один из	2	5
30	с этим	2	5
31	для того	6	5
32	так что	4	5
33	и с	10	5
34	не менее	2	4
35	в этих	3	4
36	в них	4	4
37	и от	3	4
38	прежде всего	2	4
39	из этих	2	4
40	сразу же	2	4
41	как мы	3	4
42	же в	6	4
43	как и	11	4
44	еще в	2	4
45	все же	2	4
46	и для	2	4
47	что для	3	4
48	можно было	2	4
49	в руках	2	4
50	что это	3	4
51	так как	13	4
52	как это	4	4
53	его в	8	4
54	между тем	3	4
55	о чем	4	3
56	с этой	2	3
57	в образе	2	3
58	вопрос о	4	3
59	то время	2	3
60	в поле	19	3
61	что на	2	3
62	но если	3	3
63	связи с	2	3
64	но не	5	3
65	во всех	3	3
66	здесь в	2	3
67	для нас	6	3
68	из которых	2	3
69	в котором	3	3
70	не имеет	3	3
71	в своей	2	3
72	в их	2	3
73	все это	10	3
74	того как	2	3
75	то же	4	3
76	не было	2	3
77	как в	7	3
78	к нему	4	3
79	друг друга	3	3
80	а в	9	3
81	или в	7	3
82	тем что	3	3
83	не может	5	3
84	это время	2	3
85	в этой	3	3
86	но в	5	3
87	и другие	14	2
88	не всегда	3	2
89	с другой	2	2
90	это не	5	2
91	представления о	2	2
92	представление о	5	2
93	в народном	3	2
94	об этом	2	2
95	в ее	3	2
96	не в	4	2
97	должна была	5	2
98	была не	2	2
99	одна из	11	2
100	чем в	2	2
101	на этом	3	2
102	а на	9	2
103	после того	2	2
104	что по	4	2
105	одной стороны	2	2
106	или на	8	2
107	одним из	2	2
108	как бы	18	2
109	и т	5	2
110	после этого	2	2
111	что она	3	2
112	также в	2	2
113	в отличие	3	2
114	так в	2	2
115	под именем	3	2
116	с одной	2	2
117	в течение	2	2
118	и что	5	2
119	для этой	3	2
120	также что	2	2
121	в других	15	2
122	отличие от	3	2
123	мы не	6	2
124	одно из	2	2
125	и ее	2	2
126	под названием	2	2
127	и еще	2	2
128	и все	4	2
129	из этого	2	2
130	по всем	3	2
131	мы имеем	6	2
132	в состав	2	2
133	в виду	2	2
134	и после	3	2
