N	3gram	Vinokur_Ku_2	StatiiOP
1	и т д	14	21
2	в том что	10	17
3	для того чтобы	8	10
4	и т п	24	9
5	можно было бы	9	8
6	с точки зрения	8	8
7	в этом отношении	3	7
8	на самом деле	2	6
9	с другой стороны	7	6
10	во всяком случае	5	6
11	в самом деле	7	5
12	в данном отношении	2	5
13	не может быть	4	5
14	в этой области	4	5
15	то же время	3	4
16	в то же	3	4
17	но также и	2	4
18	не только в	4	4
19	того или иного	2	4
20	на то что	2	4
21	и в самом	2	3
22	т п в	2	3
23	так же как	2	3
24	только в том	2	3
25	то или иное	2	3
26	но все же	2	3
27	в свое время	2	2
28	то обстоятельство что	7	2
29	тем не менее	5	2
30	в этом случае	2	2
31	и в том	2	2
32	хотя бы и	2	2
33	по крайней мере	6	2
34	дело не в	2	2
35	так или иначе	2	2
