N	2gram	Bakhtin_Pr_3	Hudozhes
1	в мире	4	23
2	и не	29	16
3	в том	3	15
4	и в	34	15
5	не только	10	15
6	может быть	19	13
7	при этом	4	12
8	а в	5	12
9	и его	16	12
10	но не	4	11
11	в этом	16	11
12	в себе	6	11
13	я в	4	11
14	как бы	27	10
15	отношению к	6	10
16	но и	12	10
17	так и	6	10
18	по отношению	5	10
19	то же	14	10
20	а не	9	10
21	в его	22	9
22	точки зрения	8	9
23	в душе	2	8
24	своего рода	2	8
25	сводится к	3	8
26	с другой	4	7
27	или иной	2	7
28	в отличие	2	7
29	внутренней речи	4	7
30	в то	12	7
31	отличие от	2	7
32	но в	16	7
33	я и	2	7
34	с его	6	6
35	что в	7	6
36	в ее	3	6
37	том что	3	6
38	не в	9	6
39	же время	12	6
40	отношение к	6	6
41	не может	19	6
42	ни в	4	5
43	только в	6	5
44	в самом	8	5
45	того что	5	5
46	той или	2	5
47	в нем	19	5
48	с ее	3	5
49	то что	11	5
50	другой стороны	3	5
51	уже не	2	5
52	героя и	9	5
53	прежде всего	15	4
54	к тому	5	4
55	и как	3	4
56	в другом	8	4
57	для него	13	4
58	еще не	4	4
59	например в	2	4
60	хотя и	3	4
61	он не	15	4
62	в своей	3	4
63	в форме	2	4
64	как к	4	4
65	входит в	2	4
66	в слове	5	4
67	самим собой	6	4
68	и то	3	4
69	сказать что	2	4
70	между тем	3	4
71	говорить о	3	4
72	не знает	6	4
73	без исключения	3	4
74	к которому	2	4
75	не менее	3	3
76	если бы	4	3
77	однако в	2	3
78	в отношении	9	3
79	он должен	2	3
80	это не	5	3
81	этом смысле	4	3
82	что он	23	3
83	и к	12	3
84	тем не	2	3
85	и того	2	3
86	в пределах	6	3
87	по своему	3	3
88	того же	2	3
89	о чем	2	3
90	мог бы	2	3
91	того или	2	3
92	как раз	4	3
93	далеко не	3	3
94	к нему	14	3
95	в целом	5	3
96	так в	2	3
97	таким образом	5	3
98	как и	18	3
99	в той	2	3
100	лишь в	5	3
101	и что	5	3
102	с точки	4	3
103	и для	8	3
104	их в	3	3
105	потому что	12	3
106	но он	3	3
107	и ее	2	3
108	его в	4	3
109	человека с	3	3
110	герой не	2	3
111	в которой	2	3
112	в виду	3	3
113	слова в	7	2
114	на этом	4	2
115	я не	7	2
116	сама по	2	2
117	но на	4	2
118	с человеком	2	2
119	в сторону	2	2
120	ни был	4	2
121	себя и	8	2
122	тому что	2	2
123	в своем	2	2
124	в них	2	2
125	передо мной	3	2
126	не как	3	2
127	в одном	5	2
128	вовсе не	11	2
129	вследствие этого	2	2
130	по себе	3	2
131	к герою	7	2
132	при всей	2	2
133	к своему	5	2
134	с самим	14	2
135	внутренний голос	3	2
136	в глаза	3	2
137	слова не	2	2
138	слове о	2	2
139	и сам	5	2
140	за пределы	2	2
141	во всех	2	2
142	совпадает с	2	2
143	другим и	3	2
144	и потому	2	2
145	даже в	5	2
146	не является	2	2
147	для себя	6	2
148	как в	4	2
149	было и	2	2
150	слова как	2	2
151	и прежде	4	2
152	другого в	2	2
153	я как	2	2
154	а с	3	2
155	все эти	4	2
156	это и	2	2
157	от себя	6	2
158	не входит	2	2
159	к другому	20	2
160	так же	8	2
161	с ним	8	2
162	с другими	4	2
163	и на	6	2
164	между двумя	2	2
165	у него	4	2
166	самим собою	9	2
167	всей своей	2	2
168	о себе	18	2
169	но как	4	2
170	отношении к	7	2
171	о том	2	2
172	и это	4	2
173	в чем	5	2
174	бы не	2	2
175	мире и	2	2
