N	2gram	Berdyaev_O_1	Formalny
1	т е	4	32
2	и не	13	30
3	и в	19	27
4	может быть	11	25
5	не может	4	24
6	так и	2	21
7	и его	4	19
8	в этом	12	18
9	а не	11	17
10	в нем	10	15
11	как и	6	14
12	не в	11	12
13	и от	3	11
14	в самом	5	11
15	но и	13	10
16	не могут	3	10
17	лишь в	7	9
18	так как	2	9
19	не только	11	9
20	что в	4	8
21	как бы	3	8
22	и все	10	8
23	то что	5	8
24	в том	5	7
25	все это	6	7
26	потому что	9	7
27	его в	2	7
28	с тем	2	7
29	в его	7	7
30	все эти	4	6
31	в своих	3	6
32	но в	2	6
33	что он	3	6
34	еще не	3	6
35	было бы	3	6
36	все же	2	6
37	в своей	2	6
38	хотя бы	3	6
39	и для	2	6
40	и ее	3	6
41	никогда не	9	5
42	что они	2	5
43	совсем не	2	5
44	того чтобы	4	5
45	в истории	2	5
46	в единстве	2	5
47	и потому	2	5
48	что же	2	5
49	тем что	2	5
50	уже в	2	4
51	прежде всего	9	4
52	он был	8	4
53	до конца	7	4
54	для того	3	4
55	о том	3	4
56	по себе	2	4
57	не есть	2	4
58	в ее	2	4
59	том что	2	4
60	могут быть	3	4
61	в этих	3	3
62	это не	3	3
63	того что	3	3
64	и на	2	3
65	сказать что	2	3
66	и с	2	3
67	жизни в	2	3
68	ее в	2	3
69	ничто не	2	3
70	в себе	3	3
71	заложенных в	2	3
72	человека и	10	2
73	в этой	5	2
74	и очень	2	2
75	учение о	2	2
76	в своем	2	2
77	в самой	9	2
78	в россии	5	2
79	с его	4	2
80	к этому	2	2
81	от него	7	2
82	и из	2	2
83	ни с	7	2
84	что и	2	2
85	на земле	4	2
86	человека в	11	2
87	ничего не	2	2
