N	2gram	Vinokur_St_1	Mirosoze
1	может быть	15	30
2	не только	18	29
3	и в	44	28
4	не может	8	28
5	но и	10	25
6	а не	16	25
7	он не	2	24
8	в этом	21	20
9	не было	4	18
10	у него	2	17
11	не в	12	16
12	потому что	6	16
13	в ней	3	15
14	в своей	6	15
15	никогда не	5	14
16	он был	3	14
17	в нем	5	13
18	и это	2	12
19	для него	6	11
20	в самом	7	11
21	и не	16	11
22	что в	30	10
23	в своем	2	10
24	прежде всего	7	10
25	и все	2	10
26	что он	10	10
27	было бы	17	10
28	и потому	2	10
29	но он	2	9
30	в его	9	9
31	и его	8	9
32	но не	3	8
33	в котором	5	8
34	того что	9	7
35	в конце	3	7
36	но в	10	7
37	к нему	2	7
38	в себе	2	7
39	должна быть	3	6
40	в том	36	6
41	в этой	11	6
42	все это	5	6
43	лишь в	3	6
44	все в	2	6
45	только в	10	6
46	в которой	4	6
47	это не	8	5
48	и я	3	5
49	у нас	11	5
50	как и	9	5
51	то что	18	5
52	уже в	2	4
53	в этих	2	4
54	с этой	3	4
55	не знает	2	4
56	хотел бы	2	4
57	отношение к	2	4
58	ни с	3	4
59	отношения к	2	4
60	и по	5	4
61	а в	17	4
62	в которых	5	4
63	точки зрения	11	4
64	чем у	2	4
65	должен был	2	4
66	это и	4	4
67	к концу	2	4
68	она не	2	4
69	за пределы	2	4
70	что и	6	4
71	тем что	5	4
72	значит что	3	4
73	для нас	7	3
74	но если	4	3
75	и их	2	3
76	не имеет	4	3
77	с этим	3	3
78	его в	2	3
79	в иных	2	3
80	так как	5	3
81	это очень	3	3
82	то есть	2	3
83	и с	3	3
84	одно из	2	3
85	он должен	2	3
86	в ее	4	3
87	том что	29	3
88	ничего не	2	3
89	конечно не	2	3
90	бы и	4	3
91	вряд ли	5	3
92	не была	2	3
93	будто бы	3	3
94	хотя бы	6	3
95	может не	2	2
96	вообще не	2	2
97	его собственной	2	2
98	вопрос о	4	2
99	для того	10	2
100	на этот	3	2
101	жизни и	5	2
102	могут быть	5	2
103	по отношению	3	2
104	все эти	5	2
105	и что	4	2
106	есть только	2	2
107	и те	2	2
108	время как	2	2
109	также и	9	2
110	сказать что	7	2
111	даже и	2	2
112	в начале	3	2
113	по своей	2	2
114	в истории	3	2
115	как бы	4	2
116	о том	17	2
117	том смысле	2	2
118	в россии	4	2
119	не значит	3	2
120	не существует	3	2
121	в основе	3	2
122	а как	2	2
123	если бы	9	2
124	и во	2	2
125	нет никаких	2	2
126	отношению к	3	2
127	литературы и	2	2
128	нужно искать	3	2
129	в то	9	2
130	чем в	3	2
131	то время	2	2
132	как будто	4	2
133	до сих	7	2
134	никто не	4	2
135	должен быть	3	2
136	все же	8	2
137	я бы	2	2
138	в свой	2	2
139	не хочет	2	2
140	сих пор	7	2
141	как в	13	2
142	бы не	2	2
143	т е	15	2
144	в той	6	2
145	того чтобы	11	2
146	и у	2	2
147	и для	3	2
148	и нужно	3	2
149	от этого	2	2
150	в каком	3	2
151	не все	3	2
