N	2gram	Ircho_Kome_3	EvropaiC
1	таким образом	12	32
2	в том	12	31
3	и в	22	24
4	том что	13	20
5	не может	3	18
6	то что	4	17
7	может быть	6	15
8	все же	4	15
9	точки зрения	4	13
10	в своем	8	12
11	до сих	9	12
12	сих пор	9	12
13	самом деле	6	12
14	в этом	8	12
15	все это	5	11
16	между тем	2	11
17	с этим	3	11
18	отношению к	3	10
19	мы знаем	2	10
20	как бы	3	10
21	из себя	3	10
22	по отношению	5	10
23	все что	3	10
24	во всех	2	10
25	так и	4	10
26	на то	3	9
27	при этом	7	9
28	в результате	2	9
29	как и	3	9
30	того же	6	9
31	что в	5	9
32	не в	4	8
33	в самом	9	8
34	так же	4	8
35	если бы	8	8
36	и все	2	8
37	ясно что	6	8
38	с точки	3	8
39	не менее	5	7
40	к тому	6	7
41	но и	4	7
42	и не	21	7
43	и что	6	7
44	о том	8	7
45	что он	8	7
46	по существу	2	7
47	в силу	2	7
48	того чтобы	6	7
49	для того	6	7
50	из этого	2	7
51	с другой	4	6
52	так что	6	6
53	в этой	3	6
54	несмотря на	4	6
55	и на	2	6
56	что касается	2	6
57	так как	11	6
58	с ним	5	6
59	еще не	6	6
60	что и	8	6
61	в мире	2	6
62	мы можем	3	6
63	вместе с	9	6
64	и без	2	5
65	столь же	3	5
66	тому же	6	5
67	у него	4	5
68	что с	2	5
69	в целом	3	5
70	другой стороны	2	5
71	и с	4	5
72	потому что	10	5
73	его в	8	5
74	но в	5	5
75	ничем не	4	5
76	сравнению с	2	5
77	к этому	6	5
78	и к	3	5
79	из всех	2	5
80	в то	6	5
81	по своему	3	5
82	и если	2	5
83	в его	8	5
84	не только	5	5
85	не будет	2	5
86	по сравнению	2	5
87	и для	4	5
88	но все	4	5
89	в себе	4	5
90	далеко не	3	5
91	в которой	3	5
92	на вопрос	2	4
93	не могут	2	4
94	никогда не	3	4
95	пор не	2	4
96	в конце	7	4
97	этом случае	2	4
98	из того	3	4
99	тем не	3	4
100	что его	5	4
101	одним из	2	4
102	хотя и	5	4
103	отношение к	5	4
104	из них	5	4
105	в их	2	4
106	не так	3	4
107	между собой	4	4
108	связи с	5	4
109	он не	5	4
110	конце концов	2	4
111	что эта	2	4
112	совершенно не	2	4
113	то же	7	4
114	в течение	3	4
115	если мы	2	4
116	из которых	2	4
117	хотя бы	4	4
118	в таком	2	4
119	в области	2	4
120	что их	2	3
121	с одной	3	3
122	представление о	2	3
123	так или	2	3
124	в нем	3	3
125	от того	2	3
126	целый ряд	2	3
127	то ни	3	3
128	а в	7	3
129	это не	2	3
130	в начале	3	3
131	что мы	2	3
132	бы в	4	3
133	с тем	4	3
134	прежде всего	5	3
135	чем в	3	3
136	тот же	2	3
137	конечно не	3	3
138	еще больше	3	3
139	только что	7	3
140	даже если	2	3
141	или иначе	2	3
142	является ли	2	3
143	тем более	4	3
144	в связи	4	3
145	и это	2	3
146	отличие от	2	3
147	свою очередь	6	2
148	в частности	3	2
149	себя и	2	2
150	ему и	2	2
151	тому что	2	2
152	с этой	3	2
153	на долю	3	2
154	именно потому	2	2
155	как мы	2	2
156	что они	2	2
157	со временем	3	2
158	же время	5	2
159	в свою	7	2
160	одной стороны	3	2
161	и сам	5	2
162	с уже	2	2
163	к нему	5	2
164	к ним	3	2
165	в ней	4	2
166	но если	3	2
167	в виду	2	2
168	всяком случае	3	2
169	в котором	2	2
170	только один	2	2
171	при виде	3	2
172	бы то	2	2
173	что она	4	2
174	что для	2	2
175	ни было	2	2
176	от своей	2	2
177	в глазах	8	2
178	в которых	5	2
179	говорить о	3	2
180	не было	2	2
181	во всяком	3	2
182	в основе	2	2
183	отнюдь не	4	2
184	до тех	3	2
185	от нее	3	2
186	в них	3	2
187	следует что	3	2
188	на месте	3	2
189	должен быть	2	2
190	если он	2	2
191	вовсе не	4	2
192	а затем	2	2
193	она не	2	2
194	ближе к	2	2
195	было бы	3	2
196	в сущности	2	2
197	которую он	2	2
198	и особенно	2	2
199	на него	4	2
200	о которой	2	2
201	это обстоятельство	3	2
202	между ними	2	2
203	которой мы	2	2
204	из этой	2	2
205	меньше чем	2	2
206	и ее	2	2
207	в другом	2	2
208	не знает	3	2
209	если же	2	2
210	и поэтому	4	2
