N	2gram	Bakhtin_Pr_3	KulturaY
1	и т	8	54
2	т п	6	41
3	т е	12	32
4	и в	34	23
5	точки зрения	8	23
6	в том	3	22
7	не только	10	17
8	было бы	2	16
9	в этом	16	16
10	с точки	4	16
11	может быть	19	14
12	самом деле	13	14
13	что в	7	13
14	в самом	8	13
15	не менее	3	12
16	потому что	12	12
17	вопрос о	2	11
18	том что	3	11
19	а не	9	11
20	того что	5	11
21	в его	22	11
22	и не	29	10
23	прежде всего	15	9
24	тем не	2	9
25	еще не	4	9
26	хотя бы	5	9
27	таким образом	5	9
28	так как	4	9
29	если бы	4	8
30	лишь в	5	8
31	т д	2	8
32	уже не	2	8
33	как на	2	8
34	в виду	3	8
35	с другой	4	7
36	или иной	2	7
37	слова и	10	7
38	те же	2	7
39	и что	5	7
40	речи в	2	7
41	должно быть	3	7
42	сказать что	2	7
43	все эти	4	7
44	с тем	5	6
45	для этого	3	6
46	по себе	3	6
47	что и	5	6
48	что он	23	6
49	тот же	2	6
50	при этом	4	6
51	так и	6	6
52	не может	19	6
53	то же	14	6
54	в общем	4	6
55	говорить о	3	6
56	только в	6	6
57	о том	2	6
58	ничего не	4	6
59	что же	8	5
60	я не	7	5
61	вовсе не	11	5
62	как и	18	5
63	не в	9	5
64	хотя и	3	5
65	как бы	27	5
66	все же	7	5
67	как мы	7	5
68	а в	5	5
69	но это	4	5
70	тем что	4	5
71	той или	2	5
72	далеко не	3	5
73	в чем	5	5
74	и должно	2	5
75	слова в	7	4
76	были бы	2	4
77	тому что	2	4
78	один из	2	4
79	этого слова	7	4
80	этом случае	2	4
81	в целом	5	4
82	того же	2	4
83	столь же	2	4
84	в сущности	11	4
85	в своей	3	4
86	в ее	3	4
87	то что	11	4
88	что значит	2	4
89	как в	4	4
90	как раз	4	4
91	в своем	2	4
92	не было	2	4
93	о них	2	4
94	в той	2	4
95	что не	7	4
96	что такое	2	4
97	в слове	5	4
98	между тем	3	4
99	которые в	2	4
100	на вопрос	4	3
101	уже в	3	3
102	но на	4	3
103	что это	5	3
104	это уже	2	3
105	отнюдь не	2	3
106	это не	5	3
107	на самом	11	3
108	к тому	5	3
109	и к	12	3
110	в отношении	9	3
111	ни в	4	3
112	с этой	2	3
113	но как	4	3
114	это и	2	3
115	мы видели	3	3
116	то в	2	3
117	но не	4	3
118	что сам	2	3
119	но для	3	3
120	он не	15	3
121	был бы	2	3
122	отношение к	6	3
123	но и	12	3
124	на него	7	3
125	по отношению	5	3
126	другой стороны	3	3
127	тому же	2	3
128	а с	3	3
129	и вот	5	3
130	в ней	3	3
131	я хочу	2	3
132	и с	15	3
133	бы и	4	3
134	той же	2	3
135	всего этого	2	3
136	в которых	2	3
137	слово в	2	3
138	в то	12	3
139	я в	4	3
140	и только	2	3
141	мы должны	5	3
142	того или	2	3
143	бы не	2	3
144	там где	7	3
145	как ты	3	3
146	я и	2	3
147	так сказать	2	2
148	такой же	3	2
149	одно только	2	2
150	все это	16	2
151	а что	3	2
152	но все	5	2
153	только слово	2	2
154	о чем	2	2
155	бы уже	3	2
156	смысле этого	2	2
157	не как	3	2
158	эти последние	2	2
159	раз и	3	2
160	в одном	5	2
161	что все	4	2
162	это в	2	2
163	сама по	2	2
164	точек зрения	2	2
165	я все	6	2
166	и того	2	2
167	и как	3	2
168	что они	6	2
169	по своему	3	2
170	и если	2	2
171	конечно не	2	2
172	мог бы	2	2
173	за пределы	2	2
174	к другому	20	2
175	не о	4	2
176	лишь о	3	2
177	увидим что	2	2
178	слова как	2	2
179	все те	2	2
180	в котором	3	2
181	однако в	2	2
182	его в	4	2
183	не с	2	2
184	отношению к	6	2
185	в пределах	6	2
186	своего рода	2	2
187	когда он	2	2
188	вместе с	4	2
189	и без	2	2
190	отличается от	2	2
191	так в	2	2
192	в отличие	2	2
193	как к	4	2
194	только что	3	2
195	как я	3	2
196	еще более	2	2
197	и об	2	2
198	как слово	2	2
199	ни одного	5	2
200	так же	8	2
201	такая же	2	2
202	с другими	4	2
203	не знает	6	2
204	во всяком	5	2
205	остается в	2	2
206	он в	4	2
207	эти слова	3	2
208	на протяжении	5	2
209	тому как	2	2
210	на этом	4	2
211	как он	3	2
212	не то	2	2
213	отличие от	2	2
214	но в	16	2
215	если и	2	2
