N	3gram	Trubetskoy_1	Marksizm
1	с точки зрения	8	20
2	не может быть	3	13
3	в самом деле	5	9
4	то ни было	2	8
5	бы то ни	2	8
6	до сих пор	8	8
7	в связи с	3	7
8	в настоящее время	2	6
9	и того же	3	5
10	одного и того	3	5
11	с другой стороны	4	5
12	может быть и	4	3
13	в то же	2	3
14	то же время	2	3
15	в конце концов	4	3
16	в том что	15	3
17	в этом случае	4	3
18	но все же	2	3
19	для того чтобы	7	3
20	так же как	3	2
21	в свою очередь	2	2
22	между этими двумя	2	2
23	тем не менее	4	2
24	во всяком случае	2	2
25	ничего общего с	2	2
26	по отношению к	9	2
27	как и все	2	2
