N	2gram	Medvedev_F_2	DiskursI
1	при этом	9	17
2	состоит в	2	16
3	в качестве	2	16
4	и в	38	16
5	может быть	23	16
6	как и	9	16
7	в этом	27	16
8	и не	20	15
9	а не	6	14
10	в отличие	2	12
11	отличие от	2	12
12	но и	13	11
13	но в	4	11
14	том что	2	10
15	не только	9	10
16	со стороны	2	10
17	так и	8	9
18	не может	14	9
19	в том	11	8
20	как в	4	8
21	прежде всего	15	7
22	в нем	13	7
23	ни в	2	7
24	но не	2	7
25	с его	11	6
26	отнюдь не	8	6
27	все же	8	6
28	в своей	7	6
29	то же	6	6
30	тем самым	2	6
31	что в	7	5
32	с другой	3	5
33	же время	5	5
34	для него	7	5
35	то что	6	5
36	и на	3	5
37	в то	5	5
38	одного из	3	4
39	к этому	4	4
40	к его	2	4
41	в пределах	12	4
42	как бы	4	4
43	этом отношении	7	4
44	роль в	3	4
45	потому что	2	4
46	в основе	5	4
47	точки зрения	8	4
48	в этой	6	4
49	и то	2	4
50	не является	3	4
51	перед нами	2	3
52	и может	3	3
53	могут быть	6	3
54	в этих	2	3
55	столь же	2	3
56	это не	2	3
57	не столько	4	3
58	из этих	3	3
59	и все	3	3
60	было в	2	3
61	уже не	7	3
62	и как	3	3
63	не в	15	3
64	например в	3	3
65	он не	6	3
66	в его	10	3
67	в котором	2	3
68	из них	4	3
69	жизни и	3	3
70	и ее	6	3
71	приводит к	2	3
72	не было	6	3
73	все эти	6	3
74	и наконец	4	3
75	и его	21	3
76	но это	2	3
77	только в	6	3
78	не следует	4	3
79	его в	3	3
80	место в	3	2
81	же как	3	2
82	никогда не	2	2
83	и всякое	2	2
84	в большинстве	4	2
85	в целом	3	2
86	или иного	5	2
87	идет о	2	2
88	что на	2	2
89	на первый	2	2
90	в той	2	2
91	что он	5	2
92	а к	2	2
93	такой же	3	2
94	является не	2	2
95	времени и	2	2
96	должна быть	5	2
97	отношение к	2	2
98	общения и	2	2
99	в ней	6	2
100	на почве	9	2
101	самого рассказа	2	2
102	что и	8	2
103	с точки	7	2
104	не к	2	2
105	вместе с	6	2
106	что же	5	2
107	и прежде	3	2
108	в языке	6	2
109	входит в	4	2
110	именно в	5	2
111	по преимуществу	5	2
112	сводится к	5	2
113	все это	3	2
114	другой стороны	4	2
115	и для	5	2
116	должно быть	2	2
117	а в	6	2
118	совпадает с	2	2
119	в результате	6	2
120	их в	2	2
121	и с	9	2
122	не о	4	2
123	говорить о	5	2
124	и это	2	2
125	здесь не	4	2
126	в области	3	2
127	между тем	2	2
128	произведения как	2	2
