N	2gram	Tiupa_Narr_2	Literetu
1	и не	14	22
2	тогда как	15	17
3	и в	13	16
4	в мире	4	16
5	при этом	14	15
6	не только	26	14
7	но и	15	14
8	в этом	13	14
9	а не	17	12
10	то что	8	12
11	может быть	10	12
12	в том	14	12
13	в частности	11	11
14	хх века	2	11
15	не в	8	10
16	такого рода	12	10
17	своего рода	9	10
18	то же	4	9
19	так и	9	9
20	того что	6	9
21	в то	5	9
22	в жизни	6	8
23	том что	13	8
24	не может	8	8
25	к себе	7	8
26	в этой	4	8
27	как бы	6	8
28	в своей	4	7
29	же время	3	7
30	себя в	2	7
31	со стороны	6	7
32	тем самым	5	7
33	точки зрения	5	7
34	я в	5	7
35	только в	11	7
36	по мысли	5	6
37	с его	3	6
38	состоит в	12	6
39	с другой	5	6
40	к тому	9	6
41	еще не	2	6
42	в его	6	6
43	и т.п	6	6
44	и его	3	6
45	в себе	8	6
46	в другом	4	6
47	о том	5	6
48	присутствия в	2	6
49	в качестве	14	5
50	это не	3	5
51	что он	5	5
52	в ее	4	5
53	тому же	4	5
54	как и	4	5
55	соответствии с	3	5
56	в целом	3	5
57	как в	5	5
58	в отличие	5	5
59	а в	9	5
60	этом отношении	3	5
61	именно в	2	5
62	всего лишь	6	5
63	коммуникативного события	8	5
64	что я	3	5
65	то есть	9	5
66	отличие от	5	5
67	место в	5	4
68	но не	3	4
69	в рамках	6	4
70	никогда не	6	4
71	однако в	2	4
72	как у	4	4
73	одной стороны	5	4
74	в начале	2	4
75	и для	3	4
76	хотя и	5	4
77	отношению к	5	4
78	коммуникативное событие	6	4
79	данном случае	6	4
80	в тексте	8	4
81	по отношению	5	4
82	жизни в	6	4
83	с одной	5	4
84	а также	6	4
85	в данном	10	4
86	одно из	2	4
87	ивана иваныча	2	3
88	личности в	2	3
89	отнюдь не	4	3
90	прежде всего	6	3
91	в соответствии	3	3
92	о чем	2	3
93	мира в	4	3
94	и к	6	3
95	в самом	2	3
96	вслед за	6	3
97	в слове	3	3
98	однако не	2	3
99	и тем	5	3
100	жизни и	4	3
101	себе самому	5	3
102	уже не	4	3
103	самом деле	3	3
104	с точки	2	3
105	как на	2	3
106	той же	2	3
107	в глазах	4	3
108	тому как	2	3
109	не случайно	2	3
110	потому что	2	3
111	самим собой	3	3
112	по своей	3	3
113	едва ли	3	3
114	как это	4	3
115	в области	2	3
116	но в	6	3
117	между тем	3	3
118	что в	4	2
119	не менее	4	2
120	если бы	4	2
121	по большей	3	2
122	в случае	2	2
123	быть может	2	2
124	что у	2	2
125	как о	2	2
126	оно не	2	2
127	с этой	3	2
128	в конце	4	2
129	и другого	2	2
130	я не	5	2
131	вследствие этого	2	2
132	со своими	2	2
133	большей части	3	2
134	на то	2	2
135	или иной	3	2
136	в нем	5	2
137	но одновременно	2	2
138	же в	4	2
139	раз в	2	2
140	у нас	2	2
141	всякий раз	2	2
142	и адресата	2	2
143	собственного я	2	2
144	в свою	2	2
145	для него	4	2
146	можно сказать	6	2
147	особое место	3	2
148	было бы	2	2
149	и сам	3	2
150	со всеми	2	2
151	несмотря на	2	2
152	не могу	2	2
153	текста и	2	2
154	той или	3	2
155	о нем	3	2
156	не вполне	2	2
157	для себя	3	2
158	один из	3	2
159	что и	2	2
160	все же	6	2
161	во второй	2	2
162	бытия в	2	2
163	внимание на	3	2
164	так же	2	2
165	как раз	3	2
166	если не	2	2
167	того чтобы	3	2
168	о которой	3	2
169	в принципе	2	2
170	и даже	3	2
171	исходной ситуации	4	2
172	или иначе	2	2
173	с ними	3	2
174	теперь как	2	2
175	в своих	2	2
176	следует признать	4	2
177	подобно тому	2	2
178	далеко не	5	2
179	представляет собой	16	2
180	могли бы	2	2
181	здесь не	2	2
182	мира и	3	2
183	в каждой	2	2
