N	2gram	Tiupa_Hudo_2	VLabPisa
1	в этом	13	26
2	и в	28	25
3	и т	4	24
4	не только	11	22
5	во сне	3	21
6	может быть	8	21
7	хотя бы	2	20
8	и не	18	19
9	т е	2	17
10	не может	4	17
11	в его	11	15
12	т д	2	15
13	прежде всего	3	13
14	в том	15	13
15	в частности	7	12
16	все это	3	12
17	как это	7	12
18	с другой	3	11
19	из них	2	11
20	в качестве	4	10
21	о том	12	10
22	в художественном	4	10
23	как видим	2	9
24	об этом	7	9
25	что в	5	9
26	для него	5	9
27	но и	9	9
28	то же	6	9
29	т п	2	9
30	в своем	5	8
31	из этих	2	7
32	как и	11	7
33	том что	19	7
34	было бы	3	7
35	в конечном	4	7
36	говорит о	4	7
37	отношению к	7	7
38	вместе с	2	7
39	по отношению	7	7
40	не было	6	7
41	а не	14	7
42	у него	5	6
43	это не	6	6
44	в себе	9	6
45	то что	6	6
46	в нем	3	6
47	так и	8	6
48	бы и	4	6
49	и его	5	6
50	между тем	8	6
51	в то	6	6
52	тому что	4	5
53	же время	4	5
54	конечном счете	3	5
55	все же	2	5
56	как бы	5	5
57	один из	2	5
58	приводит к	2	5
59	сказать что	2	5
60	только в	4	5
61	не в	13	5
62	не является	2	5
63	к тому	7	4
64	никогда не	5	4
65	перед нами	11	4
66	в одном	3	4
67	что все	3	4
68	что он	8	4
69	с его	5	4
70	можно сказать	6	4
71	в ее	18	4
72	одна из	2	4
73	в своей	6	4
74	в самом	5	4
75	как раз	4	4
76	в них	3	4
77	с ними	3	4
78	в этой	5	4
79	и к	2	3
80	и ее	3	3
81	и от	2	3
82	человека и	3	3
83	мы знаем	2	3
84	а всего	2	3
85	что они	4	3
86	говорит в	2	3
87	как о	3	3
88	или в	3	3
89	по поводу	3	3
90	что не	2	3
91	со своим	3	3
92	вслед за	4	3
93	следующим образом	3	3
94	и он	3	3
95	в котором	6	3
96	его в	2	3
97	что и	4	3
98	жизни и	6	3
99	именно в	2	3
100	сводится к	6	3
101	так же	3	3
102	как на	2	3
103	а вот	2	3
104	точки зрения	2	3
105	она не	5	3
106	всего лишь	3	3
107	что говорит	2	3
108	том как	2	3
109	не менее	5	2
110	он сам	2	2
111	только не	2	2
112	а о	2	2
113	произведения не	2	2
114	в жизни	8	2
115	с нею	3	2
116	начнем с	2	2
117	вовсе не	2	2
118	а как	2	2
119	роль в	2	2
120	или иной	2	2
121	о его	2	2
122	до сих	2	2
123	но не	4	2
124	пародия на	4	2
125	как у	2	2
126	они и	2	2
127	еще не	3	2
128	одной стороны	3	2
129	мысль о	2	2
130	же самое	3	2
131	для того	4	2
132	о своем	4	2
133	одной из	3	2
134	если бы	6	2
135	ни с	2	2
136	в ней	3	2
137	что она	7	2
138	отнюдь не	2	2
139	если в	2	2
140	ни одного	2	2
141	этом и	3	2
142	не по	2	2
143	сих пор	2	2
144	все они	3	2
145	бы не	3	2
146	а в	6	2
147	еще и	2	2
148	с одной	3	2
149	человека в	4	2
150	чтобы не	3	2
151	того чтобы	4	2
152	между ними	2	2
153	и для	2	2
154	по его	3	2
155	можно было	3	2
156	с другими	3	2
157	тому как	4	2
158	не столько	2	2
159	пока еще	3	2
160	лишь в	2	2
161	он не	4	2
162	и просто	2	2
163	подобно тому	4	2
164	говорить о	2	2
165	в другом	2	2
166	что даже	2	2
167	того или	2	2
168	будто бы	3	2
169	как он	3	2
170	же как	2	2
171	о чем	8	2
172	но в	2	2
173	а для	2	2
