N	2gram	Vygotskiy__2	Myshleni
1	в том	37	42
2	том что	21	35
3	в процессе	2	27
4	таким образом	21	25
5	точки зрения	17	24
6	в этом	13	24
7	и в	32	20
8	что в	20	19
9	заключается в	12	18
10	в основе	11	17
11	то же	13	16
12	то что	21	15
13	не только	12	15
14	что они	7	14
15	с другой	3	12
16	при этом	13	12
17	в их	3	12
18	потому что	21	12
19	может быть	18	12
20	что ребенок	2	12
21	в целом	4	11
22	так же	18	11
23	в его	2	11
24	мы должны	3	11
25	с точки	10	11
26	того что	8	10
27	так как	12	10
28	в отношении	3	10
29	мы видим	4	10
30	если мы	12	10
31	и то	3	10
32	в себе	2	10
33	только в	7	10
34	слова в	2	9
35	и как	7	9
36	но и	10	9
37	другой стороны	2	9
38	между тем	4	9
39	могли бы	2	9
40	как это	4	9
41	как и	10	9
42	того же	2	9
43	тот же	6	9
44	что и	17	9
45	и не	10	8
46	и тем	4	8
47	и что	22	8
48	тогда когда	3	8
49	было бы	11	8
50	вместе с	2	8
51	и более	4	7
52	как бы	6	7
53	этом отношении	5	7
54	же самое	6	7
55	и тот	2	7
56	в своей	3	7
57	самом деле	16	7
58	а не	7	7
59	того чтобы	14	7
60	тем что	9	7
61	могут быть	4	7
62	одного и	2	6
63	к одному	4	6
64	к тому	7	6
65	же как	4	6
66	в самом	12	6
67	не может	17	6
68	те же	6	6
69	и на	5	6
70	сказать что	7	6
71	с тем	11	6
72	что он	13	6
73	той же	8	6
74	можно было	7	6
75	в частности	3	5
76	никогда не	9	5
77	целый ряд	6	5
78	это не	2	5
79	на то	11	5
80	в действительности	4	5
81	увидим что	2	5
82	говорит он	4	5
83	если бы	6	5
84	и его	7	5
85	с этим	4	5
86	и к	3	5
87	все же	4	5
88	о том	6	5
89	в уме	2	5
90	так и	3	5
91	как в	9	5
92	одной и	4	5
93	для того	13	5
94	все эти	7	5
95	мы можем	3	5
96	все время	6	4
97	тому что	4	4
98	для нас	2	4
99	что с	3	4
100	и той	4	4
101	указывают на	2	4
102	из них	4	4
103	на том	2	4
104	и только	2	4
105	что оно	2	4
106	роль в	2	4
107	этой точки	2	4
108	этой теории	2	4
109	и те	4	4
110	с этой	4	4
111	как он	2	4
112	в сознании	4	4
113	и с	4	4
114	показали что	2	4
115	состоит в	3	4
116	и при	2	4
117	по своему	3	4
118	в смысле	3	4
119	в сущности	7	4
120	по сравнению	2	4
121	не в	8	4
122	и для	4	4
123	во всяком	2	4
124	которые в	4	4
125	на этом	3	3
126	не могут	3	3
127	не менее	8	3
128	в этих	2	3
129	в какой	2	3
130	формы и	6	3
131	и от	2	3
132	точно так	3	3
133	что все	9	3
134	на все	5	3
135	и другой	3	3
136	а только	3	3
137	так что	3	3
138	в этой	6	3
139	но что	2	3
140	не имеют	2	3
141	себе и	2	3
142	которые мы	4	3
143	от того	4	3
144	в виду	3	3
145	всяком случае	2	3
146	один из	3	3
147	и других	3	3
148	столь же	4	3
149	и когда	4	3
150	на его	2	3
151	к которому	2	3
152	но в	3	3
153	отнюдь не	5	3
154	же самую	2	3
155	сравнению с	2	3
156	приходит к	3	3
157	по существу	3	3
158	во всем	3	3
159	но не	2	3
160	наряду с	4	3
161	с таким	8	3
162	когда он	10	3
163	совершенно не	4	3
164	и отношений	3	3
165	говорит что	7	3
166	на этот	2	3
167	одни и	2	3
168	ни в	2	3
169	в чем	4	3
170	в которой	2	3
171	на деле	8	3
172	и поэтому	4	3
173	как только	2	2
174	место в	2	2
175	такой же	7	2
176	мы будем	2	2
177	все более	2	2
178	и которая	2	2
179	понятно что	2	2
180	но так	2	2
181	в каждом	2	2
182	это означает	2	2
183	что на	4	2
184	который не	3	2
185	что если	6	2
186	свою очередь	2	2
187	в свою	3	2
188	в нашей	3	2
189	что это	8	2
190	и у	2	2
191	противоречие с	2	2
192	вслед за	5	2
193	указывая на	2	2
194	том чтобы	3	2
195	в ней	5	2
196	в него	2	2
197	в нем	4	2
198	к нему	2	2
199	то как	3	2
200	всех остальных	2	2
201	данном случае	4	2
202	отличается от	2	2
203	этой области	2	2
204	здесь мы	2	2
205	или иному	2	2
206	не имеет	4	2
207	а в	4	2
208	также и	2	2
209	в данном	4	2
210	и здесь	2	2
211	но как	3	2
212	что всякое	2	2
213	их в	2	2
214	когда мы	2	2
215	мы имеем	4	2
216	и которые	2	2
217	при определении	2	2
218	это в	2	2
219	к которым	3	2
220	ничего кроме	2	2
221	что такие	2	2
222	представить себе	3	2
223	ясно что	7	2
224	переходе от	2	2
225	видим что	3	2
226	показывает что	3	2
227	сейчас же	5	2
228	том виде	3	2
229	с той	4	2
230	что при	9	2
231	указывает на	3	2
232	еще не	2	2
233	мы в	3	2
234	он говорит	5	2
235	том же	2	2
236	никак не	4	2
237	далеко не	5	2
238	в свое	2	2
239	а другой	3	2
240	как говорит	3	2
241	только на	5	2
242	в языке	4	2
243	при анализе	2	2
244	того как	4	2
245	а с	2	2
246	может служить	3	2
247	и он	3	2
248	тому или	2	2
249	в таком	2	2
250	тому как	3	2
251	что этот	2	2
252	это значит	3	2
253	подобно тому	2	2
254	в каком	3	2
255	даны в	2	2
256	более и	2	2
257	ту же	4	2
258	и это	4	2
259	едва ли	4	2
260	отличие от	2	2
261	которые не	3	2
262	значит что	3	2
