N	2gram	Potebnia_M_4	Stilisti
1	и в	23	42
2	как бы	5	27
3	не только	10	27
4	хотя бы	4	17
5	но и	11	15
6	то же	14	15
7	и не	18	14
8	может быть	26	12
9	не может	11	12
10	точки зрения	4	11
11	как и	14	11
12	мы уже	3	11
13	и как	2	10
14	что мы	10	10
15	мы должны	2	10
16	как мы	2	10
17	в этом	23	10
18	при этом	15	9
19	в то	4	9
20	то что	29	9
21	для того	6	9
22	мы не	8	9
23	в ней	2	8
24	таким образом	24	8
25	с тем	7	8
26	что же	5	8
27	тем самым	4	8
28	в себе	14	8
29	и это	2	8
30	никогда не	3	7
31	же время	3	7
32	и тем	4	7
33	и на	3	7
34	потому что	33	7
35	так как	14	7
36	было бы	8	7
37	а не	12	7
38	того чтобы	4	7
39	и его	2	7
40	мы можем	10	7
41	только в	15	7
42	в которой	6	7
43	другими словами	8	6
44	не в	11	6
45	в свою	2	6
46	на его	3	6
47	говорящего и	2	6
48	когда мы	6	6
49	и так	3	6
50	в нем	7	6
51	в процессе	3	6
52	так и	6	6
53	в области	2	6
54	слова в	3	5
55	уже в	5	5
56	независимо от	6	5
57	в нашем	2	5
58	тому что	2	5
59	и следовательно	3	5
60	и их	3	5
61	те же	3	5
62	а в	5	5
63	и с	4	5
64	же самое	4	5
65	в сознании	4	5
66	же мы	2	5
67	что язык	7	5
68	в его	5	5
69	вместе с	6	5
70	в той	4	5
71	с точки	3	5
72	той же	3	5
73	слова и	5	5
74	самого начала	2	4
75	что это	7	4
76	и без	2	4
77	в каждом	3	4
78	можно сказать	4	4
79	к тому	3	4
80	влияние на	2	4
81	было в	3	4
82	в самом	3	4
83	один из	2	4
84	все это	5	4
85	языка и	3	4
86	того что	14	4
87	так же	4	4
88	в обществе	2	4
89	о том	8	4
90	его в	4	4
91	бы в	2	4
92	но в	8	4
93	не существует	2	4
94	если бы	13	4
95	не что	2	4
96	и к	6	4
97	у нас	2	4
98	мы видим	2	4
99	не знаем	2	4
100	если б	4	4
101	если мы	2	4
102	уже не	3	4
103	самом деле	3	4
104	в слове	22	4
105	можно было	2	4
106	и то	5	4
107	то есть	34	4
108	так сказать	5	4
109	в разных	3	3
110	до того	3	3
111	язык не	5	3
112	что у	3	3
113	это не	7	3
114	этом случае	5	3
115	для нас	14	3
116	здесь мы	2	3
117	связь и	2	3
118	но что	2	3
119	хотя и	5	3
120	языком и	3	3
121	в котором	4	3
122	представить себе	2	3
123	от того	4	3
124	заключает в	8	3
125	лишь в	3	3
126	и даже	2	3
127	не так	2	3
128	их в	3	3
129	сказать что	8	3
130	и здесь	2	3
131	в виду	3	3
132	то он	2	3
133	и все	4	3
134	в одном	4	3
135	этом мы	2	3
136	этого слова	7	3
137	об этом	2	3
138	в ее	2	3
139	том что	12	3
140	еще не	3	3
141	мы в	3	3
142	конечно не	2	3
143	что и	7	3
144	не будет	3	3
145	да и	4	3
146	только на	4	3
147	связь между	3	3
148	на самом	3	3
149	слово и	3	3
150	что такое	7	3
151	между ними	4	3
152	и для	2	3
153	слов в	4	3
154	то мы	3	3
155	связи с	3	3
156	в голову	2	2
157	быть может	4	2
158	бы и	5	2
159	помощи языка	2	2
160	но даже	2	2
161	без языка	2	2
162	иное как	2	2
163	человека и	3	2
164	человека в	2	2
165	не всегда	3	2
166	вопрос о	2	2
167	не нужно	2	2
168	в мире	2	2
169	в том	23	2
170	но это	3	2
171	очевидно что	7	2
172	для него	5	2
173	значительной степени	2	2
174	но мы	2	2
175	не с	2	2
176	в этих	3	2
177	отношение к	2	2
178	в нас	3	2
179	не было	12	2
180	все эти	3	2
181	но эта	2	2
182	должно быть	5	2
183	в которых	3	2
184	в своих	2	2
185	даже и	3	2
186	что иное	2	2
187	что эти	3	2
188	нет ничего	3	2
189	будет иметь	2	2
190	мы имеем	4	2
191	ни к	2	2
192	что то	3	2
193	это слово	4	2
194	с этим	7	2
195	себе в	3	2
196	значение и	2	2
197	человек не	2	2
198	что он	4	2
199	членораздельный звук	3	2
200	есть не	4	2
201	только тогда	5	2
202	только потому	4	2
203	ответить на	3	2
204	и при	2	2
205	по своему	2	2
206	равно как	2	2
207	тот же	2	2
208	и когда	2	2
209	и потому	10	2
210	не есть	9	2
211	слова не	3	2
212	природы и	2	2
213	сих пор	4	2
214	как в	7	2
215	как нет	2	2
216	бы не	3	2
217	выражения как	2	2
218	допустим что	5	2
219	из которых	2	2
220	к нему	5	2
221	с ним	5	2
222	этот вопрос	3	2
223	в языке	16	2
224	тем что	10	2
225	в каком	4	2
226	тем и	6	2
227	и вообще	2	2
228	заметить что	6	2
