N	2gram	Tiupa_Anal_2	VerxiiNi
1	и в	16	26
2	таким образом	2	22
3	вместе с	2	15
4	в этом	18	15
5	точки зрения	4	13
6	как бы	10	12
7	в том	12	11
8	может быть	6	10
9	не только	16	10
10	что в	2	9
11	но и	12	9
12	с другой	6	8
13	но не	4	8
14	в общем	2	8
15	и не	12	8
16	том что	12	7
17	одной стороны	4	7
18	из них	3	7
19	то что	7	7
20	с одной	5	7
21	но в	6	7
22	в конце	4	6
23	к тому	7	6
24	того же	4	6
25	несмотря на	3	6
26	что и	3	6
27	так и	15	6
28	все это	4	6
29	с точки	2	6
30	в себе	7	6
31	и т.д	3	6
32	о том	7	6
33	и к	5	5
34	крайней мере	3	5
35	тому же	4	5
36	одной из	3	5
37	в его	2	5
38	никогда не	3	5
39	так же	2	5
40	лишь в	9	5
41	а не	10	5
42	не имеет	2	5
43	и для	2	5
44	в мире	6	5
45	по крайней	3	5
46	в этих	2	4
47	попадает в	3	4
48	что все	2	4
49	в самом	6	4
50	в котором	2	4
51	не может	4	4
52	а в	3	4
53	то же	4	4
54	на этот	2	4
55	он не	2	4
56	в то	2	4
57	только в	4	4
58	то есть	9	4
59	в этой	9	4
60	не менее	4	3
61	в рамках	3	3
62	если бы	3	3
63	как о	3	3
64	к этому	2	3
65	можно сказать	4	3
66	связывается с	2	3
67	для него	4	3
68	так что	3	3
69	представляет собой	8	3
70	в своем	4	3
71	в качестве	11	3
72	и если	3	3
73	тем не	3	3
74	отношению к	4	3
75	при этом	10	3
76	уже не	4	3
77	в значительной	2	3
78	того что	2	3
79	и даже	9	3
80	в таком	2	3
81	в результате	3	3
82	в одном	2	3
83	он в	4	2
84	только не	4	2
85	именно в	3	2
86	состоит в	8	2
87	одно из	2	2
88	при таком	2	2
89	превращается в	2	2
90	может ли	2	2
91	и особенно	4	2
92	и иной	2	2
93	прежде всего	3	2
94	из своих	2	2
95	на то	2	2
96	или иной	3	2
97	ему в	3	2
98	а также	7	2
99	к его	2	2
100	его от	3	2
101	по существу	2	2
102	должна была	2	2
103	все что	2	2
104	же время	2	2
105	так например	2	2
106	еще не	2	2
107	вслед за	2	2
108	для всех	2	2
109	той или	3	2
110	и является	4	2
111	один из	2	2
112	не с	4	2
113	во всех	4	2
114	приводит к	3	2
115	особенно в	7	2
116	грань между	2	2
117	этом отношении	3	2
118	те же	2	2
119	мы имеем	3	2
120	свидетельствует о	2	2
121	и на	6	2
122	сказать что	2	2
123	не в	4	2
124	и все	3	2
125	них не	2	2
126	в эту	3	2
127	между тем	2	2
