N	2gram	Ircho_Kome_2	Literetu
1	и не	14	22
2	и в	26	16
3	в мире	2	16
4	х годов	2	15
5	не только	7	14
6	но и	10	14
7	в этом	10	14
8	то что	6	12
9	может быть	11	12
10	в том	11	12
11	в частности	4	11
12	не в	2	10
13	то же	3	9
14	так и	12	9
15	в то	6	9
16	том что	9	8
17	не может	3	8
18	в этой	3	8
19	как бы	2	8
20	в своей	3	7
21	же время	3	7
22	себя в	3	7
23	со стороны	2	7
24	точки зрения	4	7
25	только в	4	7
26	с его	5	6
27	с другой	2	6
28	к тому	12	6
29	художественного мышления	2	6
30	еще не	6	6
31	в его	4	6
32	и его	12	6
33	о том	6	6
34	в качестве	5	5
35	это не	2	5
36	что он	5	5
37	в ее	2	5
38	тому же	11	5
39	как и	4	5
40	в целом	4	5
41	вместе с	9	5
42	как в	3	5
43	в отличие	2	5
44	а в	3	5
45	отличие от	2	5
46	место в	4	4
47	но не	3	4
48	однако в	2	4
49	в жизнь	2	4
50	даже в	2	4
51	перед лицом	2	4
52	одной стороны	2	4
53	и если	2	4
54	в начале	4	4
55	и для	4	4
56	одним из	2	4
57	хотя и	4	4
58	говоря уже	2	4
59	отношению к	3	4
60	из них	7	4
61	не говоря	2	4
62	по отношению	3	4
63	с одной	2	4
64	одно из	2	4
65	как будто	4	4
66	в одном	2	4
67	том числе	3	3
68	все время	2	3
69	отнюдь не	2	3
70	прежде всего	4	3
71	в г	17	3
72	а затем	5	3
73	о чем	3	3
74	мира в	4	3
75	например в	3	3
76	и к	2	3
77	в самом	4	3
78	вслед за	2	3
79	наконец в	2	3
80	еще в	4	3
81	жизни и	3	3
82	бы и	2	3
83	той же	3	3
84	в глазах	2	3
85	потому что	6	3
86	уже о	2	3
87	едва ли	14	3
88	как это	4	3
89	но в	3	3
90	между тем	4	3
91	берет на	2	2
92	ни было	2	2
93	что в	9	2
94	не менее	4	2
95	если бы	9	2
96	так или	3	2
97	то ни	2	2
98	что у	4	2
99	в лице	2	2
100	с этой	3	2
101	в конце	2	2
102	к этому	5	2
103	не всегда	2	2
104	вопрос о	3	2
105	в нем	6	2
106	и ее	2	2
107	же в	4	2
108	связи с	3	2
109	а на	2	2
110	того же	3	2
111	было бы	8	2
112	и сам	3	2
113	во всех	3	2
114	не вполне	2	2
115	один из	5	2
116	то это	2	2
117	что и	7	2
118	все же	4	2
119	бы то	2	2
120	отношение к	2	2
121	как мы	4	2
122	если не	2	2
123	человека в	3	2
124	того чтобы	6	2
125	для того	5	2
126	в принципе	2	2
127	или иначе	3	2
128	с ними	2	2
129	и на	7	2
130	и с	5	2
131	тем что	3	2
132	следует признать	2	2
133	на себя	7	2
134	и вовсе	2	2
135	его в	4	2
136	в первом	2	2
