N	2gram	Ircho_Kome_1	Hudozhes
1	и в	22	28
2	том что	12	19
3	и не	8	18
4	в том	11	15
5	не в	6	13
6	в этом	3	13
7	о том	8	12
8	как и	9	11
9	при этом	5	11
10	в его	5	11
11	не только	10	11
12	но и	11	9
13	в себе	2	9
14	что он	6	8
15	может быть	9	8
16	так и	5	8
17	между тем	5	8
18	и все	3	7
19	к тому	6	7
20	в частности	3	7
21	отношению к	3	7
22	по отношению	3	7
23	как это	3	7
24	казалось бы	3	6
25	в котором	4	6
26	то что	2	6
27	то же	6	6
28	а в	6	6
29	и с	3	6
30	тем что	4	6
31	для себя	2	6
32	в то	10	6
33	не менее	3	5
34	у него	3	5
35	как в	5	5
36	да и	3	5
37	с ее	2	5
38	в этой	7	5
39	что в	6	5
40	и сам	3	5
41	в самом	2	5
42	наряду с	2	5
43	и его	8	5
44	ничего не	3	5
45	тем не	2	4
46	но не	2	4
47	что они	4	4
48	в качестве	4	4
49	же время	4	4
50	вслед за	2	4
51	и о	3	4
52	он не	3	4
53	что и	4	4
54	и т	9	4
55	как раз	3	4
56	то и	2	4
57	не может	2	4
58	в городе	2	4
59	как будто	2	4
60	только в	3	4
61	в других	2	4
62	в них	3	3
63	в состоянии	2	3
64	столь же	2	3
65	с другой	5	3
66	в одном	8	3
67	прежде всего	5	3
68	в нем	4	3
69	и внутренней	2	3
70	и ее	3	3
71	все что	2	3
72	еще не	2	3
73	одной стороны	3	3
74	было бы	2	3
75	по поводу	4	3
76	несмотря на	4	3
77	одной из	3	3
78	раз в	2	3
79	со своим	5	3
80	на него	4	3
81	со стороны	2	3
82	все это	5	3
83	с одной	3	3
84	едва ли	7	3
85	так же	3	3
86	или в	2	3
87	и на	3	3
88	на себя	2	3
89	что у	2	3
90	же самое	2	3
91	будто бы	2	3
92	к нему	2	3
93	место в	3	2
94	т е	13	2
95	однако в	3	2
96	именно в	4	2
97	вовсе не	2	2
98	в финале	2	2
99	как мы	4	2
100	о которых	5	2
101	мы знаем	2	2
102	в г	11	2
103	тому же	6	2
104	когда же	5	2
105	же как	3	2
106	одна из	2	2
107	художественного мышления	2	2
108	на этом	2	2
109	со своей	2	2
110	к ней	2	2
111	а также	4	2
112	на кого	2	2
113	до сих	2	2
114	к числу	2	2
115	один из	5	2
116	все же	3	2
117	отношение к	3	2
118	во второй	3	2
119	из них	10	2
120	вместе с	2	2
121	сих пор	2	2
122	к людям	2	2
123	т п	5	2
124	т д	4	2
125	того как	3	2
126	еще и	2	2
127	именно на	2	2
128	и у	3	2
129	который в	2	2
130	в принципе	2	2
131	и опять	4	2
132	тем как	2	2
133	потому что	5	2
134	в виде	3	2
135	точки зрения	4	2
136	в другом	4	2
137	его в	3	2
138	но в	4	2
