N	2gram	Bakhtin_Fr_6	PoTuStor
1	может быть	2	17
2	и в	41	16
3	прежде всего	10	9
4	таким образом	17	9
5	в этом	12	9
6	и его	13	8
7	и с	16	8
8	точки зрения	2	8
9	не может	4	8
10	с его	5	7
11	сказать что	6	7
12	не только	10	7
13	с точки	2	6
14	самом деле	4	6
15	при этом	3	6
16	конечно не	3	6
17	все эти	11	5
18	в чем	3	5
19	как бы	7	5
20	в него	3	5
21	в нем	16	4
22	и их	3	4
23	но и	13	4
24	так и	5	4
25	все это	11	4
26	и все	9	4
27	так как	10	4
28	и не	3	4
29	как мы	12	4
30	и наконец	4	4
31	и даже	4	4
32	и на	9	4
33	в этой	8	4
34	все что	4	4
35	только в	3	4
36	но в	8	4
37	в его	7	4
38	во время	9	3
39	в этих	2	3
40	что в	7	3
41	жизни и	3	3
42	во всех	17	3
43	и др	10	3
44	вместе с	6	3
45	сих пор	3	3
46	в большинстве	4	3
47	в одном	5	3
48	к себе	2	3
49	те же	3	3
50	большинстве случаев	5	3
51	в том	2	3
52	а в	4	3
53	том что	7	3
54	и как	4	3
55	с другими	3	3
56	то что	10	3
57	их в	2	3
58	в основе	4	3
59	на этом	2	3
60	если б	2	3
61	тех же	2	3
62	но оно	3	3
63	мира и	2	3
64	как это	2	3
65	в области	2	3
66	и потому	2	3
67	до сих	3	3
68	между ними	3	3
69	поэтому и	3	2
70	один из	6	2
71	не могут	2	2
72	в развитии	2	2
73	связанных с	3	2
74	в частности	2	2
75	никогда не	8	2
76	что не	3	2
77	для этого	2	2
78	в них	7	2
79	если мы	2	2
80	того же	4	2
81	с этой	3	2
82	из этих	2	2
83	с этим	3	2
84	то же	5	2
85	с помощью	6	2
86	что он	6	2
87	мы не	2	2
88	здесь же	2	2
89	и т.п	19	2
90	рождения и	2	2
91	что мы	2	2
92	на первый	3	2
93	у него	7	2
94	и для	3	2
95	для нас	2	2
96	да еще	2	2
97	как и	7	2
98	они не	3	2
99	мы видим	6	2
100	так же	5	2
101	но это	3	2
102	и образы	2	2
103	есть в	3	2
104	мы уже	18	2
105	не на	2	2
106	а на	2	2
107	он не	2	2
108	образов и	5	2
109	и этим	2	2
110	есть и	2	2
111	между собою	5	2
112	всех его	4	2
113	говорить о	2	2
114	в начале	3	2
115	и вообще	4	2
116	было бы	3	2
117	со всеми	2	2
118	что это	5	2
119	кажется что	2	2
120	все то	5	2
121	о том	9	2
122	в самом	10	2
123	за пределы	2	2
124	в своей	2	2
125	с ним	4	2
