N	2gram	Losev_Dial_4	Hudozhes
1	в качестве	2	19
2	и не	30	16
3	в том	11	15
4	и в	15	15
5	не только	8	15
6	в частности	2	13
7	может быть	17	13
8	при этом	2	12
9	и его	7	12
10	в этом	11	11
11	в себе	8	11
12	как бы	14	10
13	но и	4	10
14	так и	5	10
15	то же	9	10
16	а не	18	10
17	в его	4	9
18	точки зрения	14	9
19	себя в	2	8
20	в то	6	7
21	отличие от	2	7
22	но в	3	7
23	в основе	10	6
24	с его	5	6
25	что в	7	6
26	в ее	2	6
27	том что	10	6
28	не в	8	6
29	же время	6	6
30	не может	11	6
31	могут быть	3	5
32	можно сказать	5	5
33	ни в	8	5
34	только в	7	5
35	тем самым	3	5
36	в самом	2	5
37	того что	13	5
38	той или	4	5
39	в нем	5	5
40	с ее	10	5
41	то что	16	5
42	другой стороны	2	5
43	в их	3	5
44	уже не	9	5
45	личности в	5	4
46	прежде всего	11	4
47	и как	4	4
48	еще не	4	4
49	хотя и	6	4
50	и тем	6	4
51	в своей	3	4
52	со стороны	3	4
53	отношения к	3	4
54	и то	3	4
55	сказать что	6	4
56	мы имеем	5	4
57	говорить о	11	4
58	как это	2	4
59	личности и	10	3
60	не менее	2	3
61	если бы	6	3
62	однако в	2	3
63	в отношении	2	3
64	в противоположность	2	3
65	это не	12	3
66	этом смысле	4	3
67	что он	7	3
68	тем не	2	3
69	субъекта и	5	3
70	в свою	3	3
71	мог бы	2	3
72	того или	2	3
73	как раз	4	3
74	не будет	2	3
75	таким образом	5	3
76	как и	7	3
77	лишь в	2	3
78	и что	9	3
79	с точки	9	3
80	во всей	2	3
81	и для	5	3
82	потому что	10	3
83	и ее	8	3
84	в данном	3	3
85	в которой	2	3
86	в области	3	3
87	в виду	9	3
88	на этом	3	2
89	я не	5	2
90	сама по	5	2
91	себя и	3	2
92	в своем	5	2
93	в них	2	2
94	не как	4	2
95	в одном	4	2
96	человека и	2	2
97	вовсе не	6	2
98	по себе	13	2
99	только о	3	2
100	к своему	2	2
101	личности как	3	2
102	в коем	2	2
103	об этом	3	2
104	при условии	2	2
105	данный момент	2	2
106	личности с	3	2
107	тем более	6	2
108	есть в	4	2
109	свою очередь	2	2
110	тем или	2	2
111	с их	4	2
112	случае не	2	2
113	в аспекте	2	2
114	никто не	2	2
115	за пределы	3	2
116	во всех	2	2
117	и о	8	2
118	одной из	2	2
119	совпадает с	2	2
120	и потому	3	2
121	жизнь личности	2	2
122	к жизни	3	2
123	оно не	2	2
124	художественное произведение	2	2
125	как в	3	2
126	а именно	6	2
127	собственно говоря	2	2
128	и притом	3	2
129	именно в	5	2
130	все эти	3	2
131	это и	9	2
132	в себя	5	2
133	от себя	2	2
134	того чтобы	5	2
135	для того	5	2
136	из которых	3	2
137	и по	2	2
138	или в	7	2
139	я думаю	2	2
140	и эстетической	4	2
141	коем случае	2	2
142	так же	4	2
143	с ним	3	2
144	или иначе	2	2
145	и на	5	2
146	в силу	4	2
147	но как	2	2
148	в этой	4	2
149	отношении к	2	2
150	о том	5	2
151	и это	8	2
152	всей его	2	2
153	в чем	8	2
154	в данный	2	2
155	бы не	2	2
156	для меня	2	2
