N	2gram	Vinokur_Ku_1	Tvorches
1	и в	24	20
2	не только	10	13
3	и т	33	13
4	никогда не	2	11
5	т д	14	11
6	как бы	7	11
7	в его	12	10
8	таким образом	12	10
9	в то	2	10
10	и его	5	9
11	и не	12	9
12	прежде всего	9	8
13	в том	30	8
14	при этом	6	8
15	но и	6	8
16	может быть	13	8
17	в этом	14	8
18	и с	5	8
19	это не	7	7
20	представление о	3	7
21	же время	2	7
22	что в	17	7
23	не может	7	7
24	то же	8	7
25	потому что	23	7
26	xix века	5	7
27	что он	6	6
28	как и	2	6
29	в целом	4	6
30	в своей	2	6
31	так и	7	6
32	все это	6	6
33	именно в	6	6
34	а не	8	6
35	еще не	5	5
36	но не	5	5
37	например в	5	5
38	все же	12	5
39	и даже	3	5
40	так же	4	5
41	и на	4	5
42	в этой	3	5
43	о том	9	5
44	в духе	3	4
45	в соответствии	3	4
46	том что	21	4
47	соответствии с	3	4
48	что они	4	4
49	на его	3	4
50	хотя и	3	4
51	что она	3	4
52	когда он	3	4
53	как в	4	4
54	а а	3	4
55	если не	3	4
56	все эти	6	4
57	тем самым	4	4
58	не в	11	4
59	а в	5	4
60	и потому	4	4
61	ничего не	2	4
62	если бы	9	4
63	но в	2	4
64	а с	3	3
65	казалось бы	3	3
66	превращается в	2	3
67	с этой	2	3
68	с ним	5	3
69	отношению к	9	3
70	так например	2	3
71	что не	5	3
72	в самом	10	3
73	и мы	2	3
74	он не	2	3
75	в котором	3	3
76	не является	2	3
77	один из	4	3
78	в нем	4	3
79	то что	9	3
80	но уже	5	3
81	вместе с	7	3
82	сих пор	4	3
83	в их	3	3
84	по отношению	8	3
85	тогда как	2	3
86	с большим	3	3
87	так как	9	3
88	уже не	8	3
89	одним из	2	3
90	в таком	3	3
91	тем что	8	3
92	в которых	6	3
93	в себе	3	3
94	любви к	2	3
95	между тем	5	3
96	до сих	4	3
97	уже в	3	2
98	в силах	2	2
99	не менее	7	2
100	и есть	2	2
101	с другой	7	2
102	в стороне	2	2
103	по крайней	5	2
104	в одном	3	2
105	я не	2	2
106	вовсе не	10	2
107	во всяком	5	2
108	крайней мере	5	2
109	что его	2	2
110	у нас	10	2
111	д и	2	2
112	так что	4	2
113	целом и	2	2
114	что я	2	2
115	как о	2	2
116	и если	3	2
117	в частности	4	2
118	том же	2	2
119	но если	2	2
120	всяком случае	5	2
121	к жизни	2	2
122	по преимуществу	2	2
123	в истории	3	2
124	и тогда	4	2
125	т п	18	2
126	ли не	3	2
127	не было	3	2
128	сводится к	3	2
129	самом деле	9	2
130	и что	5	2
131	может служить	2	2
132	на этот	2	2
133	другой стороны	6	2
134	и он	3	2
135	рядом с	5	2
136	во многих	2	2
137	роль в	4	2
138	с ними	4	2
139	не столько	2	2
140	не случайно	6	2
141	из них	4	2
142	в которой	6	2
143	и еще	2	2
144	только в	11	2
145	действия и	2	2
146	но ведь	2	2
147	так сказать	5	2
148	к которому	3	2
