N	2gram	Vygotskiy__1	Narrotol
1	не только	13	26
2	а не	13	17
3	представляет собой	2	16
4	но и	2	15
5	в том	30	14
6	при этом	19	14
7	в качестве	2	14
8	и не	16	14
9	том что	16	13
10	и в	31	13
11	в этом	12	13
12	состоит в	3	12
13	в частности	3	11
14	только в	14	11
15	может быть	22	10
16	к тому	4	9
17	так и	3	9
18	а в	6	9
19	то есть	26	9
20	то что	32	8
21	в себе	4	8
22	не может	17	8
23	не в	11	8
24	иначе говоря	5	7
25	никогда не	8	6
26	в своем	3	6
27	в жизни	2	6
28	прежде всего	4	6
29	и к	3	6
30	вслед за	6	6
31	того что	10	6
32	в его	6	6
33	со стороны	4	6
34	все же	5	6
35	у него	4	6
36	как бы	5	6
37	ничего не	2	6
38	но в	3	6
39	точки зрения	15	5
40	тем не	2	5
41	что он	7	5
42	одной стороны	6	5
43	хотя и	3	5
44	он не	3	5
45	в котором	4	5
46	и тем	2	5
47	в нем	2	5
48	как в	9	5
49	в отличие	3	5
50	таким образом	20	5
51	с одной	5	5
52	тем самым	2	5
53	с другой	5	5
54	отличие от	4	5
55	в то	5	5
56	далеко не	2	5
57	о том	7	5
58	что это	6	4
59	не менее	2	4
60	если бы	6	4
61	отнюдь не	6	4
62	в конце	3	4
63	тому же	3	4
64	как и	16	4
65	все что	3	4
66	что в	23	4
67	не является	5	4
68	жизни и	3	4
69	в своей	3	4
70	в ее	5	4
71	то же	5	4
72	в какой	5	4
73	уже не	2	4
74	и у	4	4
75	в силу	3	4
76	в этой	3	4
77	и все	5	4
78	как это	4	4
79	с ним	2	4
80	в себя	2	4
81	в известном	2	3
82	конечном счете	3	3
83	тому что	4	3
84	мы имеем	4	3
85	точку зрения	3	3
86	представить себе	3	3
87	в слове	3	3
88	что я	4	3
89	что они	2	3
90	одна из	4	3
91	но не	3	3
92	как раз	2	3
93	и когда	3	3
94	в конечном	3	3
95	один из	4	3
96	в целом	5	3
97	то и	2	3
98	как к	2	3
99	самом деле	9	3
100	того чтобы	7	3
101	и даже	6	3
102	и по	3	3
103	и для	5	3
104	и его	7	3
105	в таком	3	3
106	с этой	4	3
107	этом отношении	2	3
108	никак не	4	3
109	сказать что	7	3
110	между тем	4	3
111	дело с	3	2
112	потому не	3	2
113	же как	4	2
114	только не	3	2
115	о чем	2	2
116	одно из	2	2
117	что у	3	2
118	столь же	4	2
119	из этих	6	2
120	точно так	3	2
121	и другого	2	2
122	обратиться к	2	2
123	вовсе не	6	2
124	и здесь	2	2
125	на то	10	2
126	для нас	5	2
127	говорит о	2	2
128	и т	26	2
129	должна быть	3	2
130	что с	2	2
131	было бы	6	2
132	со всеми	4	2
133	по поводу	2	2
134	в самом	11	2
135	несмотря на	5	2
136	имеет место	2	2
137	что она	6	2
138	у меня	3	2
139	все то	3	2
140	в него	2	2
141	и личного	3	2
142	с таким	11	2
143	что и	13	2
144	не будет	3	2
145	в процессе	5	2
146	только на	3	2
147	у нас	4	2
148	и состоит	2	2
149	те же	4	2
150	на самом	2	2
151	и что	8	2
152	только что	2	2
153	с точки	2	2
154	так же	12	2
155	всякий раз	8	2
156	как на	3	2
157	той же	3	2
158	роль в	3	2
159	мы не	12	2
160	в чем	2	2
161	тому как	7	2
162	но это	3	2
163	в результате	4	2
164	подобно тому	5	2
165	в своих	4	2
166	т п	16	2
167	как он	2	2
168	зрения на	2	2
169	бы в	2	2
170	потому что	10	2
171	в области	11	2
172	то чтобы	2	2
173	могло бы	4	2
174	в сознании	2	2
175	стало быть	2	2
