N	2gram	Trubetskoy_1	Vladivir
1	и в	26	40
2	то что	7	28
3	и не	8	25
4	не только	10	25
5	учение о	4	24
6	то есть	4	24
7	но и	9	18
8	в том	11	18
9	том что	7	18
10	что в	9	17
11	в этом	15	16
12	так что	3	14
13	в его	5	14
14	не может	4	14
15	точки зрения	13	13
16	в виде	4	13
17	только в	4	13
18	сказать что	2	12
19	в конце	6	12
20	никогда не	5	11
21	таким образом	22	11
22	потому что	7	11
23	о том	6	11
24	прежде всего	2	10
25	тем не	3	10
26	и потому	6	10
27	не менее	3	9
28	что это	3	9
29	уже не	3	9
30	и с	10	9
31	в себе	6	9
32	в своем	3	8
33	в этой	4	8
34	для него	3	8
35	может быть	10	8
36	так же	5	8
37	и что	4	8
38	он не	4	8
39	а также	2	8
40	а не	5	8
41	что все	4	7
42	к тому	6	7
43	и как	3	7
44	несмотря на	6	7
45	и если	3	7
46	а в	4	7
47	так как	9	7
48	с тем	18	7
49	того что	3	7
50	в то	4	7
51	что и	6	7
52	вместе с	15	7
53	и здесь	2	6
54	и даже	3	6
55	и на	2	6
56	и от	4	6
57	в смысле	4	6
58	так и	6	6
59	иной раз	2	6
60	если не	2	6
61	хотя бы	3	6
62	с точки	6	6
63	и это	2	6
64	с другой	8	5
65	тому же	5	5
66	но если	2	5
67	в отношении	6	5
68	не было	2	5
69	все эти	6	5
70	в одном	3	5
71	что он	4	5
72	или менее	5	5
73	конце концов	3	5
74	ничего общего	2	5
75	более или	5	5
76	точно так	3	4
77	на то	2	4
78	в самом	4	4
79	в котором	4	4
80	не имеет	5	4
81	в результате	3	4
82	мы должны	6	4
83	и все	2	4
84	не с	2	4
85	по существу	2	4
86	но не	8	4
87	еще не	2	4
88	и о	3	4
89	то же	4	4
90	а с	7	4
91	в течение	4	4
92	все же	6	4
93	но в	7	4
94	уже в	2	3
95	же как	3	3
96	в качестве	3	3
97	то ни	2	3
98	из этих	10	3
99	но все	7	3
100	одной стороны	7	3
101	при этом	3	3
102	как бы	12	3
103	в виду	2	3
104	всяком случае	6	3
105	в нем	4	3
106	к нему	7	3
107	мы видели	2	3
108	бы то	2	3
109	отличается от	2	3
110	в связи	3	3
111	и только	4	3
112	с одной	7	3
113	именно в	2	3
114	как на	8	3
115	же самое	2	3
116	в россии	2	3
117	мы имеем	2	3
118	если бы	3	3
119	того чтобы	5	3
120	и у	8	3
121	не в	2	3
122	и для	5	3
123	в таком	3	3
124	во всяком	6	3
125	далеко не	4	3
126	не могут	2	2
127	в этих	4	2
128	с этой	3	2
129	и вместе	4	2
130	путь к	3	2
131	же время	2	2
132	должен был	4	2
133	и наконец	2	2
134	той или	2	2
135	так или	3	2
136	взгляд на	2	2
137	в разных	2	2
138	можно только	2	2
139	в одно	2	2
140	и по	4	2
141	этом отношении	2	2
142	больше чем	2	2
143	к его	2	2
144	в начале	2	2
145	по своей	2	2
146	что мы	2	2
147	не вполне	3	2
148	с его	2	2
149	к богу	3	2
150	но когда	2	2
151	не как	2	2
152	к этому	3	2
153	этого последнего	2	2
154	и к	5	2
155	в силу	5	2
156	того же	6	2
157	не к	2	2
158	из них	7	2
159	одной из	5	2
160	общего с	2	2
161	в мире	5	2
162	быть и	2	2
163	из этого	2	2
164	оказывается что	3	2
165	только что	2	2
166	но с	3	2
167	и сейчас	2	2
168	для того	5	2
169	свидетельствует о	2	2
170	или иначе	3	2
171	связи с	9	2
172	в которой	3	2
173	творца и	2	2
