N	2gram	Bakhtin_fo_1	StatiiOP
1	и в	50	29
2	том что	4	27
3	в том	9	27
4	в этом	25	21
5	но и	8	19
6	что в	5	19
7	не только	9	19
8	в трагедии	2	17
9	в его	13	13
10	то что	6	11
11	все это	4	11
12	в которой	2	11
13	к тому	3	10
14	таким образом	11	10
15	в своем	4	9
16	и т	8	9
17	так и	12	9
18	этом отношении	3	9
19	и не	14	9
20	потому что	4	9
21	он не	5	9
22	как раз	13	8
23	но в	10	8
24	но все	5	7
25	с тем	3	7
26	в самом	8	7
27	в ней	4	7
28	в виду	3	7
29	в котором	4	7
30	в своей	2	7
31	вместе с	3	7
32	для того	5	7
33	об этом	2	6
34	в одном	3	6
35	вовсе не	13	6
36	вопрос о	2	6
37	до сих	3	6
38	все же	6	6
39	в течение	2	6
40	того чтобы	5	6
41	и его	16	6
42	и на	8	6
43	прежде всего	15	5
44	была бы	2	5
45	в той	4	5
46	в качестве	3	5
47	было бы	2	5
48	как бы	2	5
49	сих пор	3	5
50	а не	3	5
51	того что	2	5
52	точки зрения	5	5
53	времени и	10	4
54	а как	3	4
55	именно в	3	4
56	в частности	6	4
57	с другой	2	4
58	к этому	3	4
59	разумеется что	2	4
60	в романе	32	4
61	не в	5	4
62	для него	2	4
63	кроме того	4	4
64	и к	2	4
65	хотя и	3	4
66	в нем	24	4
67	дело в	2	4
68	еще более	3	4
69	ничего не	9	4
70	связи с	6	4
71	и с	4	4
72	самого начала	2	3
73	же как	2	3
74	в этих	3	3
75	из нее	2	3
76	не является	2	3
77	но он	2	3
78	вообще не	3	3
79	оно не	2	3
80	с этим	6	3
81	на себя	2	3
82	могло быть	4	3
83	в образе	5	3
84	по себе	2	3
85	ни в	8	3
86	тому же	2	3
87	в начале	3	3
88	но не	5	3
89	до конца	4	3
90	одной из	3	3
91	например в	6	3
92	никогда не	2	3
93	и даже	2	3
94	не могло	5	3
95	как в	6	3
96	в их	6	3
97	т п	8	3
98	не было	7	3
99	еще и	2	3
100	тем что	2	3
101	с самого	2	3
102	и по	2	3
103	хотя бы	2	3
104	так же	6	3
105	во всяком	3	3
106	во многом	2	2
107	в отношении	3	2
108	но они	3	2
109	с его	9	2
110	в роман	4	2
111	и другие	5	2
112	если бы	5	2
113	и др	9	2
114	в них	4	2
115	в конце	9	2
116	что было	3	2
117	выражение в	2	2
118	что и	3	2
119	к своему	2	2
120	в ее	6	2
121	xviii века	3	2
122	по существу	12	2
123	как и	8	2
124	и как	10	2
125	в истории	2	2
126	в то	9	2
127	о своей	2	2
128	в это	2	2
129	раз в	4	2
130	может быть	11	2
131	только к	3	2
132	том же	2	2
133	и потому	3	2
134	а также	2	2
135	на почве	2	2
136	нет и	2	2
137	только в	4	2
138	ее в	2	2
139	не к	2	2
140	также и	2	2
141	в некоторых	2	2
142	ни с	2	2
143	в процессе	4	2
144	и речи	5	2
145	совершенно не	2	2
146	не может	6	2
147	в особенности	9	2
148	то же	11	2
149	все эти	9	2
150	при этом	3	2
151	там где	2	2
152	в отличие	2	2
153	они не	3	2
154	в значительной	2	2
155	не имеет	4	2
156	с точки	2	2
157	и те	3	2
158	в данном	2	2
159	конечно и	4	2
160	в результате	6	2
161	сказать что	3	2
162	в каком	2	2
163	это время	7	2
164	в себе	3	2
165	и вообще	2	2
166	его в	3	2
167	как он	2	2
168	и это	4	2
169	так как	6	2
170	того же	8	2
171	отличие от	2	2
