N	2gram	Bakhtin_Pr_3	Stilisti
1	и в	53	42
2	как бы	14	27
3	не только	4	27
4	и т.п	31	24
5	прежде всего	15	22
6	и т.д	2	20
7	хотя бы	2	17
8	но и	7	15
9	то же	6	15
10	и не	15	14
11	может быть	12	12
12	не может	2	12
13	точки зрения	4	11
14	как и	11	11
15	мы уже	5	11
16	мы должны	4	10
17	как мы	5	10
18	в этом	8	10
19	при этом	3	9
20	в то	5	9
21	то что	9	9
22	мы не	4	9
23	в ней	7	8
24	таким образом	6	8
25	в себе	5	8
26	и это	3	8
27	никогда не	2	7
28	зависимости от	2	7
29	и от	3	7
30	же время	5	7
31	и тем	2	7
32	и на	18	7
33	потому что	5	7
34	так как	7	7
35	с его	2	7
36	в зависимости	2	7
37	было бы	5	7
38	а не	11	7
39	и его	10	7
40	мы можем	5	7
41	только в	4	7
42	в которой	2	7
43	ничего не	6	7
44	не в	2	6
45	на его	3	6
46	в форме	6	6
47	в конце	3	6
48	и так	3	6
49	в нем	10	6
50	во всех	12	6
51	так и	6	6
52	в области	3	6
53	уже в	2	5
54	и той	2	5
55	мы видели	2	5
56	и их	2	5
57	а в	2	5
58	и с	6	5
59	и наконец	2	5
60	как это	2	5
61	в сознании	2	5
62	в его	8	5
63	вместе с	2	5
64	в той	2	5
65	с точки	2	5
66	той же	5	5
67	слова и	3	5
68	самого начала	4	4
69	что это	2	4
70	и без	3	4
71	в каждом	4	4
72	что именно	2	4
73	можно сказать	8	4
74	влияние на	12	4
75	с самого	3	4
76	которой мы	2	4
77	связаны с	3	4
78	в самом	2	4
79	один из	6	4
80	все это	8	4
81	о том	2	4
82	его в	2	4
83	но в	5	4
84	и к	5	4
85	мы видим	2	4
86	если б	7	4
87	то есть	48	4
88	так сказать	5	4
89	в разных	4	3
90	перед нами	5	3
91	это не	6	3
92	главным образом	3	3
93	здесь мы	2	3
94	и тому	2	3
95	хотя и	4	3
96	и уже	2	3
97	из них	4	3
98	жизни и	9	3
99	и даже	2	3
100	их в	2	3
101	сказать что	10	3
102	в начале	2	3
103	видели что	2	3
104	и все	10	3
105	в ее	3	3
106	том что	5	3
107	еще не	5	3
108	конечно не	4	3
109	что и	3	3
110	да и	2	3
111	между ними	2	3
112	и для	4	3
113	не знает	4	3
114	место в	2	2
115	человека и	7	2
116	человека в	3	2
117	в мире	5	2
118	в том	14	2
119	и конечно	2	2
120	тому же	2	2
121	но это	3	2
122	времени и	2	2
123	несмотря на	2	2
124	в этих	5	2
125	отношение к	6	2
126	в связи	2	2
127	не было	4	2
128	все эти	9	2
129	ведь если	2	2
130	в своих	2	2
131	также и	4	2
132	даже и	2	2
133	по своей	9	2
134	все то	3	2
135	нет ничего	2	2
136	в жизни	8	2
137	в основе	5	2
138	такие как	2	2
139	в какой-то	4	2
140	для всех	2	2
141	смысле этого	2	2
142	с этим	2	2
143	к этому	4	2
144	связанные с	3	2
145	значение и	2	2
146	что он	4	2
147	но не	5	2
148	по своему	6	2
149	тот же	2	2
150	одной из	4	2
151	и потому	5	2
152	в своей	3	2
153	с ней	3	2
154	сих пор	5	2
155	связь с	2	2
156	как в	7	2
157	здесь не	4	2
158	мы найдем	3	2
159	перейти к	2	2
160	в дальнейшем	7	2
161	с ним	2	2
162	тем что	2	2
163	и вообще	3	2
